Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram
31-10-2017,120,75,366,237,128,73,337,116,271,233,72
01-11-2017,141,99,344,312,150,75,353,149,304,256,67
02-11-2017,120,70,305,323,156,145.3333333,331,144,314,210,65
03-11-2017,159,62,310,354,158,215.6666667,335,141,317,171,69
04-11-2017,125,66,345,369,114,286,337,86,318,211,77
05-11-2017,59,58,370,388,91,276,340,82,319,252,67
06-11-2017,49,68,377,339,80,289,332,70,321,244,76
07-11-2017,68,68,532,362,94,286,360,94,252,275,70
08-11-2017,54,74,675,425,105,354,461,85,235,251,83
09-11-2017,70,70,677,495,95,430,590,90,248,208,64
10-11-2017,75,103,597,503,100,439,522,99,295,257,86
11-11-2017,77,146,471,463,123,429,460,148,317,275,74
12-11-2017,69,163,613,386,123,372,472,150,328,270,72
13-11-2017,65,110,561,454,111,345,506,130,311,333,102
14-11-2017,68,91,444,581,111,341,396,93,234,193,100
15-11-2017,66,68,378,444,104,314,363,85,128,199,97
16-11-2017,76,96,357,360,92,250,346,64,131,221,91
17-11-2017,81,108,330,361,82,233,338,63,262,276,99
18-11-2017,64,82,309,341,106,306,330,58,200,220,114
19-11-2017,68,62,297,360,112,310,332,52,206,295,81
20-11-2017,62,69,329,324,86,360,332,74,314,280,69
21-11-2017,60,61,341,316,106,322,328,62,307,157,63
22-11-2017,65,64,348,350,102,335,314,95,318,185,80
23-11-2017,87,126,340,344,133,398,305,120,288,153,91
24-11-2017,82,158,348,336,149,406,329,161,302,230,87
25-11-2017,72,184,347,342,140,406,339,174,322,256,162
26-11-2017,69,136,368,360,147,474,328,175,316,305,230
27-11-2017,58,87,382,342,166,447,365,153,313,304,103
28-11-2017,58,71,360,385,171,407,362,158,306,203,83
29-11-2017,82,75,359,364,164,431,350,138,317,249,86
30-11-2017,68,69,388,411,140,438,328,116,323,249,58
01-12-2017,53,57,377,434,139,480,336,122,324,215,57
02-12-2017,26,71,356,387,135,550,350,165,296,336,60
03-12-2017,54,90,384,389,140,457,338,157,309,234,76
04-12-2017,68,86,415,366,144,415,347,162,266,253,86
05-12-2017,63,76,404,366,128,446,372,207,227,265,85.5
06-12-2017,83,70,330,369,100,481,325,230,206,218,85
07-12-2017,96,143,215,351,122,465,238,195,185,198,84.5
08-12-2017,120,175,220,240,145,407,206,155,298,187,84
09-12-2017,148,156,312,310,142,397,305,104,304,197,68
10-12-2017,133,163,389,389,120,387,346,148,277,182,85
11-12-2017,143,153,406,354,117,366,348,132,162,121,105
12-12-2017,86,126,280,339,144,385,236,159,127,93,139
13-12-2017,75,93,263,352,143,378,222,169,116,113,83
14-12-2017,86,81,276,328,132,314,166,128,126,93,81
15-12-2017,122,95,292,328,126,308,202,125,113,88,124
16-12-2017,119,107,228,325,133,336,226,155,114,89,87
17-12-2017,100,102,195,293,136,365,165,206,133,103,94
18-12-2017,108,97,223,341,140,406,193.5,158,142,153,79
19-12-2017,112,91,291,417,138,441,222,131,126,140,125
20-12-2017,110,78,378,543,151,416,325,124,230,174,71
21-12-2017,131,93,467,486,164,391,343,142,227,130,78
22-12-2017,93,109,370,383,195,346,314,164,143,96,68
23-12-2017,91,89,253,337,180,364,225,251,122,103,76
24-12-2017,70,83,309,339,169,393,320,268,197,147,66
25-12-2017,91,88,398,395,163,384,368,292,235,154,76
26-12-2017,174,113,372,371,164,375,337,296,315,242,94
27-12-2017,99,186,379,425,136,363,354,290,335,194,103
28-12-2017,109,148,398,460,132,533,374,203,298,227,129
29-12-2017,85,95,399,443,184,438,386,160,233,148,112
30-12-2017,77,108,421,362,156,409,372,99,283,174,145
31-12-2017,72,77,451,387,138,396,365,129,321,153,118
01-01-2018,73,89,462,356,122,371,410,131,331,221,106
02-01-2018,86,94,439,320,126,440,495,125,331,206,119
03-01-2018,84,105,405,406,163,417.5,444,132,232,232,99
04-01-2018,86,184,394,389,174,395,354,231,212,225,106
05-01-2018,95,176,398,398,164,418,371,233,215,177,145
06-01-2018,102,158,403,359,158,403,422,231,218,234,155
07-01-2018,104,136,384,387,146,388,410,230,220,183,186
08-01-2018,93,124,314,431,146,432,328,229,223,164,127
09-01-2018,84,121,373,408,160,438,371,150,226,193,137
10-01-2018,75,96,366,398,165,379,367,192,229,239,169
11-01-2018,76,179,318,393,160,364,311,279,231,211,123
12-01-2018,115,156,306,427,155,377,312,305,234,198,157
13-01-2018,101,258,370,432,150,405,356,293,237,260,127
14-01-2018,118,207,365,420,140,399,344,334,310,171,120
15-01-2018,98,147,352,398,143,358,335,320,170,173,162
16-01-2018,92,134,278,359,132,353,231,284,152,141,108
17-01-2018,98,161,350,363,125,391,300,297,144,116,182
18-01-2018,100,129,411,368,129,322,382,189,165,124,163
19-01-2018,104,164,451,433,129,370,377,180,126,190,120
20-01-2018,122,140,351,391,131,266,285,229,129,223,125
21-01-2018,103,180,310,355,133,310,264,224,149,189,204
22-01-2018,96,167,362,384,142,360,304,200,125,171,183
23-01-2018,102,149,343,426,125,367,339,226,123,148,183
24-01-2018,104,164,286,346,121,359,343,217.2,115,181,170
25-01-2018,101,187,267,324,139,300,275,208.4,127,163,132
26-01-2018,98,172,263,333,146,280,271,199.6,118,247,92
27-01-2018,104,161,284,344,167,241,322,190.8,132,171,99
28-01-2018,109,165,334,357,138,382,348,182,124,167,93
29-01-2018,94,155,332,373,140,381,375,176,127,154,112
30-01-2018,99,148,300,344,137,364,309,219,142,219,121
31-01-2018,109,159,271,295,130,448,292,215,150,208,130
01-02-2018,94,135,293,324,129,390,302,179,159,177,144
02-02-2018,118,167,318,321,125,361,328,172,149,168,132
03-02-2018,88,164,277,370,114,342,279,164,168,140,124
04-02-2018,87,123,284,370,104,309,257,169,165,132,111
05-02-2018,81,79,313,312,111,215,288,162,152,153,100
06-02-2018,85,94,324,323,111,168,316,150,130,305,96
07-02-2018,79,78,287,322,125,298,273,136,130,291,80
08-02-2018,80,78,334,299,114,289,324,116,141,208,66
09-02-2018,95,107,375,290,108,236,345,112,138,140,80
