Date,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Visakhapatnam,Jaipur
09-01-2018,3.33,0.74,5.31,2.84,0,2.65,0.7,2.45,6.47
10-01-2018,0,1.95,3.26,2.92,0,2.98,0.56,4.17,6.07
11-01-2018,0,1.25,3.27,2.17,0,4.21,0.58,6.32,4.64
12-01-2018,0,1.67,4.23,1.12,0,4.04,0.53,5.62,3.82
13-01-2018,0,3.58,7.62,1.53,0,4.4,0.64,4.21,4.92
14-01-2018,0,0.94,4.3,1.46,0,3.82,0.68,5.08,3.07
15-01-2018,0,1.03,3.26,2.47,0,2.18,0.52,4.12,2.61
16-01-2018,0,1.09,3.09,1.57,0,3.74,0.84,4.36,1.75
17-01-2018,0,1.93,4.22,2.08,0,2.99,0.83,4.37,1.02
18-01-2018,0,1.83,5.19,2.57,0,3.98,0.6,3.7,1.87
19-01-2018,0,1.71,5.47,6.83,0,3.88,0.9,3.83,1.38
20-01-2018,0,1.74,2.37,2.46,0,6.07,0.7,4.1,1.39
21-01-2018,0,2.21,2.74,1.27,0,3.53,0.63,3.84,1.73
22-01-2018,0,1.58,4.09,2.57,0,2.84,0.67,4.12,0.98
23-01-2018,0.08,1.48,2.68,4.4,0,2.48,0.73,4.89,1.13
24-01-2018,0.2,1.09,2.26,1.24,0,2.46,0.61,4.745,0.89
25-01-2018,0,1.57,2.22,1.75,0,4.31,0.35,4.6,2.07
26-01-2018,0,1.19,2.46,1.92,0,5.18,0.36,4.455,2.2
27-01-2018,0.04,1.2,2.29,2.15,0,4.7,0.45,4.31,2.08
28-01-2018,0,1.46,2.07,2.94,0,3.22,0.63,5.16,2.19
29-01-2018,0,1.72,2.18,3.37,0,2.79,0.65,5.9,1.74
30-01-2018,0,1.72,1.84,1.92,0,4.12,0.61,7.86,2.69
31-01-2018,0,1.33,1.72,1,0,5.96,0.62,7.66,1.66
01-02-2018,0,1.89,2.08,1.67,0,4.76,0.64,7.47,3.16
02-02-2018,0,1.39,1.72,2.88,0,5.81,0.67,8.43,1.48
03-02-2018,0,1.65,1.35,4.84,0,4.06,0.81,8.41,0.5
