Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Amritsar,Jaipur,Thiruvananthapuram
26-09-2017,29.13,24.7,27.52,16.86,20.98,23.4,20.74,12.45,43.3,8.78
27-09-2017,38.34,27.26,21.39,19.01,23.27,56.05,21.09,9.49,48.71,5.99
28-09-2017,24.81,23.67,38.55,37.57,20.69,30.04,19.41,8.96,47.48,8.17
29-09-2017,29.64,15.34,29.45,34.9,18.5,10.05,21.31,11.8,54.73,6.39
30-09-2017,26.24,15.25,26.08,31.24,17.45,13.24,21.3,12.08,58.87,4.43
01-10-2017,27.01,14.93,28.66,26.32,11.81,22.17,21.61,8.57,57.12,1.96
02-10-2017,25.68,12.88,25.2,24.24,11.9,16.61,21.9,7.54,49.69,1.49
03-10-2017,25.43,13.93,26.09,34.36,18.96,20.42,20.41,6.41,54.68,4.31
04-10-2017,24.72,15.77,28.99,25.47,22.44,25.61,19.46,4.97,60.61,5.03
05-10-2017,32.24,14.73,24.45,36.5,22.79,21.29,17.3,5.76,46.53,5.51
06-10-2017,28.49,15.1,27.44,37.58,19.44,27.38,22.53,6.79,52.72,3.42
07-10-2017,26.77,14.14,25.61,43.59,24.12,22.59,24.96,16.28,45.85,4.91
08-10-2017,22.5,14.77,24.51,34.46,24.14,49.33,22.23,14.52,44.42,3.03
09-10-2017,25,15.45,27.06,41.3,17.7,23.42,24.67,14.12,47.37,5.41
10-10-2017,29.03,15.98,31.67,34.8,24.18,20.6,24.35,16.26,50.37,5.76
11-10-2017,31.64,20.16,30.92,30.57,25.01,57.94,24.58,18.4,32.03,6.1
12-10-2017,30.86,20.18,31.1,44.26,26.83,34.38,23.5,20.54,18.55,6.45
13-10-2017,30.63,22.36,29.16,62.28,19.29,31.69,24.82,22.67,21.24,6.79
14-10-2017,28.07,21.73,30.14,53.25,25.1,29.8,24.63,24.81,22.34,7.14
15-10-2017,34.04,17.74,30,59.68,22.1,63.63,24.47,26.95,25.56,7.49
16-10-2017,29.07,18.88,58.53,72.26,45.32,44.6,25.86,29.09,15.79,7.83
17-10-2017,35.25,19.66,57.08,71.24,36.5,48.54,28.9,31.23,49.67,8.18
18-10-2017,41.73,24.61,63.15,55.68,34.49,44.41,30.12,33.37,35.33,8.52
19-10-2017,32.42,26.9,53.51,36.49,30.6,35.42,30.39,37.98,29.65,8.87
20-10-2017,40.38,19.36,54.76,29.79,20.04,22.25,30.55,40.11,22.99,3.12
21-10-2017,32.18,22.86,50.13,30.05,18.74,28.58,28.47,32.77,26.3,6.55
22-10-2017,31.05,21.36,55.88,57.38,17.27,52.75,27.88,35.42,30.26,8.7
23-10-2017,33.32,25.92,64.25,80.44,21.46,76.92,27.45,41.72,32.33,10.85
24-10-2017,44.63,21.91,81.33,75.27,24.35,85.68,27.38,40.37,29.67,3.2
25-10-2017,43.04,18.11,80.62,86.12,48.16,65.7,27.71,46.16,36.99,3.483333333
26-10-2017,39.14,19.04,90.56,89.66,34.37,45.43,27.85,41.42,26,3.766666667
27-10-2017,36.53,20.74,65.44,83.17,24.22,42.9,26.91,39.46,25.3,4.05
28-10-2017,39.18,19.51,84.45,84.41,40.69,85.82,23.76,39.01,33.57,5.1475
29-10-2017,39.01,21.3,60.61,55.4,25.47,55.14,23.9,39.44,27.97,6.245
30-10-2017,32.5,18.46,69.51,59.52,34.42,52.44,22.5,39.07,37.92,7.3425
31-10-2017,33.67,21.69,53.08,61.21,43.37,36,23.04,41.44,52.65,8.44
01-11-2017,24.85,20.35,46.83,44.85,46.37,43.645,23.15,39.11,60.14,7.14
02-11-2017,26.81,18.51,47.7,51.53,37.68,51.29,23.7,32.27,65.02,8.94
03-11-2017,29.41,21.2,46.49,56.67,37.44,226.06,24.04,29.28,55.5,10.28
04-11-2017,34.07,23.88,47.28,52.58,35.86,163.2,25.68,37.42,34.61,9.8
05-11-2017,29.05,16.96,60.56,49.04,31.18,137.49,24.27,17.91,32.01,6.54
06-11-2017,29.82,20.49,57.27,50.59,39.1,136.02,22.3,42.09,64.42,12.03
07-11-2017,33.64,21.37,65.17,59.57,43.63,143.99,23.36,30.81,84.94,11.58
08-11-2017,33.43,18.77,77.51,60.72,40.59,173.62,22.88,28.37,62.27,14.55
09-11-2017,37.65,19.51,81.67,55.77,39.12,173.39,22.78,21.98,64.47,10.9
10-11-2017,30.19,24.71,80.73,51.14,35.39,266.46,22.97,21.68,81.3,12.12
11-11-2017,36.09,21.71,78.61,52.54,42.21,178.84,23.17,24.95,72.86,9.55
12-11-2017,36.27,18.9,70.1,38.8,42.84,141.94,22.99,29.61,64.07,10.23
13-11-2017,32.51,27.69,65.77,62.1,37.83,169.82,22.82,20.89,61.48,15.04
14-11-2017,30.57,25.74,56.46,60.79,39.01,239.18,22.41,5.2,22.51,13.97
15-11-2017,27.55,37.3,57.85,56.89,36.07,137.59,21.82,13.71,25.04,12.42
16-11-2017,34.47,38.77,53.86,54.05,34.29,108.12,22.41,41.92,22.1,14.55
17-11-2017,30.34,25.49,47.38,46.83,33.87,130.19,20.19,31.94,25.8,13.2
18-11-2017,36.57,23.56,43.91,50.47,32.58,177.7,26.29,7.07,25.34,10.77
19-11-2017,39.44,19.17,45.6,49.27,34.18,173.97,24.87,12.22,25.3,6.98
20-11-2017,36.61,19.09,52.73,42.64,36.84,112.13,22.77,31.96,27.79,9.87
21-11-2017,34.1,22.22,54.75,48.07,39.07,110.96,22.83,46.82,39.4,9.95
22-11-2017,37.02,23.9,54.64,59.73,32.25,115.89,24.36,47.59,44.86,12.26
23-11-2017,42.75,29.82,55.04,60.97,37.91,76.32,24.25,48.8,57.6,13.04
24-11-2017,46.1,27.44,64.15,63.91,35.4,100.81,24.32,49.18,94.41,12.84
25-11-2017,50.65,29.43,76.48,73.69,37.5,53.74,23.82,50.9,117.03,17.42
26-11-2017,48.12,20.3,67.6,59.21,50.36,31.58,22.55,50.56,118.92,10.95
27-11-2017,47.51,22.88,68.93,60.42,52.99,28.56,22.46,45.09,100.76,13.9
28-11-2017,50.06,24.99,62.53,66.88,54.18,29.44,21.94,41.77,103.82,13.53
29-11-2017,39.39,22.77,75.37,92.62,45.7,31.01,21.92,30.53,108.17,8.82
30-11-2017,32.3,18.18,57.73,80.71,45.03,29.49,16.36,33.22,95.01,4.08
01-12-2017,31.43,19.48,56.83,73.94,37.15,28.68,17.64,35.25,85.5,6.78
02-12-2017,35.74,22.98,65.66,68.12,35.14,29.81,11.91,23.9,66.57,8.07
03-12-2017,42.05,20.28,65.83,69.83,38.05,20.7,13.41,14.57,70.26,9.14
04-12-2017,42.47,20.66,65.49,68.83,37.31,21.84,17.33,7.36,62.8,7.84
05-12-2017,40.08,23.6,64.61,54.82,29.67,23.83,19.69,3.08,42.43,9.383333333
06-12-2017,44.52,24.27,51.02,48.21,30.32,21.09,18.95,102.85,27.2,10.92666667
07-12-2017,47.64,27.5,45.83,46.04,40.86,14.26,18.98,49.15,29.33,12.47
08-12-2017,66.21,30.39,53.85,53.18,39.18,13,19.38,20.28,26.92,5.31
09-12-2017,62.95,31.89,70.14,64.87,38.26,166.01,19.6,19.17,26.37,5.57
10-12-2017,57.89,25.72,83.94,73.96,37.26,142.62,18.97,18.62,21.7,5.73
11-12-2017,38.93,20.47,71.25,73.78,48.48,166.19,19.13,13.03,19.59,6.12
12-12-2017,33.87,23.37,45.94,72.23,62.23,152.65,16.58,10.07,21.16,6.2
13-12-2017,39.02,16.18,40.27,60.94,50.13,121.4,17.72,16.09,20.25,6.38
14-12-2017,43.69,18.6,36.59,47.79,39.48,114.96,18.04,16.29,15.56,8.35
15-12-2017,81.78,21.82,34.73,49.63,38.85,104.52,21.88,18.12,18.51,8.08
16-12-2017,42.57,26.4,29.84,47.58,48.12,78.7,22.53,19.43,14.84,8.52
17-12-2017,48.64,18.91,37.37,56.93,47.26,36.81,22.57,20.54,12.72,7.28
18-12-2017,63.33,21.38,45.8,67.75,37.36,73.19,21.96,21.39,11.7,6.68
19-12-2017,50.27,25.36,54.84,78.85,49.48,103.91,22.59,22.07,4.9,5.55
20-12-2017,80.93,27.36,66.41,76.92,67.71,55.57,21.29,23.33,38.79,5.68
21-12-2017,115.11,21.58,61.63,57.72,68.63,15.5,19.52,42.63,27.05,4.42
22-12-2017,142.35,23.85,50.73,52.36,73.32,89.01,19.99,25.53,22.79,5.42
23-12-2017,61.7,24.36,50.97,54.32,65.66,122.68,20.54,26.12,39.61,3.96
24-12-2017,31.49,23.99,66.65,59.58,63.74,95.82,20.37,28.36,48.02,4.35
25-12-2017,29.62,21.51,58.92,49.73,56.9,127.19,20.09,28.77,42.35,3.86
26-12-2017,32.19,25.27,57.6,52.13,53.18,44.58,20.41,28.1,52.75,7.01
27-12-2017,44.73,23.92,65.61,59.6,55.68,31.26,25.1,28.78,26.19,9.64
28-12-2017,44.56,28.09,70.25,53.57,60.71,11.99,24.32,26.62,37.42,9.2
29-12-2017,48.73,28.73,59.7,46.83,67.12,5.83,20.61,27.47,48.94,11.28
30-12-2017,42.6,20.64,60.4,56.08,67.32,34.49,21.79,28.81,48.01,10.86
31-12-2017,41.94,12.16,66.97,53.25,62.26,72.24,23.48,30.4,34.78,6.57
01-01-2018,42.23,13.63,63.92,41.05,54.46,48.77,24.02,30.43,43.34,8.79
02-01-2018,41.7,14.95,53.73,34.35,51.51,22.89,20.52,31.25,43.11,7.51
03-01-2018,50.19,17.75,52.24,38.57,46.8,89.94,19.46,29.9,84.12,10.46
04-01-2018,46.14,18.64,61.57,46.68,60.89,54.31,21.19,34.99,70.61,16.88
05-01-2018,52.5,17.43,54.8,48.41,63.88,21.22,19.77,40.08,69.13,15.1
06-01-2018,51.77,17.86,59.12,49.57,63.11,69.63,22.95,45.17,70.75,16.16
07-01-2018,49.36,15.6,47.02,53.94,55.39,96.31,20.24,50.26,58.29,10.07
08-01-2018,46.38,16.08,51.6,58.74,51.85,93.6,19.77,55.34,76.84,17.84
09-01-2018,43.41,14.02,66.19,45.21,53.96,43.78,19.26,60.43,69.36,18.3
10-01-2018,29.81,14.84,60.21,46.46,53.36,56.84,25.92,65.52,85.95,15.68
11-01-2018,45.27,18.07,63.57,48.82,59.3,78.47,20.41,70.61,102.56,15.84
12-01-2018,36.51,17.84,65.3,54.54,64.97,92.22,17.25,75.7,73.96,15.32
13-01-2018,43.3,20.65,61.28,52.45,59.98,69.93,18.55,78.17,81.74,14.84
14-01-2018,44.87,14.82,54.37,62.82,54.79,30.04,20.07,94.18,27.88,10.5
15-01-2018,33.96,11.26,52.51,61.77,37.89,63.83,20.9,86.72,16.57,15.14
16-01-2018,41.68,11,46.86,45.9,39.7,80.13,23.32,79.22,14.07,17.55
17-01-2018,37.47,16.94,47.86,47.58,45.06,34.98,24.21,77.4,16.29,15.92
