Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Jaipur,Thiruvananthapuram
26-09-2017,8.48,14.5,23.12,3.77,9.31,5.81,2.69,1.88,13.1,2.08
27-09-2017,15.29,16.97,26.98,4.73,9.68,66.18,3,2.05,14.64,2.45
28-09-2017,4.57,13.66,50.72,11.19,9.79,18.18,2.23,1.5,17.51,2.14
29-09-2017,7.58,3.28,37.45,13.34,8.34,3.65,2.87,1.55,19.56,1.96
30-09-2017,7.05,2.64,21.1,6.96,8.11,7.74,2.27,1.67,18.29,1.91
01-10-2017,5.63,3.63,25.43,12.61,1.24,7.29,3.38,1.55,20.64,1.09
02-10-2017,38.94,3.05,22.86,7.94,10.81,8.06,2.47,1.75,14.39,0.99
03-10-2017,6.46,3.07,22.75,15.79,11.69,14.32,2.13,1.5,15.92,0.69
04-10-2017,4.69,4.65,24.88,8.89,16.68,14.63,3.21,1.97,17.84,0.82
05-10-2017,13.18,8.13,15.35,17.64,16.52,14.64,1.51,1.88,12.37,1.36
06-10-2017,8.58,7.18,14.82,12.67,11.38,14.26,1.48,1.55,13.94,1.13
07-10-2017,9.98,6.7,17.2,16.71,18.91,5.59,1.41,2.06,12.2,0.97
08-10-2017,7.57,8.06,20.71,12.31,10.47,16.52,3.15,1.67,11.93,0.92
09-10-2017,9.19,13.8,33.9,20.44,7.6,15.57,6.24,1.89,12.03,0.87
10-10-2017,9.9,4.51,23,14.66,26.06,19.87,4.81,1.91,12.21,0.94
11-10-2017,14.24,4.74,25.09,8.57,6.99,96.9,4.93,1.92,15.94,1.01
12-10-2017,10.47,5.48,21.91,12.35,13.72,12.26,2.29,1.94,14.68,1.09
13-10-2017,10.69,6.31,31.87,32.53,8.45,10.84,3.4,1.95,17.1,1.16
14-10-2017,10.09,8.52,67.91,14.45,10.84,4.38,6.9,1.97,18.42,1.23
15-10-2017,14,11.5,41.91,15.4,18.84,17.3,4.23,1.99,31.78,1.3
16-10-2017,9.41,12.15,48.82,29.6,8.32,16.55,7.44,2,29.19,1.37
17-10-2017,14.4,20.97,48.01,39.23,9.92,13.01,7.4,2.02,24.83,1.45
18-10-2017,18.27,21.68,66.01,47.62,14.42,13.14,6.63,2.03,8.81,1.52
19-10-2017,12.47,26.58,55.94,13.34,8.76,15.13,6.69,2.05,7.61,1.59
20-10-2017,14.24,8.35,56.28,11.81,7.65,11.43,17.09,1,17.01,0.95
21-10-2017,8.15,7.94,42.71,9.04,7.91,15.39,12.36,1.28,18.92,1.62
22-10-2017,8.29,8.71,54.57,34.06,7.56,30.165,13.51,1.525,15.55,1.62
23-10-2017,9.24,8.95,89.4,56.94,7.98,44.94,17.51,1.77,8.88,1.62
24-10-2017,15.76,10.81,72.71,59.11,8.24,48.95,18.48,0.85,12.75,1
25-10-2017,16.44,13.86,56.81,68.98,7.74,45.73,16.35,0.866666667,31.07,1.033333333
26-10-2017,17.04,15.23,56.9,65.77,7.17,20.02,17.39,0.883333333,15.9,1.066666667
27-10-2017,13.99,11.38,26.14,51.75,16.51,20.16,11.35,0.9,30.54,1.1
28-10-2017,15.78,10.83,35.39,52.81,8.06,57.56,11.21,1.005,32.02,1.265
