Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Visakhapatnam,Jaipur,Thiruvananthapuram
01-10-2017,1.37,12.04,14.66,16.22,2.95,19.34,0.05,0,1
02-10-2017,1.8,9.25,12.1,22.14,4.8,19.88,0.07,0,0.48
03-10-2017,1.81,9.16,11.47,32.38,9.81,39.73,0.05,0,0.83
04-10-2017,7.5,11.83,14.09,23.2,11.72,45.4,0.11,51.05,0.97
05-10-2017,21.6,13.9,13.8,36.06,11.45,41.89,0.03,35.78,1.18
06-10-2017,17.21,14.66,12.19,31.85,8.09,42.64,0.04,40.28,0.68
07-10-2017,17.23,12.3,14.27,37.13,12.33,23.05,0.06,35.25,1.56
08-10-2017,14.42,12.53,14.05,31.31,10.59,40.39,0.03,34.28,0.99
09-10-2017,15.19,18.35,17.82,35.01,6.49,35.55,0.04,35.86,1.8
10-10-2017,14.78,12.65,13.81,41.09,6.08,40.18,0,37.68,0
11-10-2017,17.4,14.11,14.22,22.52,4.63,109.78,0,31.06,0
12-10-2017,16.24,16.1,12.39,29.05,5.04,28.26,0,27.22,0
13-10-2017,16.58,20.74,14.41,46.9,3.15,25.66,0,33.94,0
14-10-2017,15.1,17.57,23.78,29.84,3.74,19.4,0,40.95,0
15-10-2017,18.62,16.49,15.25,41.41,3.41,47.92,0,66.35,0
16-10-2017,15.09,18.07,40.14,65.79,3.45,39.43,0,90.36,0
17-10-2017,21.29,23.85,49.91,57.02,4.69,44.39,0,72.9,0
18-10-2017,23.66,26.48,55.52,71.46,5.58,44.95,0,37.33,0
19-10-2017,21.72,27.96,53.32,33.42,10.71,33.57,0.13,31.03,2.91
20-10-2017,22.47,14.79,47.28,29.91,3.38,42.2,0,34.68,0.1
21-10-2017,16.86,14.83,49.3,25.23,5.46,29.46,0.03,39.87,0.6
22-10-2017,14.94,14.45,31.89,56.2,2.55,60.74,0,46.75,0
23-10-2017,17.72,16.93,63.05,84.66,5.48,92.02,0.12,25.84,1.41
24-10-2017,25.27,16.04,87.22,70.3,2.17,91.32,0,36.92,0.1
25-10-2017,26.42,16.63,57.55,84.92,1.55,72.98,0,60.91,0
26-10-2017,22.64,18.49,63.21,108.75,1.84,40.44,0,38.37,0
27-10-2017,19.54,16.51,52.4,98.16,2.33,41.76,0,47.29,0.13
28-10-2017,22.25,15.98,60.5,113.9,2.4,94.11,0,66.65,0
29-10-2017,21.46,14.75,57.94,45.39,4.19,55.14,0,45.42,0
30-10-2017,16.63,16.25,64.94,55.14,0,69.64,0,37.63,0
31-10-2017,24.36,14.16,75.68,62.96,32.64,29.03,0.21,48.24,5.92
01-11-2017,47.53,9.72,43.9,36.76,36.6,0,0.17,90.2,5.43
02-11-2017,50.52,10.8,56.86,44.44,27.41,26.02,0.14,112.11,6.32
03-11-2017,62.33,13.65,60.96,46.54,27.54,67.76,0.09,66.96,7.04
04-11-2017,27.96,18.14,74.75,52.5,23.05,122.4,0.14,28.03,6.78
05-11-2017,23.52,11.65,97.76,66.41,19.93,84.83,0.15,41.78,5.13
06-11-2017,22.24,15.71,96,60.42,25.12,63.09,1.65,90.88,7.88
07-11-2017,25.13,20.32,103.77,58.14,29.83,58.85,4.45,92.25,7.73
08-11-2017,25.46,14.1,104.65,66.12,24.69,84.36,11.07,80.23,9.29
09-11-2017,26.42,14.27,104.52,82.14,25.68,79.33,12.03,107.75,7.43
10-11-2017,20.93,15.3,109.98,63.79,27.05,203,4.18,93.27,8.01
11-11-2017,24.53,13.12,117.92,44.84,29.64,132.18,0.81,85.19,6.76
12-11-2017,24.2,11.81,104.82,30.59,29.99,70.91,0,94.28,7.04
13-11-2017,22.14,19.88,105.48,76.25,27.59,114.74,2.73,95.44,9.57
14-11-2017,20.53,19.35,75.36,116.02,28.97,166.51,12.06,28.69,9.06
15-11-2017,17.34,28.29,79.14,69.47,25.3,78.83,12.59,23.64,8.28
16-11-2017,23.09,31.03,82.34,70.19,27.1,50.08,11.94,21.08,9.24
17-11-2017,18.76,19.05,70.95,45.63,25.49,75.54,14.19,25.35,8.57
18-11-2017,22.57,18.68,50.62,37.86,24.83,136.55,11.36,25.1,7.32
19-11-2017,25.1,14.12,55.24,35.5,25.29,87.81,5.82,26.36,5.33
20-11-2017,25.05,14.46,64.19,31.15,25.21,39.46,10.34,23.93,6.73
21-11-2017,26.66,16.24,75.18,34.77,28.86,38.81,8.28,31.51,6.92
22-11-2017,28.5,18.52,74.09,42.64,22.12,42.31,9.69,43.67,7.9
23-11-2017,28.13,25.94,70.15,43.51,28.39,25.56,22.58,70.95,8.42
24-11-2017,30.94,26.61,82.97,43.54,23.41,47.96,21.16,102.15,8.4
