Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Gurugram,Jaipur,Thiruvananthapuram
28-08-2017,13.12,28.73,13.61,13.54,31.84,17.97,20.16,4.14
29-08-2017,14.98,33.28,18.33333333,18.2,35.24,29.91,20.25,3.7
30-08-2017,16.33,29.77,23.05666667,26.77,32.5,30.46,36.12,5.1
31-08-2017,24.66,40.89,27.78,19.36,30.67,18.97,172.28,7.45
01-09-2017,13.48,35.94,24.03,18.1,35.74,12.36,109.72,7.69
02-09-2017,15.86,33.32,25,18.2,32.11,12.16,112.46,7.59
03-09-2017,29.74,45.44,25.07,14.84,33.41,11.25,18.08,7.61
04-09-2017,23.83,52.5,24.93,14.14,33.5,13.92,22.85,7.71
05-09-2017,23.99,57.04,25.08,14.73,41.28,13.67,22.04,7.6
06-09-2017,27.63,50.32,24.95,18.19,24.76,12.08,19.97,7.6
07-09-2017,12.5,33.91,24.93,15.15,32.88,12.97,17.19,7.75
08-09-2017,34.54,19.78,25.88,20.56,39.66,17.47,16.84,7.71
09-09-2017,15.06,23.26,25.77,19.36,41.62,20.76,25.45666667,7.7
10-09-2017,9.66,33.22,26.39,30.02,31.82,17.71,34.07333333,7.7
11-09-2017,9.5,33.73,27.92,26.2,32.15,17.61,42.69,7.67
12-09-2017,11.3,32.25,24.84,29.4,33.02,14.26,43.17,7.62
13-09-2017,12.87,13.16,24.38,29.14,30.88,20.02,40.11,7.63
14-09-2017,28.38,33.18,26.98,23.29,34.13,18.91,37.53,7.69
15-09-2017,18.53,19.31,27.32,30.61,38,22.56,37.34,7.56
16-09-2017,14.39,27.23,26.7,32.14,34.23,21.38,36.74,7.68
17-09-2017,5.9,17.7,26.7,31.59,31.75,30.88,37.68,7.59
18-09-2017,6.18,19.6,30.08,27.24,34.2,38.15,34.34,7.71
19-09-2017,19.64,20.92,28.73,18.66,38.84,36.53,23.59,7.63
20-09-2017,25.61,25.78,31.95,16.73,41.74,30.21,28.72,7.73
21-09-2017,24.16,28.07,23.1,15.47,37.47,11.61,22.295,7.66
22-09-2017,28.96,30.08,24.88,14.94,36.6,9.48,15.87,7.74
23-09-2017,41.31,42.39,22.19,12.27,30.97,9.41,35.1,7.62
24-09-2017,29.38,37.77,22.63,16.39,29.73,16.84,38.96,7.57
25-09-2017,24.14,27.56,24.48,19.63,29.35,16.3,36.47,7.65
26-09-2017,27.37,32.34,30.45,20.53,29.15,12.34,43.75,7.67
27-09-2017,7.85,21.74,29.26,26.15,28.45,15.93,51.03,7.71
28-09-2017,21.6,22.01,34.06,30.48,28.01,23.68,1.59,7.53
29-09-2017,8.95,30.37,40.26,29.53,31.95,26.92,1.55,7.62
30-09-2017,29.89,35.78,38.44,29.65,34.25,31.03,1.55,7.57
01-10-2017,21.92,23.47,32.9,23.32,29.4,28.09,1.33,4.38
02-10-2017,34.02,31.28,30.1,16.98,32.57,25.6,1.11,4.3
03-10-2017,29.93,30.05,34.34,15.38,34.69,32,1.68,3.61
04-10-2017,30.31,16.24,35.79,20.42,39.92,30.07,2.42,3.93
05-10-2017,10.53,33.99,36.81,17.38,43.05,75.54,2.07,4.83
06-10-2017,28.31,29.66,38.67,20.43,32.82,54.23,0.98,3.99
07-10-2017,21.99,24.72,34.44,25.48,43.87,21.17,0.67,4.13
08-10-2017,35.86,35.85,35.32,28.6,36.8,50.41,0.43,3.82
09-10-2017,20.43,35.88,31.11,19.71,41.5,22.99,0.24,4.44
10-10-2017,45.08,28.71,30.89,22.94,70.62,26.71,0.87,4.7
11-10-2017,34.99,40.74,29.67,18.43,43.76,21.74,1.75,4.97
12-10-2017,22.7,33.92,35.14,23.52,54.35,34.77,2.18,5.23
13-10-2017,14.59,11.17,37.98,21.43,79.99,31.99,6.46,5.49
14-10-2017,9.9,24.98,42.39,31.1,63.15,34.61,24.99,5.76
15-10-2017,13.39,17.31,37.15,39.88,57.62,36.07,29.4,6.02
16-10-2017,15.03,9.19,30.49,28.96,72.46,32.59,30.87,6.28
17-10-2017,17.23,6.88,30.46,19.74,67.21,32.26,51.28,6.54
18-10-2017,27.54,26.01,35.86,18.81,56.47,26.67,66.34,6.81
19-10-2017,34.64,45.95,36.35,17.24,57.92,25.37,74.41,7.07
20-10-2017,38.72,38.81,41.14,15.35,84.66,40.66,37.96,3.83
21-10-2017,34.89,43.89,34.52,17.32,81.47,38.07,49.77,6.51
22-10-2017,28.1,44.44,34.88,26.57,68.38,32.95,31.04,6.23
23-10-2017,33.95,65.06,52.91,28.24,53.28,27.37,31.08,5.95
24-10-2017,27.3,34.76,86.13,26.58,40.66,31.42,44.67,3.85
25-10-2017,20.57,24.77,106.16,31.97,107.68,33.84,60.92,3.816666667
26-10-2017,12.69,14.36,99.71,25.79,71.63,29.87,113.08,3.783333333
27-10-2017,19.69,19.74,82.93,33.02,18.11,30.26,74.38,3.75
28-10-2017,32.07,20.15,110.71,29.39,80.8,40.62,42.78,4.7125
29-10-2017,36.67,29.74,83.99,42.12,58.83,37.19,85.91,5.675
30-10-2017,32.74,9.72,88.38,37.37,56.25,34.82,114.57,6.6375
31-10-2017,47.84,21.9,65.34,45.65,53.67,21.56,81.74,7.6
01-11-2017,43.92,11.64,56.79,37.03,58.62,33.53,43.61,7.71
02-11-2017,44.38,24.43,61.91,47.5,63.67,45.12,44.14,7.77
03-11-2017,52.18,29.09,62.16,46.69,55.23,30.22,67.79,7.77
04-11-2017,43.23,21.16,73.16,44.73,51.23,32.78,118.39,7.76
05-11-2017,17.19,12.74,86.74,46.58,47.67,34.6,100.07,7.69
06-11-2017,6.75,12.67,72.82,42.18,43.64,24.93,89.91,7.7
07-11-2017,7.02,9.18,56.06,46.2,43.46,29.88,58.88,7.74
08-11-2017,13.74,22.1,55.51,57.2,54.87,21.77,59.78,7.82
09-11-2017,30.46,31.39,86.62,56.13,50.7,23.35,57.94,7.76
10-11-2017,24.08,24.35,104.94,50.44,55.83,19.26,83,7.77
11-11-2017,30.86,32.78,95.54,60.8,71.54,28.94,98.66,7.72
12-11-2017,14.76,32.86,88.03,60.88,53.74,37.87,83.03,7.66
13-11-2017,43.16,26.02,94.42,45.74,59.62,24.72,63.32,7.84
14-11-2017,37.68,16.2,69.5,35.99,44.16,41.87,100.59,7.77
15-11-2017,39.31,23.57,60.28,37.48,48.8,37.75,89.14,7.83
16-11-2017,34.31,25.78,62.01,29.43,43.11,28.26,81.71,7.81
17-11-2017,37.48,29.76,47.92,37.44,37.36,20.93,62.68,7.73
18-11-2017,19.28,19.58,37.68,42.82,37.79,27.6,54.05,7.65
19-11-2017,15.11,16.62,47.8,40.77,39.81,45.13,72.81,7.67
20-11-2017,17.27,11.44,54.08,58.37,42.8,40.78,55.8,7.82
21-11-2017,3.14,9.64,57.13,69.72,40.93,36.67,51.15,7.75
22-11-2017,15.6,26.93,57.6,61.73,51,31.75,50.67,7.81
23-11-2017,28.57,33.97,54.34,54.78,39.92,29.15,55.99,7.76
24-11-2017,29.13,27.26,54.02,52.9,60.26,25.78,37.61,7.84
25-11-2017,38.5,45.01,48.1,54.83,68.38,25.51,35.21,7.79
26-11-2017,35.73,29.54,44.82,64.86,52.91,24.71,34.9,7.78
27-11-2017,24.36,19.64,41.09,65.26,55.76,27.3,28.37,7.8
28-11-2017,22.54,25.07,34.78,51.4,56.56,18.35,54.08,7.76
