Date,Bengaluru,Delhi,Hyderabad,Jaipur,Thiruvananthapuram
31-08-2017,111.68,60.15,49.77,62.19,48.67
01-09-2017,86.06,41.64,63.66,129.39,52.14
02-09-2017,87.12,45.86,75.72,76.9,35.43
03-09-2017,59.94,79.78,37.21,76.67,34.39
04-09-2017,85.24,84.29,49.36,105.84,48.9
05-09-2017,98.1,75.82,62.12,107.61,45.75
06-09-2017,49.13,85.23,70.96,119.22,19.97
07-09-2017,100.44,67.06,80.64,134.85,35.68
08-09-2017,72.73,101.89,58.94,127.1,28.79
09-09-2017,83.19,111.65,57.8,141.03,27.17
10-09-2017,93.49,119.5,41.91,134.31,25.92
11-09-2017,115.56,120.06,30.25,119.65,28.58
12-09-2017,104.51,103.84,27.36,100.32,23.44
13-09-2017,108.42,143.16,36.34,93.43,20.83
14-09-2017,90.68,186.11,17.55,129.25,21.98
15-09-2017,71.81,127.68,27.69,159.03,37.03
16-09-2017,92.8,82.26,19.92,166.8,34.22
17-09-2017,52.78,85.65,27.18,158.2,21.48
18-09-2017,66.31,102.29,16.29,166.38,29.78
19-09-2017,87.05,112.21,19.23,138.75,38.16
20-09-2017,81.53,111.9,24.64,147.92,27.48
21-09-2017,80.51,76.81,28.99,123.45,31.36
22-09-2017,80.49,18.59,35.75,86.61,44.17
23-09-2017,91.14,43.57,63.17,99.61,48.97
24-09-2017,112.5,81.42,108.57,103.16,44.41
25-09-2017,53.18,100.02,87.46,91.97,52.61
26-09-2017,76.88,114.15,98.84,106.71,45.45
27-09-2017,50.86,125.39,108.16,121.45,29.29
28-09-2017,90.26,102.91,74.16,93.76,24.1
29-09-2017,71.25,140.94,58.36,135.61,29.61
30-09-2017,68.52,125.73,61.2,156.57,24.03
01-10-2017,57.46,120.56,50.52,132.15,13.37
02-10-2017,46.54,128.15,31.41,103.81,10.5
03-10-2017,63.75,127.48,36.84,126.14,17.57
04-10-2017,67.04,138.81,77.06,168.86,22
05-10-2017,42.33,125.31,89.52,49.68,30.71
06-10-2017,55.39,111.43,54.04,127.56,13
07-10-2017,70.61,151.15,46.38,136.85,19.95
08-10-2017,65.04,155.03,42.02,137.4,33.45
09-10-2017,71.87,173.87,41.72,167.67,42.21
10-10-2017,73.85,158.68,46.53,137.5,41.2
11-10-2017,62.71,122.3,51.78,148.16,40.18
12-10-2017,54.56,186.91,69.1,163.82,39.17
13-10-2017,52.24,207.87,39.46,185.03,38.16
14-10-2017,44.65,208.87,60.37,203.48,37.15
15-10-2017,50.86,195.47,61.1,177.3,36.13
16-10-2017,76.61,213.98,154.52,183.07,35.12
17-10-2017,118.88,212.35,133.53,199.42,34.11
18-10-2017,188.67,204.03,137.82,209.76,33.09
19-10-2017,147.94,259,144.81,185.42,32.08
20-10-2017,264.9,387.13,112.82,242.1,16
21-10-2017,157.62,317.52,105.44,220.78,24.75
22-10-2017,118.74,201.91,98.82,164.83,46.65
23-10-2017,123.41,242.73,83.34,157.92,68.55
