Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Gurugram,Jaipur,Thiruvananthapuram
19-06-2017,16.61,50.48,60.9,71.85,7.61,454.35,64.78,24
20-06-2017,24.03,45.95,35.1,55.41,7.38,104.96,70.1,24
21-06-2017,19.58,51.81,58.27,67.89,8.66,159.35,67.5,24
22-06-2017,21.05,43.94,61.93,51.28,11.4,141.73,24.8,16.25
23-06-2017,24.53,46.72,44.08,66.93,11.48,196.21,32.3,15.08
24-06-2017,25.35,51.02,63.62,72.07,10.85,119.27,55.36,11.15
25-06-2017,25.16,41.41,76.1,54.58,11.81,167.63,47.62,12.25
26-06-2017,31.13,45.53,51.52,39.02,11.79,111.06,61.34,10.06
27-06-2017,37.61,47.32,36.62,38.85,11.82,205.23,36.51,13.03
28-06-2017,37.34,39.61,29.83,44.5,8.84,62.93,19.66,14.19
29-06-2017,36.44,48.43,22.98,47.07,10.38,40.01,16.8,15.81
30-06-2017,35.4,94.72,25.83,39.21,13.08,60.53,14.37,14.91
01-07-2017,25.33,56.49,43.35,38.16,10.98,76.66,25.14,14.69
02-07-2017,30.07,62.74,20.52,34.75,9.75,61.17,28.74,10.59
03-07-2017,25.82,47.17,46.71,28.98,11.8,69.17,39.4,10.4
04-07-2017,83.374,37.6,116.12,28.2,15.53,110.09,52.82,19.2
05-07-2017,140.928,46.61,50.81,30.74,10.4,359.63,56.88,22.43
06-07-2017,198.482,42.38,47.17,24.48,14.66,97.11,68.1,19.08
07-07-2017,256.036,53.45,41.42,29.46,14.77,455.38,60.61,18.61
08-07-2017,313.59,59.81,45.31,25.21,18.19,137.34,54.57,33.78
09-07-2017,35.29,52.28,58.46,18.4,18.1,821.42,46.43,14.47
10-07-2017,33.44,42.48,41.92,30.2,15,147.12,44.47,15.94
11-07-2017,29.38,62.34,33.04,16.02,19.31,382.31,81.08,8.74
12-07-2017,27.64,28.72,22.35,21.53,14.29,75.84,41.86,17.33
13-07-2017,28.97,62.64,22.44,28.37,14.49,65.39,33.25,17.62
14-07-2017,22.68,48.22,30.35,55.44,13.9,723.16,30.59,14.44
15-07-2017,22.43,63.29,32.02,57.07,16.53,767.825,45.02,19.42
16-07-2017,17.2,46.96,38.77,47.24,10.24,812.49,44.54,18.97
17-07-2017,21.05,45.1,33.56,40.79,10.78,445.85,33.83,19.72
18-07-2017,18.45,37.98,37.67,46.12,8.48,47.73,33.98,17.01
19-07-2017,16.44,48.24,55.96,41.46,5.72,55.35,15.55,14.38
20-07-2017,31.68,41.12,28.88,41.48,6.54,33.14,30.57,13.47
21-07-2017,21.53,86.01,23.12,56.67,10.83,42.9,28.19,7.42
22-07-2017,20.15,50.07,18.54,47.17,13.37,397.25,18.78,9.68
23-07-2017,17.34,37.84,22.65,47.46,15.97,22.36,14.6,11.94
24-07-2017,24.23,112.23,17.52,45.11,15.62,218.14,11.5,14.2
25-07-2017,28.54,94.7,22.17,37.14,14.04,25.41,21.49,16.93
26-07-2017,23.68,92.04,20.17,46.49,16.55,53,28.82,23.75
27-07-2017,24.49,51.29,24.42,47.36,14.43,84.4,26.78,20.52
28-07-2017,21.77,49.33,25.71,49.58,12.62,264.95,33.62,15.53
29-07-2017,27.91,40.62,27.25,38.49,15.28,124.17,34.23333333,15.07
30-07-2017,22.36,45.56,10.88,40.43,17.5,858.73,34.84666667,24.12
31-07-2017,27.27,28.16,17.1,28.38,17.42,38.04,35.46,23.5
01-08-2017,26.57,74.6,17.24,32.39,16.85,16.12,43.26,18.25
02-08-2017,20.74,68.25,27.56,37.85,16.78,28.56,44.16,15.15
