Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Jaipur,Thiruvananthapuram
26-09-2017,4.76,18.8,7.13,4.79,7.2,7.53,7.36,3.44
27-09-2017,6.16,25.33,6.62,6.4,6.41,11.56,7.87,3.44
28-09-2017,4.63,21.76,6.08,7.7,5.29,11.76,6.44,2.91
29-09-2017,5.13,50.51,7.17,6.95,4.87,4.2,7.86,4.15
30-09-2017,5.74,22.92,6.64,7.67,5.4,6.25,7.31,3.74
01-10-2017,4.53,11.61,3.46,6.78,5.12,6.12,7.13,1.86
02-10-2017,5.64,8.99,2.94,8.56,3.37,5.52,7.28,3.49
03-10-2017,4.49,19.68,5.81,8.82,6.88,3.5,7.12,2.07
04-10-2017,5.36,21.41,11.7,7.04,10.46,3.45,7.76,2.11
05-10-2017,5.07,16.78,11.96,7.37,8.94,5.08,6.82,2.21
06-10-2017,5.66,12.15,13.91,7.04,5.7,5.25,8.08,2.17
07-10-2017,4.55,10.46,22.29,6.75,7.36,6.72,8.63,2.15
08-10-2017,4.22,10.51,24,6.95,19.21,9.34,8.71,2.16
09-10-2017,5.2,14.28,23.51,7.04,4.24,7.14,8.64,2.24
10-10-2017,3.93,5.18,7.6,8.1,8.63,5.83,8.54,2.48
11-10-2017,4.38,7.64,6.57,5.91,4.3,9.59,17.57,2.72
12-10-2017,4.2,3.49,7.65,6.5,4.2,9.64,8.68,2.95
13-10-2017,4.49,14.37,9.36,5.6,2.36,12.06,11.28,3.19
14-10-2017,4.64,13.82,14.64,5.22,2.46,12.71,9.12,3.43
15-10-2017,4.22,11.79,14.31,7.14,4.4,14.06,10.99,3.67
16-10-2017,4.05,10.98,23.09,11.86,18.9,12.86,7.49,3.9
17-10-2017,4.37,9.8,17.44,17.23,11.19,7.53,8.08,4.14
18-10-2017,4.81,22.85,27.42,21.34,4.82,6.95,9.22,4.26
19-10-2017,4.39,25.11,22.15,31.73,5.43,15.41,15.18,4.38
20-10-2017,5.88,8.8,36.85,15.66,2.02,9.8,14.82,2.6
21-10-2017,5.69,7.05,20.55,15.55,10.49,9.83,9.82,1.51
22-10-2017,5.32,10.8,24.42,19.69,3.29,10.24,6.54,2.02
23-10-2017,5.39,10.73,27.79,23.36,5.28,10.65,6.12,2.53
24-10-2017,5.62,11.09,23.19,21.03,5.02,12.57,7.73,2.35
25-10-2017,4.42,11.24,23.77,26.05,9.07,13.47,8.3,2.266666667
26-10-2017,4.26,17.26,24.12,26.34,6.6,9.57,8.39,2.183333333
27-10-2017,4.26,6.78,21.24,19.57,13.15,7.66,8.38,2.1
28-10-2017,4.97,11.79,27.88,19.45,11.15,21.46,9.91,2.5175
29-10-2017,4.3,11.68,25.08,14.33,7.7,10.6,6.77,2.935
30-10-2017,3.71,9.51,23.68,10.32,12.245,3.32,7.56,3.3525
31-10-2017,3.6,11.69,19.36,10.32,16.79,8.42,6.4,3.77
01-11-2017,2.66,17.43,16.01,7.29,14.94,7.82,5.88,2.76
02-11-2017,4.15,14.51,17.19,7.06,17.59,7.22,6.15,4.25
03-11-2017,5.08,10.59,15.29,6.81,20.33,14.81,6.02,3.45
04-11-2017,3.3,6.35,18.87,7.25,13.5,18.5,5.85,4.07
05-11-2017,3.33,6.55,19.55,8.52,13.78,20.26,3.2,4.12
06-11-2017,3.15,11.84,18.74,9.71,15.11,21.96,3.97,3.64
07-11-2017,3.51,13.26,15.29,10.21,11.95,19.8,4.2,4.55
08-11-2017,2.98,13.02,20.46,9.79,17.4,24.95,4.19,5.68
09-11-2017,3.26,13.05,15.68,9.39,16.53,20.66,5.87,3.63
10-11-2017,2.76,10.05,17.84,8.94,22.05,21.41,5.28,3.75
11-11-2017,3.99,12.95,17.8,10.15,27.55,26.09,6.1,5.03
12-11-2017,3.85,16.59,13.94,10.89,21.15,23.98,4.92,3.97
13-11-2017,3.68,11.35,15.58,10.83,17.25,21.17,7.21,4.82
14-11-2017,4.15,8.2,13.67,10.19,20.01,21.39,5.15,5.2
15-11-2017,3.88,10.74,19.24,9.5,16.76,20.43,7.96,3.92
16-11-2017,4.34,12.58,22.89,9.39,13.31,21.61,6.3,4.87
17-11-2017,3.97,12.15,16.32,8.03,14.81,22.51,10.65,6.18
18-11-2017,3.59,13.45,13.3,9.27,11.42,22.27,10.75,3.6
19-11-2017,3.76,12.77,15.12,24.02,10.46,26.1,10.38,3.1
20-11-2017,3.59,11.02,13.7,13.4,10.05,24.59,7.17,4.69
21-11-2017,3.83,12.9,15.02,6.62,8.34,19.85,7.95,4.99
22-11-2017,3.36,12.47,18.13,8.11,14.21,20.66,9.49,3.12
23-11-2017,4.05,12.8,18.32,8.36,18.61,21.75,10.31,5.1
24-11-2017,3.89,15.48,19.2,9.02,12.78,18.99,11.85,4.89
25-11-2017,3.81,15.29,17.95,11.13,13.35,20.99,10.92,4.79
26-11-2017,3.75,11.31,21.01,11.19,10.47,29.86,8.99,3.84
27-11-2017,3.82,15.38,18.95,12.16,15.16,20.68,8.53,4.65
28-11-2017,3.95,19.09,19.39,8.69,16.7,22.84,7.73,3.41
29-11-2017,3.99,11.66,20.1,10.96,15,17.53,8.99,1.52
30-11-2017,4.12,8.83,16.83,8.59,14.09,16.88,10.28,3.02
01-12-2017,3.23,9.32,17.59,8.26,14.25,20.61,8.25,2.93
02-12-2017,2.98,11.23,20.17,8.96,10.97,28.35,8.1,4.19
03-12-2017,2.16,14.78,19.92,8.77,9.54,23.45,7.7,3.92
04-12-2017,2.58,20.97,20.17,9.54,12.21,24.46,8.55,4.96
05-12-2017,3.02,10.72,18.29,10.58,13.2,26.59,9.56,4.803333333
06-12-2017,4.86,14.01,20.88,11.95,13.15,25.24,10.63,4.646666667
07-12-2017,4.42,17.67,18.17,8.77,16.11,20.03,10.06,4.49
08-12-2017,4.75,14.6,21.69,13.25,24.61,16.82,10.8,1.45
09-12-2017,4.86,12.04,24.22,15.34,19.03,20.24,6.13,4.71
10-12-2017,4.96,9.89,25.97,13.86,22.76,58.61,6.87,4.33
11-12-2017,4.41,7.67,24.39,10.23,22.48,37.5,7.74,3.96
12-12-2017,3.84,6.1,11.71,10.5,12.94,30.54,4.33,3.64
13-12-2017,3.72,9.12,10.81,8.87,8.51,38.42,3.32,3.43
14-12-2017,3.71,13.19,11.18,8.43,7.88,59.67,13.63,3.99
15-12-2017,2.87,11.93,9.69,11.8,7.52,46.3,16.03,5.33
16-12-2017,3.2,7.92,4.98,8.63,8.56,39.91,13.97,3.07
17-12-2017,3.56,8.69,12.68,10.49,12.3,38.89,10.11,3.38
18-12-2017,3.66,8.65,16.97,9.83,22.04,34.58,12.86,4.12
19-12-2017,3.71,21.79,23.03,10.93,24.06,54.94,13.65,4.54
20-12-2017,6.38,11.48,25,13.64,21.88,51.15,10.35,3.96
21-12-2017,5.76,10.75,22.54,12.24,16.67,46.2,11.87,5.13
22-12-2017,3.32,13.33,20.47,11.66,16.21,45.23,8.57,3.44
23-12-2017,3.55,13.21,19.95,9.16,15.01,50.93,9.47,4.1
24-12-2017,2.29,15.53,23.73,8.54,10.11,54.55,7.95,5.42
25-12-2017,2.78,8.9,23.76,7.07,8.51,39.37,12.47,3.39
26-12-2017,2.72,14.59,22.1,8.41,18.35,41.33,9.15,3.44
27-12-2017,3.4,13.05,23.17,8.66,16.26,34.09,11.31,3.89
28-12-2017,3.38,11.39,25.51,9.5,14.18,33.04,7.65,3.89
29-12-2017,3.6,12.13,25.54,10.19,10.66,34.99,11.57,3.38
30-12-2017,3.26,8.92,21.01,7.24,9.62,37.05,17.52,4.14
31-12-2017,2.95,6.62,17.97,7.64,8.17,53.72,12.93,4.32
01-01-2018,3.2,6,18.58,6.89,11.25,51.63,9.85,3.51
02-01-2018,3.37,8.23,12.43,8.56,9.44,36.7,12.7,3.29
03-01-2018,2.8,12.77,10.28,7.57,10.52,49.93,12.06,6.04
04-01-2018,3.32,11.75,14.42,7.77,17.34,42.33,12.22,5.21
05-01-2018,5.34,16.44,13.2,9.07,15.67,30.81,9.67,7.36
06-01-2018,4.28,29.31,18.15,8.87,12.81,39.19,10.3,8.37
07-01-2018,3.37,17.55,16.27,8.86,11.62,56.84,16.11,6.67
08-01-2018,4.26,14.31,17.15,9.17,9.28,61.32,15.68,6.81
09-01-2018,16.6,20.33,21.82,8.57,10.51,52.83,11.92,6.16
10-01-2018,3.16,10.64,18.98,8.8,12.71,45.91,14.62,7.43
11-01-2018,4.91,11.52,17.4,9.82,17.13,66.87,19.33,5.36
12-01-2018,5.74,12.57,24.03,9.29,17.29,70.52,23.61,4.72
13-01-2018,3.51,19.38,24.28,10.86,20.89,50.29,15.6,5.48
14-01-2018,3.2,20.61,22.47,9.76,13.76,44.99,12.79,4.52
15-01-2018,3.35,13.78,19.12,8.7,7.43,53.83,13.37,6.34
16-01-2018,3.47,12.31,19.06,9.81,9.12,59.01,10.78,5.81
17-01-2018,3.58,26.45,14.48,10.82,10.5,49.61,8.48,7.96
18-01-2018,3.66,23.22,21.02,9.9,13.02,43.97,12.92,5.14
19-01-2018,4.22,29.85,22.27,9.96,17.29,45.92,10.84,8.08
20-01-2018,4.32,34.03,14.45,10.46,23.32,47.9,12.27,8.59
21-01-2018,3.97,33.72,16.91,9.56,13.76,47.68,10.02,7.23
22-01-2018,4.24,13.69,21.64,8.87,9.28,49.05,12.44,5.24
23-01-2018,4.59,9.92,14.25,9.71,6.93,47.83,8.79,6.63
24-01-2018,4.59,12.56,11.9,10.27,9.52,49.66,10.4,5.65
25-01-2018,4.19,9.64,6.84,8.1,16.47,50.08,9.51,5.66
26-01-2018,4.24,6.7,7.99,8.58,19.6,48.81,10.99,7.52
27-01-2018,4.21,7.26,7.94,9.7,13.62,45.88,14.81,9.01
28-01-2018,4.28,6.72,10.26,8.36,9.02,29.76,17.77,6.7
