Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Jaipur
01-10-2017,0.92,0.03,2.34,3.47,4.06,0.56,0.63
02-10-2017,0.75,0,2.43,2.74,2.16,0.67,0.31
03-10-2017,0.83,0.01,1.27,5.11,7.43,0.32,0.49
04-10-2017,1.16,0,2.07,7.57,12.69,0.54,0.92
05-10-2017,1.11,0.04,1.59,2.61,17.97,0.44,0.24
06-10-2017,1.78,0.05,2.11,2,8.81,0.41,0.45
07-10-2017,1.67,0.04,1.72,1.96,10.84,0.36,0.22
08-10-2017,1.31,0.05,2.14,2,6.82,0.66,0.23
09-10-2017,2.84,0.05,2.97,1.99,5.21,0.68,0.58
10-10-2017,4.13,0.04,3.28,1.86,3.27,0.11,0.76
11-10-2017,2.37,0.02,2.71,1.41,4.89,0.12,0.57
12-10-2017,2.39,0.07,2.56,4.44,6.71,0.11,0.65
13-10-2017,2.33,0.04,2.34,2.6,1.1,0.16,0.69
14-10-2017,2.03,0.05,3.4,2.06,1.48,0.26,0.84
15-10-2017,1.22,0.02,3.62,2.77,1.2,0.53,0.63
16-10-2017,2.24,0.05,3.42,0.52,0.96,0.61,1.4
17-10-2017,3.41,0.06,3.39,1.29,2.38,0.23,9.08
18-10-2017,3.57,0.03,3.38,1.32,11.62,0.09,8.58
19-10-2017,2.2,0.03,4.52,2.88,11.82,0.63,9.54
20-10-2017,2.51,0.03,5.54,2.53,0.87,0.03,7.01
21-10-2017,1.49,0.02,4.02,2.31,0.97,0.25,8.04
22-10-2017,1.27,0.13,4.04,3.26,0.19,0,9.57
23-10-2017,1.86,0.18,4.65,4.03,4.33,0.36,8.61
24-10-2017,2.58,0.02,5.47,5.71,0.89,0.63,7.86
25-10-2017,1.07,0.01,5.08,6.13,0.18,0.97,12.42
26-10-2017,0.85,0.56,4.28,4.31,0.34,1.35,13.81
27-10-2017,0.81,0.06,4.94,4.17,1.05,1.18,15.89
28-10-2017,0.67,0.02,7.47,3.4,9.04,0.48,18.15
29-10-2017,0.06,0.02,6.8,2.47,1.29,1.34,17.93
30-10-2017,0.04,0.02,5.67,3.21,0,0.68,13.59
31-10-2017,0.19,2.29,11.75,2.08,38.06,0.74,14.63
01-11-2017,0.06,1.72,6.36,2.48,45.03,0,18.51
02-11-2017,0.09,1.54,9.71,2.32,30.22,0.51,17.2
03-11-2017,0.15,0.99,6.06,4.33,30,1.63,12.63
04-11-2017,0.11,2.4,5.21,1.42,24.64,5,14.16
05-11-2017,0,3.46,12.85,0.72,26.92,5.26,14.36
06-11-2017,0.25,2.54,14.37,1.19,26.73,4.62,17.96
07-11-2017,0.28,5.08,26.96,2.22,31.07,4.43,25.61
08-11-2017,0.2,2.27,25.53,1.14,33.9,4.52,25.26
09-11-2017,0.21,1.67,25.25,2.87,35.04,4.56,22.89
10-11-2017,0.25,1.74,28.06,1.11,29.47,5.37,20.08
11-11-2017,0.18,1.83,32.33,1.54,26.91,5.7,24.82
12-11-2017,0,0.92,28.2,1.06,33.38,5.35,24.29
13-11-2017,0.12,1.69,18.48,1.76,31.59,5.22,19.59
14-11-2017,0,1.79,11.39,1.98,30.87,6.22,6.38
15-11-2017,0.12,1.83,13.31,1.47,21.49,5.42,5.29
16-11-2017,0.14,0.38,12.03,2.88,22.69,4.7,4.45
17-11-2017,0.21,2.62,8.48,1.07,25.05,5.03,1.88
18-11-2017,0.09,2.68,5.38,0.99,18.83,5.27,1.4
19-11-2017,0,2.45,5.24,0.8,25.26,5.47,0.59
20-11-2017,0,3.09,6.34,0.76,33.32,4.1,2.3
21-11-2017,0,1.23,10.71,0.67,21.33,3.48,2.45
22-11-2017,0.14,1.61,11.65,0.94,12.43,3.76,2.22
23-11-2017,0.07,2.7,11.97,0.9,15.71,3.81,4.68
24-11-2017,0.07,2.38,13.88,2.52,15.13,4.34,8.79
25-11-2017,0,1.27,15.24,2.79,17.66,4.49,14.11
26-11-2017,0,1.43,17.26,0.68,13.06,5.39,18.88
27-11-2017,0,1.14,13.04,1.55,20.01,4.56,11.34
28-11-2017,0,1.47,19.68,1.1,31.14,4.71,15.11
29-11-2017,0,0.3,28.86,2.98,16.61,6.19,21.26
30-11-2017,0,0.61,23.32,3.38,12.16,7.06,11.84
01-12-2017,0,0.33,20.7,3.83,13.32,6.44,8.57
02-12-2017,0,0.08,25.81,2.13,15.59,7.21,5.36
03-12-2017,0.02,0,26.32,1.66,11.38,5.93,5.59
04-12-2017,0,0.56,23.27,1.63,9.43,5.26,9.08
05-12-2017,0,1.05,15.21,0.73,7.83,4.81,2.51
06-12-2017,0.43,0.83,8.36,4.78,8.81,5.93,1.26
07-12-2017,2.92,1.75,7.35,12.75,20.98,5.22,5.2
08-12-2017,1.33,2.68,7.98,4.26,18.64,5.22,6.71
09-12-2017,1.38,3.65,17.98,3.16,21.25,4.95,7.89
10-12-2017,1.2,3.96,29.86,7.82,24.04,4.74,8.9
11-12-2017,1.31,1.8,19.42,4.33,25.71,4.95,0.9
12-12-2017,1.31,1.99,6.88,5,35.81,4.58,1.05
13-12-2017,1.25,3.31,6.59,1.26,22.77,4.24,1.09
14-12-2017,1.18,5.58,5.87,0.79,12.58,3.76,0.77
15-12-2017,1.17,3.23,4.83,0.76,12,3.69,0.82
16-12-2017,1.13,2.1,2.85,3.23,16.57,3.79,0.83
17-12-2017,1.07,1.51,3.48,1.7,24.39,4.02,0.97
18-12-2017,1.14,2.09,6.42,1.14,20.96,4.25,0.79
19-12-2017,1.19,2.33,10.74,3.02,19.14,4.07,1.835
20-12-2017,1.21,2.85,14.07,5.27,34.41,4.75,2.88
21-12-2017,1.13,2.5,10.87,2.56,32.45,4.18,1.49
22-12-2017,1.17,2.26,7.93,1.11,38.49,3.69,2.87
23-12-2017,1.22,2.94,9.81,1.1,25.14,3.65,6.25
24-12-2017,1.11,3.04,14.99,1.52,22.93,3.39,6.06
25-12-2017,1.22,2.95,15.78,0.93,21.63,3.05,4.96
26-12-2017,1.21,2.7,12.99,1.13,30.55,3.48,5.8
27-12-2017,0.97,2.53,18.27,1.72,22.49,4.1,8.26
28-12-2017,0.95,3.21,23.66,2.72,21.6,4.81,11.64
29-12-2017,1.2,4.44,19.38,1.56,21.46,3.82,12.16
30-12-2017,1.16,3.92,25.19,1.16,23.28,3.73,4.54
31-12-2017,0,3.4,21.12,1.12,23.6,3.56,2.38
01-01-2018,0,2.97,14.77,1.23,21.07,2.96,4.52
02-01-2018,0,4.07,9.71,3.19,16.68,3.03,5.3
03-01-2018,0,3.11,6.6,6.27,16.7,2.56,13.34
04-01-2018,0,3.17,8.2,7.18,26.54,2.78,7.31
05-01-2018,0,3.06,8.14,5.87,20.49,3.05,14.2
06-01-2018,0,3.56,13.64,4.82,25.95,2.81,14.72
07-01-2018,0,3.7,6.5,5.49,21.34,3.33,6.89
08-01-2018,0,2.86,7.87,5.86,12.46,3.87,18.63
09-01-2018,23.53,2.56,13.99,5.16,11.99,3.1,11
10-01-2018,0.39,4.02,7.3,5.43,13.68,2.82,15.98
11-01-2018,0.32,3.17,6.83,3.11,22.96,2.75,10.51
12-01-2018,0.3,3.65,11.32,2.32,27.68,3.16,10.34
13-01-2018,0.25,4.43,21.81,2.15,28.97,2.65,19.86
14-01-2018,1.11,2.54,10.03,3.4,24.52,2.84,4.37
15-01-2018,0.23,1.81,7.7,4.15,9.33,2.82,3.94
16-01-2018,0.22,2.28,9.36,3.46,26.83,3.56,3.18
17-01-2018,0.29,3.33,12.58,4.04,18.36,3.98,1.19
18-01-2018,0.39,3.03,14.81,3.89,30.44,3.67,1.73
19-01-2018,0.36,2.9,16.52,12.02,33.75,3.94,1.55
20-01-2018,0.37,3.05,4.43,4.84,37.82,3.02,0.91
21-01-2018,0.26,2.95,7.02,5.79,27.78,3.45,2.1
22-01-2018,0.44,2.68,10.9,4.52,16.9,3.7,0.63
23-01-2018,0.39,3.09,6.67,24.62,12.28,3.71,2.27
24-01-2018,0.39,2.55,6.23,18.98,12.56,3.34,6.63
25-01-2018,0.35,2.71,3.87,18.65,32.98,2.76,3.42
26-01-2018,0.39,2.32,3.7,16.63,33.63,2.74,4.1
27-01-2018,0.46,2.54,4.87,13.28,27.88,2.94,3.09
28-01-2018,0.29,1.75,4.36,15.75,18.63,3.66,2.41
29-01-2018,0.29,2.39,5.5,18.14,17.05,3.64,2.57
30-01-2018,0.4,2.12,4.26,9.56,29.14,3.27,7.15
31-01-2018,0.46,2.83,3.78,5.67,41.6,3.12,1.99
01-02-2018,0.41,3.56,5.48,3.58,37.74,3.36,3.73
02-02-2018,1.34,3.61,5.93,3.57,41.64,3.18,3.39
03-02-2018,0.24,3.4,4.57,5.69,32.65,3.75,0.5
04-02-2018,0.02,1.4,3.23,1.91,19.19,3.66,0.73
05-02-2018,0.18,2.54,4.47,0.78,5.67,3.07,1.13
06-02-2018,0.26,2.54,4.88,0.4,43.34,2.62,0.83
07-02-2018,0.07,1.71,3.92,0.53,35.02,2.97,2.57
08-02-2018,0.25,1.84,6.09,0.8,16.53,2.52,2.53
09-02-2018,2.58,2.1,6.44,0.75,17.15,2.7,2.9
10-02-2018,4.2,1.68,11,1.04,16.88,2.63,2.19
11-02-2018,0.92,1.45,5.29,2.25,4.53,3.22,1.37
12-02-2018,0.89,1.79,2.11,1.14,3.46,2.78,1.52
13-02-2018,0.91,1.59,4.16,1.52,4.74,2.9,3.21
14-02-2018,0.8,1.18,2.66,0.13,9.6,2.9,2.95
15-02-2018,0.96,1.7,2.82,0.14,13.04,2.3,5.08
16-02-2018,1.17,1.91,3.48,0.14,16.62,2.71,15.65
17-02-2018,1.91,1.69,3.91,0.26,22.59,2.53,25.16
18-02-2018,0.91,0.32,3.78,0.39,18.56,3.26,21.63
19-02-2018,1.06,0.28,5.52,0.58,6.61,3.19,23.16
20-02-2018,1.02,0.71,5.42,0.63,10.52,2.99,23.83
21-02-2018,1.12,1.62,8.8,2.11,14.68,3.31,4.07
