,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,,,,Severe,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,Severe,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,Moderate,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-11,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-17,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-18,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-24,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-25,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,Very Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,Moderate,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,Moderate,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-07,Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-08,Very Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,Very Poor,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,Very Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-14,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-15,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-18,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,Severe,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,Severe,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,Severe,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-02-28,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,Moderate,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,Severe,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,Very Poor,,,Moderate,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,Severe,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-07,,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-08,Moderate,,,Moderate,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,Poor,,,Moderate,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,Poor,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,Very Poor,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,Poor,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-14,Poor,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-15,Poor,,,Moderate,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,Moderate,,,Moderate,,,,,,,,,,,,,,,,,,,,,,
2015-03-17,Poor,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,Poor,,,Moderate,,,,,,,,,,,,,,,,,,,,,,
2015-03-19,Severe,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,Severe,,,Poor,,,,,,,,,,,,,,,,,,,,,,
2015-03-21,Severe,Satisfactory,,Poor,Severe,,,,,,,,,,,,,,,,,,,,,
2015-03-22,Severe,Moderate,,Poor,Severe,,,,,,,,,,,,,,,,,,,,,
