,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,0.92,3.26,16.3,69.16,2.11,,,,,,,,,,,,,,,,,,,,,
2015-01-02,0.97,6.05,16.49,62.09,2.37,,,,,,,,,,,,,,,,,,,,,
2015-01-03,17.4,11.91,9.72,25.73,2.27,,,,,,,,,,,,,,,,,,,,,
2015-01-04,1.7,7.45,9.6,25.01,2.24,,3.7,,,,,,,,,,,,,,,,,,,
2015-01-05,22.1,9.52,9.16,14.01,2.32,,3.61,,,,,,,,,,,,,,,,,,,
2015-01-06,45.41,6.6,30.58,17.21,2.33,,4.21,,,,,,,,,,,,,,,,,,,
2015-01-07,112.16,22.6,43.92,26.99,2.68,,26.08,,,,,,,,,,,,,,,,,,,
2015-01-08,80.87,7.5,26.74,23.34,4.19,,10.31,,,,,,,,,,,,,,,,,,,
2015-01-09,29.16,6.75,39.24,19.18,4.27,,8.79,,,,,,,,,,,,,,,,,,,
2015-01-10,,3.38,10.2,24.79,4.02,,8.12,,,,,,,,,,,,,,,,,,,
2015-01-11,132.07,3.97,55.04,28.46,3.53,,14.0,,,,,,,,,,,,,,,,,,,
2015-01-12,52.04,10.85,23.78,24.77,3.09,,13.26,,,,,,,,,,,,,,,,,,,
2015-01-13,48.82,10.65,48.95,34.28,3.39,,33.63,,,,,,,,,,,,,,,,,,,
2015-01-14,19.2,9.09,29.88,20.78,2.89,,32.0,,,,,,,,,,,,,,,,,,,
2015-01-15,0.6,6.79,18.58,47.91,2.44,,16.05,,,,,,,,,,,,,,,,,,,
2015-01-16,1.63,10.74,12.29,42.33,1.78,,11.73,,,,,,,,,,,,,,,,,,,
2015-01-17,11.44,8.17,9.57,42.18,2.15,,20.28,,,,,,,,,,,,,,,,,,,
2015-01-18,6.1,6.16,24.48,45.51,1.99,,13.45,,,,,,,,,,,,,,,,,,,
2015-01-19,2.51,7.83,42.76,27.32,3.38,,12.24,,,,,,,,,,,,,,,,,,,
2015-01-20,7.92,10.44,21.82,16.47,4.07,,13.19,,,,,,,,,,,,,,,,,,,
2015-01-21,9.52,7.02,43.8,12.27,16.81,,12.78,,,,,,,,,,,,,,,,,,,
2015-01-22,9.05,17.15,45.63,14.75,13.04,,14.64,,,,,,,,,,,,,,,,,,,
2015-01-23,22.53,3.8,34.64,11.99,5.72,,15.16,,,,,,,,,,,,,,,,,,,
2015-01-24,2.03,4.77,12.39,10.38,4.61,,5.53,,,,,,,,,,,,,,,,,,,
