,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,18.22,17.33,15.39,36.39,13.46,,,,,,,,,,,,,,,,,,,,,
2015-01-02,15.69,19.73,13.42,32.87,10.76,,,,,,,,,,,,,,,,,,,,,
2015-01-03,19.3,19.88,19.56,30.31,12.43,,,,,,,,,,,,,,,,,,,,,
2015-01-04,18.48,21.61,16.2,36.91,12.46,,17.19,,,,,,,,,,,,,,,,,,,
2015-01-05,21.42,22.17,16.3,34.92,12.27,,9.69,,,,,,,,,,,,,,,,,,,
2015-01-06,38.48,23.2,35.6,37.84,12.91,,22.02,,,,,,,,,,,,,,,,,,,
2015-01-07,40.62,28.66,46.38,40.15,17.12,,40.08,,,,,,,,,,,,,,,,,,,
2015-01-08,36.74,31.1,37.79,43.16,24.45,,33.02,,,,,,,,,,,,,,,,,,,
2015-01-09,31.0,25.98,42.65,38.56,24.74,,31.6,,,,,,,,,,,,,,,,,,,
2015-01-10,7.04,29.23,19.17,46.39,20.67,,32.52,,,,,,,,,,,,,,,,,,,
2015-01-11,55.8,29.84,49.87,47.29,18.77,,31.96,,,,,,,,,,,,,,,,,,,
2015-01-12,40.67,28.4,30.31,44.71,17.52,,30.2,,,,,,,,,,,,,,,,,,,
2015-01-13,44.2,30.56,64.35,45.88,15.84,,23.37,,,,,,,,,,,,,,,,,,,
2015-01-14,27.86,25.94,38.23,41.17,15.26,,23.01,,,,,,,,,,,,,,,,,,,
2015-01-15,16.96,20.64,23.87,56.7,8.73,,22.18,,,,,,,,,,,,,,,,,,,
2015-01-16,21.72,18.51,18.39,49.41,8.72,,19.17,,,,,,,,,,,,,,,,,,,
2015-01-17,24.73,17.37,17.4,53.04,5.4,,20.48,,,,,,,,,,,,,,,,,,,
2015-01-18,25.77,17.2,30.7,53.77,4.89,,21.93,,,,,,,,,,,,,,,,,,,
2015-01-19,26.88,16.74,41.8,39.88,8.14,,21.48,,,,,,,,,,,,,,,,,,,
2015-01-20,26.8,7.24,27.9,34.23,11.63,,20.47,,,,,,,,,,,,,,,,,,,
2015-01-21,33.56,5.45,59.26,22.56,19.67,,18.09,,,,,,,,,,,,,,,,,,,
2015-01-22,17.51,13.57,46.77,21.82,17.07,,19.01,,,,,,,,,,,,,,,,,,,
2015-01-23,27.96,12.82,37.55,17.35,15.33,,21.35,,,,,,,,,,,,,,,,,,,
2015-01-24,20.39,16.27,9.89,15.77,12.79,,20.44,,,,,,,,,,,,,,,,,,,
2015-01-25,20.43,16.32,10.14,20.83,10.64,,19.71,,,,,,,,,,,,,,,,,,,
2015-01-26,21.16,13.85,10.44,25.66,13.62,,13.54,,,,,,,,,,,,,,,,,,,
2015-01-27,21.7,16.71,12.63,30.39,20.12,,18.54,,,,,,,,,,,,,,,,,,,
2015-01-28,21.11,14.85,16.83,28.6,28.51,,19.6,,,,,,,,,,,,,,,,,,,
2015-01-29,28.71,10.45,41.79,38.34,21.54,,20.68,,,,,,,,,,,,,,,,,,,
2015-01-30,28.68,4.93,23.84,38.43,16.56,,32.1,,,,,,,,,,,,,,,,,,,
2015-01-31,32.66,11.11,46.59,41.36,18.36,,28.57,,,,,,,,,,,,,,,,,,,
2015-02-01,42.08,22.14,26.05,58.17,20.19,,32.65,,,,,,,,,,,,,,,,,,,
2015-02-02,35.31,19.19,15.82,37.25,18.3,,23.89,,,,,,,,,,,,,,,,,,,
2015-02-03,28.4,18.47,14.89,31.05,14.16,,19.41,,,,,,,,,,,,,,,,,,,
2015-02-04,22.83,22.46,14.0,29.69,13.12,,45.9,,,,,,,,,,,,,,,,,,,
2015-02-05,21.39,26.36,19.17,36.51,14.52,,41.93,,,,,,,,,,,,,,,,,,,
2015-02-06,26.94,25.98,16.7,67.0,19.2,,36.6,,,,,,,,,,,,,,,,,,,
2015-02-07,31.32,22.46,13.46,57.69,31.35,,22.94,,,,,,,,,,,,,,,,,,,
2015-02-08,27.3,26.06,12.98,50.39,33.06,,15.96,,,,,,,,,,,,,,,,,,,
2015-02-09,24.27,22.48,13.43,39.18,33.45,,16.54,,,,,,,,,,,,,,,,,,,
2015-02-10,18.21,20.18,13.2,42.2,17.01,,12.77,,,,,,,,,,,,,,,,,,,
2015-02-11,23.8,26.52,14.8,53.63,28.63,,,,,,,,,,,,,,,,,,,,,
2015-02-12,30.1,21.47,14.27,42.73,33.18,,26.48,,,,,,,,,,,,,,,,,,,
2015-02-13,39.56,21.85,14.16,44.61,16.65,,12.59,,,,,,,,,,,,,,,,,,,
