,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,17.15,10.88,22.68,110.59,4.57,27.38,,,,,,,,,,,,,,,,,,,,
2015-01-02,16.46,14.14,23.09,88.14,3.8,26.2,,,,,,,,,,,,,,,,,,,,
2015-01-03,29.7,20.72,9.99,47.95,4.22,26.04,,,,,,,,,,,,,,,,,,,,
2015-01-04,17.97,16.88,11.71,48.62,4.22,25.97,20.89,,,,,,,,,,,,,,,,,,,
2015-01-05,37.76,21.76,12.94,38.25,4.22,25.18,13.3,,,,,,,,,,,,,,,,,,,
2015-01-06,81.5,16.24,13.42,42.46,4.3,26.41,26.23,,,,,,,,,,,,,,,,,,,
2015-01-07,130.77,30.84,13.32,52.41,4.64,27.08,66.15,,,,,,,,,,,,,,,,,,,
2015-01-08,96.75,21.16,10.98,51.21,3.97,27.48,43.33,,,,,,,,,,,,,,,,,,,
2015-01-09,48.0,15.03,10.52,45.6,3.13,27.22,40.39,,,,,,,,,,,,,,,,,,,
2015-01-10,0.0,16.76,11.15,55.19,4.05,28.03,40.64,,,,,,,,,,,,,,,,,,,
2015-01-11,24.53,17.49,14.65,57.88,4.22,27.57,45.96,,,,,,,,,,,,,,,,,,,
2015-01-12,90.24,21.85,15.71,54.66,4.22,28.44,43.46,,,,,,,,,,,,,,,,,,,
2015-01-13,87.09,22.9,12.73,62.95,5.15,29.15,57.0,,,,,,,,,,,,,,,,,,,
2015-01-14,33.05,19.43,15.74,48.09,4.7,28.59,55.0,,,,,,,,,,,,,,,,,,,
2015-01-15,16.6,15.92,12.97,79.73,5.06,27.83,38.22,,,,,,,,,,,,,,,,,,,
2015-01-16,22.86,22.36,12.51,70.6,3.47,27.1,30.9,,,,,,,,,,,,,,,,,,,
2015-01-17,34.75,21.64,12.93,80.18,4.3,27.21,40.76,,,,,,,,,,,,,,,,,,,
2015-01-18,29.57,18.79,9.26,75.83,4.72,27.89,35.37,,,,,,,,,,,,,,,,,,,
2015-01-19,27.45,19.44,9.43,55.67,4.22,26.78,33.72,,,,,,,,,,,,,,,,,,,
2015-01-20,32.4,22.66,11.76,37.68,4.22,25.39,33.66,,,,,,,,,,,,,,,,,,,
2015-01-21,39.28,18.26,8.54,33.02,4.22,25.04,30.87,,,,,,,,,,,,,,,,,,,
2015-01-22,22.33,29.6,8.85,34.88,3.72,24.28,33.65,,,,,,,,,,,,,,,,,,,
2015-01-23,47.79,12.0,10.49,29.46,3.3,26.51,36.51,,,,,,,,,,,,,,,,,,,
2015-01-24,21.4,9.73,14.62,25.49,3.8,26.59,25.97,,,,,,,,,,,,,,,,,,,
2015-01-25,20.19,8.72,14.56,28.29,3.05,26.27,24.02,,,,,,,,,,,,,,,,,,,
2015-01-26,21.81,8.43,14.43,29.48,4.05,26.86,17.06,,,,,,,,,,,,,,,,,,,
2015-01-27,23.26,15.67,13.41,34.63,3.61,27.26,23.16,,,,,,,,,,,,,,,,,,,
2015-01-28,25.84,11.58,14.9,35.57,3.13,26.45,24.15,,,,,,,,,,,,,,,,,,,
2015-01-29,33.72,49.95,13.2,48.89,2.21,26.3,25.05,,,,,,,,,,,,,,,,,,,
2015-01-30,41.08,51.53,15.56,44.45,2.21,25.64,40.18,,,,,,,,,,,,,,,,,,,
