,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,133.36,10.73,11.35,41.68,25.92,,,,,,,,,,,,,,,,,,,,,
2015-01-02,34.06,22.77,9.16,29.97,21.66,,,,,,,,,,,,,,,,,,,,,
2015-01-03,30.7,12.03,13.45,19.71,22.4,,,,,,,,,,,,,,,,,,,,,
2015-01-04,36.08,17.7,10.33,25.36,21.41,,30.34,,,,,,,,,,,,,,,,,,,
2015-01-05,39.31,12.72,9.36,23.2,20.6,,31.28,,,,,,,,,,,,,,,,,,,
2015-01-06,46.51,13.82,12.61,26.83,21.49,,28.56,,,,,,,,,,,,,,,,,,,
2015-01-07,33.47,16.98,13.94,28.96,23.67,,31.08,,,,,,,,,,,,,,,,,,,
2015-01-08,31.89,17.35,38.29,30.51,19.69,,35.72,,,,,,,,,,,,,,,,,,,
2015-01-09,25.75,16.27,27.34,32.94,21.73,,34.77,,,,,,,,,,,,,,,,,,,
2015-01-10,4.55,25.01,27.19,34.12,27.36,,34.63,,,,,,,,,,,,,,,,,,,
2015-01-11,6.79,16.07,19.04,50.37,27.51,,38.74,,,,,,,,,,,,,,,,,,,
2015-01-12,45.89,16.41,18.32,40.08,26.69,,20.94,,,,,,,,,,,,,,,,,,,
2015-01-13,35.16,10.34,17.25,39.54,30.22,,13.66,,,,,,,,,,,,,,,,,,,
2015-01-14,20.96,16.47,23.68,42.05,34.77,,6.14,,,,,,,,,,,,,,,,,,,
2015-01-15,47.63,19.35,14.1,43.25,36.26,,9.29,,,,,,,,,,,,,,,,,,,
2015-01-16,46.03,16.02,13.22,34.7,47.81,,19.01,,,,,,,,,,,,,,,,,,,
2015-01-17,52.24,14.33,26.34,25.77,34.72,,52.25,,,,,,,,,,,,,,,,,,,
2015-01-18,53.49,22.48,29.08,23.22,26.07,,7.87,,,,,,,,,,,,,,,,,,,
2015-01-19,49.48,23.34,27.45,25.34,31.2,,10.88,,,,,,,,,,,,,,,,,,,
2015-01-20,56.37,103.68,32.32,22.69,33.76,,8.66,,,,,,,,,,,,,,,,,,,
2015-01-21,48.75,,18.84,18.56,25.41,,5.24,,,,,,,,,,,,,,,,,,,
2015-01-22,42.22,41.95,24.98,6.94,34.07,,4.11,,,,,,,,,,,,,,,,,,,
2015-01-23,32.92,17.78,42.33,10.91,49.69,,9.41,,,,,,,,,,,,,,,,,,,
2015-01-24,32.49,14.72,37.17,9.35,45.87,,30.88,,,,,,,,,,,,,,,,,,,
2015-01-25,39.26,16.27,17.11,16.65,58.79,,33.1,,,,,,,,,,,,,,,,,,,
2015-01-26,39.83,21.35,20.18,18.18,33.98,,36.99,,,,,,,,,,,,,,,,,,,
2015-01-27,41.1,27.37,27.02,17.11,31.3,,36.18,,,,,,,,,,,,,,,,,,,
2015-01-28,62.42,17.05,36.68,15.23,47.82,,34.95,,,,,,,,,,,,,,,,,,,
2015-01-29,59.76,18.78,26.29,16.29,56.81,,32.16,,,,,,,,,,,,,,,,,,,
2015-01-30,97.07,19.51,21.75,14.91,57.77,,25.65,,,,,,,,,,,,,,,,,,,
2015-01-31,111.33,23.21,38.57,17.51,43.57,,31.78,,,,,,,,,,,,,,,,,,,
2015-02-01,102.7,20.75,42.61,23.28,33.27,,23.39,,,,,,,,,,,,,,,,,,,
2015-02-02,107.38,19.75,38.8,28.38,46.3,,30.22,,,,,,,,,,,,,,,,,,,
2015-02-03,73.6,20.64,29.08,28.56,35.58,,38.1,,,,,,,,,,,,,,,,,,,
2015-02-04,47.3,18.62,36.62,15.07,33.45,,24.27,,,,,,,,,,,,,,,,,,,
2015-02-05,53.54,16.06,29.93,21.7,29.48,,26.61,,,,,,,,,,,,,,,,,,,
2015-02-06,59.3,13.76,37.13,33.92,48.74,,22.69,,,,,,,,,,,,,,,,,,,
2015-02-07,44.76,20.96,33.12,43.44,35.46,,29.57,,,,,,,,,,,,,,,,,,,
2015-02-08,47.42,22.81,33.17,30.43,27.08,,46.15,,,,,,,,,,,,,,,,,,,
2015-02-09,39.94,31.01,31.08,20.62,34.11,,42.7,,,,,,,,,,,,,,,,,,,
2015-02-10,56.15,39.86,40.77,19.02,39.29,,39.34,,,,,,,,,,,,,,,,,,,
2015-02-11,53.14,32.19,40.57,27.17,42.61,,,,,,,,,,,,,,,,,,,,,
2015-02-12,31.88,44.15,47.85,25.58,41.16,,0.02,,,,,,,,,,,,,,,,,,,
2015-02-13,40.11,37.79,36.94,27.62,39.1,,0.02,,,,,,,,,,,,,,,,,,,
2015-02-14,36.47,31.76,31.32,34.22,29.49,,,,,,,,,,,,,,,,,,,,,
2015-02-15,33.78,45.16,26.41,40.91,43.28,,53.2,,,,,,,,,,,,,,,,,,,
2015-02-16,30.57,49.3,30.87,34.36,32.19,,38.41,,,,,,,,,,,,,,,,,,,
2015-02-17,36.2,44.34,33.53,41.62,27.74,,27.52,,,,,,,,,,,,,,,,,,,
2015-02-18,37.43,28.85,33.83,36.54,30.65,,39.42,,,,,,,,,,,,,,,,,,,
2015-02-19,31.94,31.69,19.3,31.88,25.96,,37.9,,,,,,,,,,,,,,,,,,,
2015-02-20,40.98,33.43,30.22,31.61,16.19,,32.4,,,,,,,,,,,,,,,,,,,
2015-02-21,33.55,39.2,24.91,30.11,27.47,,33.24,,,,,,,,,,,,,,,,,,,
2015-02-22,34.77,54.18,30.54,27.19,28.7,,34.47,,,,,,,,,,,,,,,,,,,
2015-02-23,37.3,53.97,25.03,36.86,23.22,,33.61,,,,,,,,,,,,,,,,,,,
2015-02-24,38.8,40.55,29.33,37.39,22.18,,36.43,,,,,,,,,,,,,,,,,,,
2015-02-25,67.25,51.91,30.18,31.57,18.1,,47.29,,,,,,,,,,,,,,,,,,,
2015-02-26,,65.41,29.46,28.72,11.27,,42.77,,,,,,,,,,,,,,,,,,,
2015-02-27,,66.49,40.47,34.08,11.22,,42.19,,,,,,,,,,,,,,,,,,,
2015-02-28,,62.61,25.91,41.38,15.43,,27.87,,,,,,,,,,,,,,,,,,,
2015-03-01,30.48,51.37,52.44,22.51,15.09,,27.31,,,,,,,,,,,,,,,,,,,
2015-03-02,34.75,58.97,93.22,22.08,10.79,,13.53,,,,,,,,,,,,,,,,,,,
2015-03-03,38.46,43.5,47.22,20.83,16.56,,16.42,,,,,,,,,,,,,,,,,,,
2015-03-04,46.79,61.8,41.26,25.83,24.78,,50.26,,,,,,,,,,,,,,,,,,,
2015-03-05,59.39,45.01,63.26,32.88,27.25,,36.44,,,,,,,,,,,,,,,,,,,
2015-03-06,,31.55,105.13,33.67,28.29,,18.77,,,,,,,,,,,,,,,,,,,
2015-03-07,69.9,36.67,85.37,23.09,26.71,,19.66,,,,,,,,,,,,,,,,,,,
2015-03-08,57.16,45.87,64.65,20.71,22.09,,20.61,,,,,,,,,,,,,,,,,,,
2015-03-09,50.49,36.7,77.43,22.85,27.1,,30.14,,,,,,,,,,,,,,,,,,,
2015-03-10,60.17,41.81,34.6,25.87,31.41,,23.21,,,,,,,,,,,,,,,,,,,
2015-03-11,53.61,35.98,35.85,29.62,34.98,,30.03,,,,,,,,,,,,,,,,,,,
2015-03-12,40.91,37.65,57.14,35.05,30.95,,33.62,,,,,,,,,,,,,,,,,,,
2015-03-13,45.69,43.46,52.68,34.05,20.87,,37.32,,,,,,,,,,,,,,,,,,,
2015-03-14,34.94,49.53,51.23,23.39,24.91,,36.86,,,,,,,,,,,,,,,,,,,
2015-03-15,37.95,48.26,47.28,22.0,13.24,,31.17,,,,,,,,,,,,,,,,,,,
2015-03-16,54.78,47.74,52.19,25.55,18.75,,29.12,,,,,,,,,,,,,,,,,,,
2015-03-17,45.44,49.86,73.63,23.11,14.84,,42.96,,,,,,,,,,,,,,,,,,,
