,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,,,,607.98,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,269.55,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,131.9,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,241.84,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,219.13,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,252.1,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,376.51,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,360.95,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,397.43,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,361.74,,,,,,,,,,,,,,,,,,,,,,
2015-01-11,,,,393.2,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,345.63,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,301.04,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,,227.38,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,,283.93,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,,309.99,,,,,,,,,,,,,,,,,,,,,,
2015-01-17,,,,356.2,,,,,,,,,,,,,,,,,,,,,,
2015-01-18,,,,359.75,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,,305.13,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,,257.04,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,235.27,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,183.89,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,136.07,,,,,,,,,,,,,,,,,,,,,,
2015-01-24,,,,200.02,,,,,,,,,,,,,,,,,,,,,,
2015-01-25,,,,203.81,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,137.86,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,217.2,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,,156.9,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,,277.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,,272.61,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,,,,207.06,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,371.05,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,219.84,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,,194.09,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,,147.08,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,,127.42,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,,330.99,,,,,,,,,,,,,,,,,,,,,,
2015-02-07,,,,210.52,,,,,,,,,,,,,,,,,,,,,,
