,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,,,,313.22,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,186.18,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,87.18,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,151.84,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,146.6,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,149.58,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,217.87,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,229.9,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,201.66,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,221.02,,,,,,,,,,,,,,,,,,,,,,
2015-01-11,,,,205.41,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,212.41,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,197.61,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,,164.39,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,,166.19,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,,174.98,,,,,,,,,,,,,,,,,,,,,,
2015-01-17,,,,196.46,,,,,,,,,,,,,,,,,,,,,,
2015-01-18,,,,201.51,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,,183.35,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,,165.63,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,159.54,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,143.68,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,128.73,,,,,,,,,,,,,,,,,,,,,,
2015-01-24,,,,164.98,,,,,,,,,,,,,,,,,,,,,,
2015-01-25,,,,148.59,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,129.34,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,154.2,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,73.24,,,134.6,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,83.13,,,173.13,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,79.84,,,178.04,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,94.52,,,158.59,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,135.99,,,211.59,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,178.33,,,163.64,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,139.7,,,157.71,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,80.65,,,137.26,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,58.36,,,131.76,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,79.29,,,151.6,,,,,,,,,,,,,,,,,,,,,,
2015-02-07,88.7,,,160.75,,,,,,,,,,,,,,,,,,,,,,
2015-02-08,74.28,,,145.34,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,113.93,,,134.67,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,105.39,,,153.07,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,66.52,,,116.91,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,65.04,,,177.98,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,103.36,,,167.01,,,,,,,,,,,,,,,,,,,,,,
2015-02-14,177.33,,,193.96,,,,,,,,,,,,,,,,,,,,,,
2015-02-15,113.25,,,184.06,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,99.7,,,152.62,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,80.61,,,161.27,,,,,,,,,,,,,,,,,,,,,,
2015-02-18,100.79,,,188.2,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,107.99,,,159.97,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,140.29,,,144.12,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,239.96,,,155.38,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,142.96,,,124.1,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,238.41,,,141.39,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,118.72,,,170.16,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,52.99,,,148.19,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,,140.78,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,,130.42,,,,,,,,,,,,,,,,,,,,,,
2015-02-28,,,,105.86,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,61.12,,,71.83,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,60.78,,,53.71,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,91.83,,,83.49,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,93.88,,,91.07,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,173.01,,,106.57,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,,101.75,,,,,,,,,,,,,,,,,,,,,,
2015-03-07,105.45,,,77.57,,,,,,,,,,,,,,,,,,,,,,
2015-03-08,71.56,,,63.24,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,119.8,,,76.62,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,106.71,,,86.7,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,118.49,,,104.29,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,106.01,,,115.93,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,97.34,,,108.66,,,,,,,,,,,,,,,,,,,,,,
2015-03-14,83.92,,,67.94,,,,,,,,,,,,,,,,,,,,,,
2015-03-15,49.51,,,38.89,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,30.76,,,45.39,,,,,,,,,,,,,,,,,,,,,,
2015-03-17,50.29,,,55.55,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,57.69,,,50.59,,,,,,,,,,,,,,,,,,,,,,
2015-03-19,105.06,,,69.51,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,94.1,30.65,,96.62,742.67,,,,,,,,,,,,,,,,,,,,,
2015-03-21,111.89,48.59,,96.28,518.1,,,,,,,,,,,,,,,,,,,,,
2015-03-22,108.59,47.38,,72.2,674.43,,,,,,,,,,,,,,,,,,,,,
2015-03-23,130.76,65.65,173.51,78.47,41.71,,,,,,,,,,,,,,,,,,,,,
2015-03-24,143.55,60.47,149.04,91.87,63.06,,,,,,,,,,,,,,,,,,,,,
2015-03-25,165.07,62.56,205.65,107.26,50.6,,,,,,,,,,,,,,,,,,,,,
2015-03-26,166.85,60.73,140.21,109.78,55.31,,,,,,,,,,,,,,,,,,,,,
2015-03-27,147.38,42.1,266.29,62.27,60.99,,,,,,,,,,,,,,,,,,,,,
2015-03-28,158.25,40.0,88.65,102.22,58.69,,,,,,,,,,,,,,,,,,,,,
2015-03-29,237.76,32.16,81.34,104.36,56.07,,,,,,,,,,,,,,,,,,,,,
2015-03-30,133.37,30.78,144.46,44.19,53.07,,,,,,,,,,,,,,,,,,,,,
2015-03-31,133.3,38.99,51.69,55.66,40.51,,47.03,,,,,,,,,,,,,,,,,,,
2015-04-01,96.04,36.42,103.75,112.86,60.06,,40.62,,,,,,,,,,,,,,,,,,,
2015-04-02,77.69,38.15,106.27,78.51,59.78,,,,,,,,,,,,,,,,,,,,,
2015-04-03,53.07,35.11,42.82,66.52,75.52,,,,,,,,,,,,,,,,,,,,,
2015-04-04,63.11,36.68,187.51,62.56,41.71,,,,,,,,,,,,,,,,,,,,,
2015-04-05,156.76,36.92,85.86,78.61,50.51,,50.87,,,,,,,,,,,,,,,,,,,
2015-04-06,120.96,31.78,83.19,119.7,37.74,,83.0,,,,,,,,,,,,,,,,,,,
2015-04-07,138.63,37.25,48.35,66.09,49.06,,112.21,,,,,,,,,,,,,,,,,,,
2015-04-08,144.36,29.8,73.66,95.34,36.35,,38.67,,,,,,,,,,,,,,,,,,,
2015-04-09,85.03,25.06,66.72,63.57,37.09,,33.88,,,,,,,,,,,,,,,,,,,
2015-04-10,134.6,24.4,80.79,96.56,48.37,,30.88,,,,,,,,,,,,,,,,,,,
2015-04-11,61.06,32.08,75.59,131.39,63.86,,42.88,,,,,,,,,,,,,,,,,,,
2015-04-12,39.42,19.72,75.82,75.35,54.17,,26.38,,,,,,,,,,,,,,,,,,,
2015-04-13,111.86,17.03,80.23,86.49,44.54,,56.39,,,,,,,,,,,,,,,,,,,
2015-04-14,58.37,19.73,87.48,77.07,45.94,,158.32,,,,,,,,,,,,,,,,,,,
2015-04-15,95.37,22.52,72.65,98.79,44.87,,44.79,,,,,,,,,,,,,,,,,,,
2015-04-16,141.3,21.36,90.72,81.81,47.12,,30.21,,,,,,,,,,,,,,,,,,,
2015-04-17,106.68,24.35,73.28,65.78,43.82,,39.04,,,,,,,,,,,,,,,,,,,
2015-04-18,109.48,18.33,73.33,119.82,44.13,,76.0,,,,,,,,,,,,,,,,,,,
2015-04-19,126.04,17.66,71.17,125.53,43.04,,54.25,,,,,,,,,,,,,,,,,,,
