Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,0.0,0.56,0.17,14.36,1.35,0.0,1.085,,,,,,,,,,,,,,,,,,,
2015-01-02,3.68,0.65,0.13,10.55,1.97,0.0,0.8599999999999999,,,,,,,,,,,,,,,,,,,
2015-01-03,6.8,0.53,0.03,3.91,1.83,0.0,0.6349999999999998,,,,,,,,,,,,,,,,,,,
2015-01-04,4.43,0.55,0.20999999999999996,4.26,2.27,0.0,0.41,,,,,,,,,,,,,,,,,,,
2015-01-05,7.01,0.4,0.3899999999999999,2.8,2.49,0.0,0.39,,,,,,,,,,,,,,,,,,,
2015-01-06,5.42,22.68,0.57,3.63,2.93,0.0,0.52,,,,,,,,,,,,,,,,,,,
2015-01-07,0.0,34.66,0.2,4.93,2.92,0.0,1.92,,,,,,,,,,,,,,,,,,,
2015-01-08,0.0,31.0,0.97,5.8,3.01,0.0,1.89,,,,,,,,,,,,,,,,,,,
2015-01-09,0.0,30.51,3.1,5.25,2.52,0.0,0.77,,,,,,,,,,,,,,,,,,,
2015-01-10,0.0,36.42,0.04,4.87,2.55,0.0,1.14,,,,,,,,,,,,,,,,,,,
2015-01-11,0.0,44.91,0.39,5.93,2.49,0.0,1.02,,,,,,,,,,,,,,,,,,,
2015-01-12,2.41,38.04,0.1,6.2,2.52,0.0,0.92,,,,,,,,,,,,,,,,,,,
2015-01-13,9.45,39.44,0.78,5.18,2.18,0.0,2.05,,,,,,,,,,,,,,,,,,,
2015-01-14,2.16,27.38,2.67,4.57,2.19,0.0,1.45,,,,,,,,,,,,,,,,,,,
2015-01-15,0.14,25.84,0.24,6.98,1.63,0.0,1.1,,,,,,,,,,,,,,,,,,,
2015-01-16,0.35,25.14,0.14,7.75,2.33,0.0,0.95,,,,,,,,,,,,,,,,,,,
2015-01-17,0.68,24.29,0.03,9.92,2.02,0.0,1.42,,,,,,,,,,,,,,,,,,,
2015-01-18,0.74,23.23,0.09,9.0,1.92,0.0,1.01,,,,,,,,,,,,,,,,,,,
2015-01-19,0.26,21.14,0.31,5.57,2.15,0.0,0.76,,,,,,,,,,,,,,,,,,,
2015-01-20,0.24,36.25,0.06,3.42,2.14,0.0,0.6,,,,,,,,,,,,,,,,,,,
2015-01-21,0.33,29.805,9.48,4.1,2.77,0.0,0.55,,,,,,,,,,,,,,,,,,,
2015-01-22,0.0,23.36,12.58,4.15,2.71,0.0,0.74,,,,,,,,,,,,,,,,,,,
2015-01-23,0.39,22.15,7.99,2.51,2.71,0.0,0.82,,,,,,,,,,,,,,,,,,,
2015-01-24,0.47,19.86,,2.6,2.47,0.0,0.65,,,,,,,,,,,,,,,,,,,
2015-01-25,0.01,19.21,,3.37,2.79,0.0,0.41,,,,,,,,,,,,,,,,,,,
2015-01-26,0.06,18.29,,3.0,2.52,0.0,0.27,,,,,,,,,,,,,,,,,,,
2015-01-27,0.02,17.69,,3.31,2.68,0.0,0.33,,,,,,,,,,,,,,,,,,,
2015-01-28,0.03,21.78,,3.27,2.83,0.0,0.37,,,,,,,,,,,,,,,,,,,
2015-01-29,0.02,17.3,,4.02,3.14,0.0,0.58,,,,,,,,,,,,,,,,,,,
2015-01-30,0.04,14.55,,3.65,3.1,0.0,0.77,,,,,,,,,,,,,,,,,,,
2015-01-31,0.24,17.23,,4.36,2.65,0.0,0.89,,,,,,,,,,,,,,,,,,,
2015-02-01,0.4,12.01,,6.65,2.55,0.0,0.83,,,,,,,,,,,,,,,,,,,
2015-02-02,0.46,14.08,,2.53,2.78,0.0,0.39,,,,,,,,,,,,,,,,,,,
2015-02-03,0.17,16.08,,2.13,2.36,0.0,0.51,,,,,,,,,,,,,,,,,,,
2015-02-04,0.0,14.9,,3.04,2.79,0.0,1.27,,,,,,,,,,,,,,,,,,,
