Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,0.92,0.33,1.17,15.2,12.15,0.0,0.39749999999999996,,,,,,,,,,,,,,,,,,,
2015-01-02,0.97,1.35,1.23,9.54,14.0,0.0,0.365,,,,,,,,,,,,,,,,,,,
2015-01-03,17.4,17.4,0.77,10.61,12.78,0.0,0.3325,,,,,,,,,,,,,,,,,,,
2015-01-04,1.7,5.05,1.0,11.54,11.85,0.0,0.3,,,,,,,,,,,,,,,,,,,
2015-01-05,22.1,1.83,0.9,9.2,13.34,0.0,0.23,,,,,,,,,,,,,,,,,,,
2015-01-06,45.41,0.52,0.91,9.44,14.21,0.0,0.31,,,,,,,,,,,,,,,,,,,
2015-01-07,112.16,1.46,1.22,9.78,11.24,0.0,0.53,,,,,,,,,,,,,,,,,,,
2015-01-08,80.87,2.3,1.15,11.01,12.68,0.0,0.44,,,,,,,,,,,,,,,,,,,
2015-01-09,29.16,0.54,1.31,11.09,13.99,0.0,0.39,,,,,,,,,,,,,,,,,,,
2015-01-10,80.615,1.69,0.98,9.7,14.06,0.0,0.43,,,,,,,,,,,,,,,,,,,
2015-01-11,132.07,2.59,0.8,10.98,15.69,0.0,0.39,,,,,,,,,,,,,,,,,,,
2015-01-12,52.04,0.61,1.07,9.3,16.47,0.0,0.48,,,,,,,,,,,,,,,,,,,
2015-01-13,48.82,0.63,0.97,11.52,11.81,0.0,0.72,,,,,,,,,,,,,,,,,,,
2015-01-14,19.2,1.83,1.22,10.32,12.86,0.0,0.86,,,,,,,,,,,,,,,,,,,
2015-01-15,0.6,3.29,1.01,10.81,11.83,0.0,0.64,,,,,,,,,,,,,,,,,,,
2015-01-16,1.63,16.41,1.17,11.46,12.02,0.0,0.47,,,,,,,,,,,,,,,,,,,
2015-01-17,11.44,15.98,1.7,8.87,10.27,0.0,0.61,,,,,,,,,,,,,,,,,,,
2015-01-18,6.1,9.04,1.12,8.99,9.54,0.0,0.55,,,,,,,,,,,,,,,,,,,
2015-01-19,2.51,8.09,2.35,9.02,13.28,0.0,0.51,,,,,,,,,,,,,,,,,,,
2015-01-20,7.92,4.05,1.99,8.03,14.09,0.0,0.46,,,,,,,,,,,,,,,,,,,
2015-01-21,9.52,18.3,1.79,9.01,13.49,0.0,0.4,,,,,,,,,,,,,,,,,,,
2015-01-22,9.05,3.32,1.43,10.58,8.3,0.0,0.43,,,,,,,,,,,,,,,,,,,
2015-01-23,22.53,5.04,3.43,8.74,8.56,0.0,0.47,,,,,,,,,,,,,,,,,,,
2015-01-24,2.03,2.42,0.84,9.39,6.83,0.0,0.38,,,,,,,,,,,,,,,,,,,
2015-01-25,1.42,3.39,0.85,11.44,12.66,0.0,0.36,,,,,,,,,,,,,,,,,,,
2015-01-26,2.27,5.39,2.07,10.19,9.29,0.0,0.3,,,,,,,,,,,,,,,,,,,
2015-01-27,2.19,1.71,1.16,10.36,9.94,0.0,0.33,,,,,,,,,,,,,,,,,,,
2015-01-28,5.72,4.87,2.81,10.21,7.78,0.0,0.36,,,,,,,,,,,,,,,,,,,
2015-01-29,6.93,2.26,0.84,11.74,12.85,0.0,0.41,,,,,,,,,,,,,,,,,,,
2015-01-30,13.85,1.06,0.82,11.58,14.92,0.0,0.55,,,,,,,,,,,,,,,,,,,
2015-01-31,24.39,0.46,0.94,8.7,11.48,0.0,0.53,,,,,,,,,,,,,,,,,,,
2015-02-01,43.48,0.36,0.71,13.08,13.58,0.0,0.58,,,,,,,,,,,,,,,,,,,
2015-02-02,54.56,0.46,1.59,10.59,15.41,0.0,0.4,,,,,,,,,,,,,,,,,,,
2015-02-03,30.61,0.59,0.98,8.21,15.62,0.0,0.41,,,,,,,,,,,,,,,,,,,
2015-02-04,2.37,1.08,0.85,9.11,13.67,0.0,0.83,,,,,,,,,,,,,,,,,,,
2015-02-05,2.6,0.59,0.95,8.18,11.85,0.0,0.78,,,,,,,,,,,,,,,,,,,
2015-02-06,1.16,0.5,0.76,5.51,11.35,0.0,0.52,,,,,,,,,,,,,,,,,,,
2015-02-07,7.29,1.45,0.89,10.28,13.95,0.0,0.39,,,,,,,,,,,,,,,,,,,
2015-02-08,8.92,0.45,1.16,5.39,14.63,0.0,0.32,,,,,,,,,,,,,,,,,,,
2015-02-09,4.32,0.64,1.1,5.11,17.17,0.0,0.32,,,,,,,,,,,,,,,,,,,
2015-02-10,1.41,0.77,1.0,10.88,11.44,0.0,0.29,,,,,,,,,,,,,,,,,,,
2015-02-11,6.34,0.57,1.0,12.64,16.55,0.0,0.505,,,,,,,,,,,,,,,,,,,
2015-02-12,14.19,0.96,0.97,13.75,14.85,0.0,0.72,,,,,,,,,,,,,,,,,,,
2015-02-13,18.18,1.32,1.19,11.26,7.77,0.0,0.39,,,,,,,,,,,,,,,,,,,
2015-02-14,37.49,0.9,1.43,11.73,17.62,0.0,0.42500000000000004,,,,,,,,,,,,,,,,,,,
2015-02-15,15.55,0.76,0.99,13.78,14.7,0.0,0.46,,,,,,,,,,,,,,,,,,,
2015-02-16,19.85,2.35,0.98,11.55,16.0,0.0,0.78,,,,,,,,,,,,,,,,,,,
2015-02-17,15.96,0.83,5.18,10.3,12.28,0.0,0.78,,,,,,,,,,,,,,,,,,,
2015-02-18,16.24,3.23,9.81,16.23,11.87,0.0,1.18,,,,,,,,,,,,,,,,,,,
2015-02-19,11.25,2.18,9.99,13.11,16.37,0.0,0.68,,,,,,,,,,,,,,,,,,,
2015-02-20,33.84,6.95,4.52,11.45,5.26,0.0,0.33,,,,,,,,,,,,,,,,,,,
2015-02-21,61.95,8.98,0.85,14.21,12.09,0.0,0.38,,,,,,,,,,,,,,,,,,,
2015-02-22,45.45,6.28,0.9,9.73,11.84,0.0,0.6,,,,,,,,,,,,,,,,,,,
2015-02-23,77.7,13.56,0.9,9.29,16.84,0.0,0.65,,,,,,,,,,,,,,,,,,,
2015-02-24,12.56,4.78,0.9,14.17,12.48,0.0,0.49,,,,,,,,,,,,,,,,,,,
2015-02-25,2.23,1.49,1.41,14.13,13.42,0.0,0.42,,,,,,,,,,,,,,,,,,,
2015-02-26,2.5675,1.24,3.42,13.61,6.12,0.0,0.38,,,,,,,,,,,,,,,,,,,
2015-02-27,2.905,1.14,0.97,12.78,17.65,0.0,0.33,,,,,,,,,,,,,,,,,,,
2015-02-28,3.2424999999999997,1.38,1.15,11.8,11.21,0.0,0.32,,,,,,,,,,,,,,,,,,,
2015-03-01,3.58,0.48,1.15,11.62,10.28,0.0,0.32,,,,,,,,,,,,,,,,,,,
2015-03-02,9.07,3.56,10.6,10.19,12.16,0.0,0.68,,,,,,,,,,,,,,,,,,,
2015-03-03,12.99,14.67,5.33,11.72,9.62,0.0,0.34,,,,,,,,,,,,,,,,,,,
2015-03-04,18.21,3.39,2.82,10.64,10.53,0.0,0.28,,,,,,,,,,,,,,,,,,,
2015-03-05,48.44,29.33,9.85,9.36,11.83,0.0,0.35,,,,,,,,,,,,,,,,,,,
2015-03-06,25.47,23.53,11.02,10.55,11.58,0.0,0.3,,,,,,,,,,,,,,,,,,,
2015-03-07,2.5,25.7,10.12,9.48,11.55,0.0,0.38,,,,,,,,,,,,,,,,,,,
2015-03-08,3.51,16.01,9.77,8.19,12.21,0.0,0.37,,,,,,,,,,,,,,,,,,,
2015-03-09,4.13,25.5,9.93,9.02,14.47,0.0,0.57,,,,,,,,,,,,,,,,,,,
2015-03-10,5.39,1.08,5.45,7.98,8.9,0.0,0.57,,,,,,,,,,,,,,,,,,,
2015-03-11,4.11,1.33,1.13,10.76,10.51,0.0,0.5,,,,,,,,,,,,,,,,,,,
2015-03-12,4.28,1.9,1.11,11.3,8.6,0.0,0.44,,,,,,,,,,,,,,,,,,,
2015-03-13,3.67,13.01,2.8,10.23,2.31,0.0,0.44,,,,,,,,,,,,,,,,,,,
2015-03-14,6.42,18.28,1.12,9.18,1.99,0.0,0.32,,,,,,,,,,,,,,,,,,,
2015-03-15,3.1,29.93,1.07,8.23,2.13,0.0,0.31,,,,,,,,,,,,,,,,,,,
2015-03-16,2.72,25.25,1.09,7.87,2.12,0.0,0.3,,,,,,,,,,,,,,,,,,,
2015-03-17,5.34,17.79,1.07,10.45,2.23,0.0,0.37,,,,,,,,,,,,,,,,,,,
2015-03-18,25.36,6.17,1.25,7.83,2.24,0.0,0.35,,,,,,,,,,,,,,,,,,,
2015-03-19,46.24,15.98,1.02,7.89,2.26,0.0,0.37,,,,,,,,,,,,,,,,,,,
2015-03-20,22.14,4.55,1.05,9.59,2.19,0.0,0.48,,,,,,,,,,,,,,,,,,,
2015-03-21,22.25,3.89,0.81,8.82,2.05,0.0,0.54,,,,,,,,,,,,,,,,,,,
2015-03-22,25.38,11.29,2.24,8.5,2.13,0.0,0.55,,,,,,,,,,,,,,,,,,,
2015-03-23,45.61,9.95,1.38,8.6,2.33,0.0,0.84,,,,,,,,,,,,,,,,,,,
2015-03-24,27.3,1.46,0.93,10.1,2.3,0.0,1.15,,,,,,,,,,,,,,,,,,,
2015-03-25,23.83,10.05,1.32,11.69,2.29,0.0,0.62,,,,,,,,,,,,,,,,,,,
2015-03-26,17.93,1.44,1.41,12.67,2.4,0.0,0.69,,,,,,,,,,,,,,,,,,,
2015-03-27,6.4,2.85,1.27,9.29,2.13,0.0,0.75,,,,,,,,,,,,,,,,,,,
2015-03-28,5.86,8.07,2.21,10.47,2.16,0.0,0.74,,,,,,,,,,,,,,,,,,,
2015-03-29,4.99,8.53,1.34,14.42,2.24,0.0,0.76,,,,,,,,,,,,,,,,,,,
2015-03-30,3.88,1.46,1.24,9.58,1.76,0.0,0.71,,,,,,,,,,,,,,,,,,,
2015-03-31,6.52,1.79,1.23,9.56,2.36,0.0,0.81,,,,,,,,,,,,,,,,,,,
2015-04-01,3.8,9.6,1.33,10.15,2.17,0.0,0.81,,,,,,,,,,,,,,,,,,,
