Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,,20.36,4.59,33.85,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,23.74,7.83,31.83,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,4.32,4.63,69.55,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,0.87,5.23,130.36,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,31.38,5.5,122.88,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,26.35,5.46,134.97,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,22.73,4.9,134.82,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,38.67,3.71,138.13,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,23.48,5.81,140.6,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,34.17,3.96,134.06,,,,,,,,,,,,,,,,,,,,,,
2015-01-11,,29.74,3.77,131.1,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,41.39,4.16,148.51,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,35.34,6.06,145.48,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,39.82,8.79,166.7,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,21.43,4.53,124.64,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,10.27,4.03,136.4,,,,,,,,,,,,,,,,,,,,,,
2015-01-17,,11.05,3.77,125.49,,,,,,,,,,,,,,,,,,,,,,
2015-01-18,,14.23,3.63,120.45,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,13.47,3.82,148.49,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,7.29,20.14,146.31,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,5.07,3.85,63.23,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,3.65,4.6,39.65,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,10.06,4.01,39.98,,,,,,,,,,,,,,,,,,,,,,
2015-01-24,,14.88,4.36,38.77,,,,,,,,,,,,,,,,,,,,,,
2015-01-25,,15.42,3.98,45.62,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,16.63,3.53,60.96,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,18.57,4.28,40.96,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,16.15,3.69,49.71,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,16.4,3.95,62.03,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,13.32,5.54,69.78,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,,7.77,4.37,67.66,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,7.48,4.2,96.69,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,11.33,3.63,84.49,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,11.78,5.12,66.38,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,11.88,27.6,53.28,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,11.11,76.99,51.24,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,11.71,81.78,63.45,,,,,,,,,,,,,,,,,,,,,,
2015-02-07,,12.88,25.85,58.15,,,,,,,,,,,,,,,,,,,,,,
2015-02-08,,8.84,46.65,66.72,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,13.61,37.42,74.29,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,13.04,58.69,79.54,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,12.44,50.48,95.13,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,26.22,47.94,69.47,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,19.31,56.36,83.96,,,,,,,,,,,,,,,,,,,,,,
2015-02-14,,17.14,56.06,137.27,,,,,,,,,,,,,,,,,,,,,,
2015-02-15,,11.14,68.44,61.89,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,10.67,82.48,74.74,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,4.66,116.59,75.66,,,,,,,,,,,,,,,,,,,,,,
2015-02-18,,6.34,113.29,79.83,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,,19.81,85.61,81.44,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,,31.1,98.16,81.04,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,,12.5,103.03,69.59,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,,13.56,110.13,70.25,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,,15.44,105.68,36.38,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,,17.21,114.96,34.14,,,,,,,,,,,,,,,,,,,,,,
