Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,0.02,4.64,,24.86,3.93,0.0,13.920000000000002,,,,,,,,,,,,,,,,,,,
2015-01-02,5.5,5.31,,20.09,5.74,0.0,11.330000000000002,,,,,,,,,,,,,,,,,,,
2015-01-03,16.4,19.25,,10.23,4.76,0.0,8.740000000000002,,,,,,,,,,,,,,,,,,,
2015-01-04,10.14,7.47,,9.71,4.77,0.0,6.15,,,,,,,,,,,,,,,,,,,
2015-01-05,18.89,4.36,,6.21,4.78,0.0,7.22,,,,,,,,,,,,,,,,,,,
2015-01-06,10.83,4.11,,7.35,4.6,0.0,5.14,,,,,,,,,,,,,,,,,,,
2015-01-07,0.0,8.65,,9.42,3.82,0.0,16.35,,,,,,,,,,,,,,,,,,,
2015-01-08,0.0,8.6,3.54,11.4,5.38,0.0,14.27,,,,,,,,,,,,,,,,,,,
2015-01-09,0.0,8.44,14.68,11.12,4.78,0.0,12.47,,,,,,,,,,,,,,,,,,,
2015-01-10,0.0,13.41,11.25,9.44,4.98,0.0,14.06,,,,,,,,,,,,,,,,,,,
2015-01-11,0.0,27.67,7.82,10.59,4.78,0.0,10.4,,,,,,,,,,,,,,,,,,,
2015-01-12,0.03,41.87,4.390000000000001,10.68,4.78,0.0,15.16,,,,,,,,,,,,,,,,,,,
2015-01-13,13.35,14.6,0.96,9.5,2.62,0.0,17.65,,,,,,,,,,,,,,,,,,,
2015-01-14,2.26,8.7,,10.72,4.77,0.0,24.04,,,,,,,,,,,,,,,,,,,
2015-01-15,0.04,15.67,,20.55,2.79,0.0,9.19,,,,,,,,,,,,,,,,,,,
2015-01-16,0.05,36.72,,15.83,5.74,0.0,7.13,,,,,,,,,,,,,,,,,,,
2015-01-17,0.0,21.54,,17.59,4.54,0.0,15.21,,,,,,,,,,,,,,,,,,,
2015-01-18,0.21,20.05,,20.95,4.17,0.0,14.27,,,,,,,,,,,,,,,,,,,
2015-01-19,0.02,14.85,,12.93,4.76,0.0,9.77,,,,,,,,,,,,,,,,,,,
2015-01-20,0.01,9.93,,6.76,4.57,0.0,6.7,,,,,,,,,,,,,,,,,,,
2015-01-21,0.0,24.59,,8.26,3.87,0.0,4.51,,,,,,,,,,,,,,,,,,,
2015-01-22,0.0,39.25,,9.54,4.72,0.0,4.3,,,,,,,,,,,,,,,,,,,
2015-01-23,0.0,14.52,,7.64,5.35,0.0,6.23,,,,,,,,,,,,,,,,,,,
2015-01-24,0.7,8.48,,5.5,4.42,0.0,5.12,,,,,,,,,,,,,,,,,,,
2015-01-25,0.0,7.37,,6.98,5.73,0.0,3.48,,,,,,,,,,,,,,,,,,,
2015-01-26,0.0,9.1,,5.87,4.0,0.0,2.22,,,,,,,,,,,,,,,,,,,
2015-01-27,0.0,5.15,,6.31,4.86,0.0,2.81,,,,,,,,,,,,,,,,,,,
2015-01-28,0.01,9.43,8.98,6.86,5.75,0.0,3.43,,,,,,,,,,,,,,,,,,,
2015-01-29,0.0,5.42,2.86,9.84,7.29,0.0,4.61,,,,,,,,,,,,,,,,,,,
2015-01-30,0.0,3.54,5.02,6.61,7.21,0.0,6.29,,,,,,,,,,,,,,,,,,,
2015-01-31,0.01,2.92,7.18,8.98,4.17,0.0,7.09,,,,,,,,,,,,,,,,,,,
2015-02-01,0.04,2.2,11.39,15.45,3.59,0.0,7.44,,,,,,,,,,,,,,,,,,,
2015-02-02,0.06,3.76,13.02,4.69,5.61,0.0,4.34,,,,,,,,,,,,,,,,,,,
2015-02-03,0.03,3.41,12.25,4.24,3.79,0.0,4.02,,,,,,,,,,,,,,,,,,,
2015-02-04,0.0,3.43,11.48,6.31,5.57,0.0,10.52,,,,,,,,,,,,,,,,,,,
2015-02-05,0.0,16.08,7.780000000000001,10.17,3.08,0.0,10.96,,,,,,,,,,,,,,,,,,,
2015-02-06,0.0,13.55,4.080000000000002,19.7,4.04,0.0,7.82,,,,,,,,,,,,,,,,,,,
2015-02-07,0.0,3.94,0.38,14.95,4.02,0.0,4.46,,,,,,,,,,,,,,,,,,,
2015-02-08,0.0,4.67,10.02,6.5,3.87,0.0,2.94,,,,,,,,,,,,,,,,,,,
2015-02-09,0.0,11.86,,3.17,3.87,0.0,3.25,,,,,,,,,,,,,,,,,,,
2015-02-10,0.0,1.68,,7.1,3.77,0.0,2.81,,,,,,,,,,,,,,,,,,,
2015-02-11,9.63,2.44,,5.59,3.82,0.0,2.085,,,,,,,,,,,,,,,,,,,
2015-02-12,17.46,2.86,,7.38,4.01,0.0,1.36,,,,,,,,,,,,,,,,,,,
2015-02-13,24.35,2.97,,7.69,2.59,0.0,0.76,,,,,,,,,,,,,,,,,,,
2015-02-14,52.66,3.45,,17.88,3.88,0.0,5.425,,,,,,,,,,,,,,,,,,,
2015-02-15,28.53,1.74,,8.98,4.03,0.0,10.09,,,,,,,,,,,,,,,,,,,
2015-02-16,31.25,16.04,,5.37,3.78,0.0,29.81,,,,,,,,,,,,,,,,,,,
2015-02-17,18.75,29.45,,5.62,3.76,0.0,27.77,,,,,,,,,,,,,,,,,,,
2015-02-18,32.41,42.4,,16.27,3.8,0.0,8.79,,,,,,,,,,,,,,,,,,,
2015-02-19,24.03,36.1,,6.12,3.37,0.0,4.28,,,,,,,,,,,,,,,,,,,
2015-02-20,43.51,30.4,1.64,6.76,2.08,0.0,3.87,,,,,,,,,,,,,,,,,,,
2015-02-21,53.98,8.98,3.31,16.48,4.87,0.0,5.61,,,,,,,,,,,,,,,,,,,
2015-02-22,22.4,6.28,8.04,3.13,3.73,0.0,18.71,,,,,,,,,,,,,,,,,,,
2015-02-23,163.64,13.56,3.24,11.23,3.8,0.0,17.63,,,,,,,,,,,,,,,,,,,
2015-02-24,46.52,6.43,3.5900000000000003,22.47,3.83,0.0,7.26,,,,,,,,,,,,,,,,,,,
2015-02-25,11.39,1.53,3.9400000000000004,6.92,2.81,0.0,5.94,,,,,,,,,,,,,,,,,,,
2015-02-26,8.9375,1.3,4.29,6.96,0.07,0.0,8.99,,,,,,,,,,,,,,,,,,,
2015-02-27,6.484999999999999,1.09,6.49,8.56,0.09,0.0,8.84,,,,,,,,,,,,,,,,,,,
2015-02-28,4.032499999999999,1.38,6.115,7.83,1.69,0.0,6.23,,,,,,,,,,,,,,,,,,,
2015-03-01,1.58,0.48,5.74,4.63,3.25,0.0,5.94,,,,,,,,,,,,,,,,,,,
2015-03-02,0.55,4.06,5.74,3.45,0.35,0.0,5.03,,,,,,,,,,,,,,,,,,,
2015-03-03,1.74,14.77,6.04,8.11,2.69,0.0,4.11,,,,,,,,,,,,,,,,,,,
2015-03-04,2.55,3.41,6.02,8.05,4.79,0.0,5.99,,,,,,,,,,,,,,,,,,,
2015-03-05,9.96,29.33,7.34,15.12,3.6,0.0,6.93,,,,,,,,,,,,,,,,,,,
2015-03-06,7.855,43.33,6.045,9.31,3.01,0.0,4.91,,,,,,,,,,,,,,,,,,,
2015-03-07,5.75,55.15,4.75,6.31,3.61,0.0,6.9,,,,,,,,,,,,,,,,,,,
2015-03-08,8.01,22.96,3.455,6.09,3.6,0.0,4.41,,,,,,,,,,,,,,,,,,,
2015-03-09,12.15,38.84,2.16,4.32,3.66,0.0,5.08,,,,,,,,,,,,,,,,,,,
2015-03-10,14.17,0.0,10.29,5.62,3.71,0.0,13.48,,,,,,,,,,,,,,,,,,,
2015-03-11,21.32,1.17,9.78,7.74,3.74,0.0,13.96,,,,,,,,,,,,,,,,,,,
2015-03-12,15.54,2.8,8.195,12.42,3.41,0.0,6.11,,,,,,,,,,,,,,,,,,,
2015-03-13,15.02,18.0,6.61,14.88,1.69,0.0,7.33,,,,,,,,,,,,,,,,,,,
2015-03-14,21.47,20.62,8.63,9.14,2.97,0.0,3.32,,,,,,,,,,,,,,,,,,,
2015-03-15,11.34,32.63,10.65,4.45,3.48,0.0,2.96,,,,,,,,,,,,,,,,,,,
2015-03-16,9.38,30.81,8.19,4.83,2.38,0.0,4.01,,,,,,,,,,,,,,,,,,,
2015-03-17,15.12,28.52,10.29,6.39,1.92,0.0,4.4,,,,,,,,,,,,,,,,,,,
2015-03-18,32.11,39.67,10.24,4.42,3.55,0.0,4.08,,,,,,,,,,,,,,,,,,,
2015-03-19,75.36,30.98,9.96,8.67,3.71,0.0,5.13,,,,,,,,,,,,,,,,,,,
2015-03-20,52.01,171.22,7.79,17.61,3.73,0.0,7.43,,,,,,,,,,,,,,,,,,,
2015-03-21,56.86,196.72,8.1,16.65,3.75,0.0,19.36,,,,,,,,,,,,,,,,,,,
2015-03-22,48.41,138.2,8.41,6.07,3.69,0.0,7.32,,,,,,,,,,,,,,,,,,,
2015-03-23,85.31,100.77,8.72,13.55,3.38,0.0,26.63,,,,,,,,,,,,,,,,,,,
2015-03-24,72.78,61.48,8.39,16.21,3.6,0.0,20.46,,,,,,,,,,,,,,,,,,,
2015-03-25,64.01,39.99,7.5,11.03,3.08,0.0,16.31,,,,,,,,,,,,,,,,,,,
2015-03-26,67.38,13.28,8.02,10.31,3.83,0.0,4.99,,,,,,,,,,,,,,,,,,,
2015-03-27,41.88,3.71,8.35,4.26,3.74,0.0,4.23,,,,,,,,,,,,,,,,,,,
2015-03-28,21.24,8.39,7.523333333333333,9.33,3.76,0.0,5.09,,,,,,,,,,,,,,,,,,,
2015-03-29,14.95,8.53,6.696666666666667,9.87,3.74,0.0,4.27,,,,,,,,,,,,,,,,,,,
2015-03-30,11.74,2.07,5.87,3.4,5.04,0.0,4.01,,,,,,,,,,,,,,,,,,,
2015-03-31,21.13,2.39,6.94,4.89,1.7,0.0,4.31,,,,,,,,,,,,,,,,,,,
2015-04-01,13.44,8.16,7.37,9.07,3.66,0.0,3.57,,,,,,,,,,,,,,,,,,,
2015-04-02,11.77,5.29,4.72,4.2,3.67,0.0,3.61,,,,,,,,,,,,,,,,,,,
2015-04-03,6.94,7.4,4.225,5.02,1.82,0.0,1.83,,,,,,,,,,,,,,,,,,,
2015-04-04,8.17,1.61,3.73,6.04,3.48,0.0,2.93,,,,,,,,,,,,,,,,,,,
2015-04-05,10.78,12.02,4.48,8.08,3.69,0.0,3.95,,,,,,,,,,,,,,,,,,,
2015-04-06,15.85,0.28,5.12,14.32,2.95,0.0,2.02,,,,,,,,,,,,,,,,,,,
2015-04-07,24.67,2.3,5.876666666666667,4.65,3.29,0.0,1.8,,,,,,,,,,,,,,,,,,,
2015-04-08,49.56,20.68,6.633333333333334,7.17,3.53,0.0,2.2,,,,,,,,,,,,,,,,,,,
2015-04-09,29.19,5.92,7.39,6.82,3.69,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-10,0.0,8.48,,9.68,3.72,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-11,0.0,1.75,,14.16,3.8,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-12,0.0,2.65,,6.71,2.24,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-13,0.0,2.62,,8.84,0.21,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-14,10.46,1.71,,7.25,0.08,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-15,3.28,5.37,,7.07,0.07,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-16,0.01,0.54,,10.67,1.29,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-17,0.0,12.95,3.52,10.23,4.77,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-18,0.0,4.51,4.47,13.89,3.93,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-19,0.0,0.48,5.42,17.48,3.34,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-20,23.54,5.17,6.1925,10.2,3.16,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-21,4.91,6.14,6.965,13.04,7.62,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-22,0.0,9.15,7.7375,14.52,4.51,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-23,0.01,12.16,8.51,18.21,4.19,0.0,,,,,,,,,,,,,,,,,,,,
2015-04-24,0.09,1.27,9.63,22.15,4.69,0.0,,,,,,,,,,,,,,,,,,,,
