Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2015-01-01,0.0,,,9.84,,0.0,2.2425,,,,,,,,,,,,,,,,,,,
2015-01-02,3.77,,,4.29,,0.0,1.8650000000000002,,,,,,,,,,,,,,,,,,,
2015-01-03,2.25,,,1.99,,0.0,1.4875000000000003,,,,,,,,,,,,,,,,,,,
2015-01-04,1.0,,,3.34,,0.0,1.11,,,,,,,,,,,,,,,,,,,
2015-01-05,2.78,,,2.96,,0.0,0.55,,,,,,,,,,,,,,,,,,,
2015-01-06,1.93,,,3.47,,0.0,0.53,,,,,,,,,,,,,,,,,,,
2015-01-07,0.0,,,5.21,,0.0,2.14,,,,,,,,,,,,,,,,,,,
2015-01-08,0.0,,,4.83,,0.0,1.58,,,,,,,,,,,,,,,,,,,
2015-01-09,0.0,,,5.26,,0.0,1.22,,,,,,,,,,,,,,,,,,,
2015-01-10,0.0,,,4.76,,0.0,1.27,,,,,,,,,,,,,,,,,,,
2015-01-11,0.0,,,5.36,,0.0,1.23,,,,,,,,,,,,,,,,,,,
2015-01-12,7.88,,,4.59,,0.0,1.19,,,,,,,,,,,,,,,,,,,
2015-01-13,12.5,,,4.17,,0.0,1.88,,,,,,,,,,,,,,,,,,,
2015-01-14,5.19,,,3.06,,0.0,2.78,,,,,,,,,,,,,,,,,,,
2015-01-15,1.35,,,3.08,,0.0,1.5,,,,,,,,,,,,,,,,,,,
2015-01-16,2.01,,,3.75,,0.0,1.19,,,,,,,,,,,,,,,,,,,
2015-01-17,3.27,,,3.36,,0.0,1.96,,,,,,,,,,,,,,,,,,,
2015-01-18,2.75,,,4.03,,0.0,1.88,,,,,,,,,,,,,,,,,,,
2015-01-19,2.8,,,3.62,,0.0,1.4,,,,,,,,,,,,,,,,,,,
2015-01-20,3.97,,,3.28,,0.0,1.11,,,,,,,,,,,,,,,,,,,
2015-01-21,5.65,,,2.72,,0.0,0.94,,,,,,,,,,,,,,,,,,,
2015-01-22,4.51,,,2.78,,0.0,1.11,,,,,,,,,,,,,,,,,,,
2015-01-23,5.95,,,2.49,,0.0,1.24,,,,,,,,,,,,,,,,,,,
2015-01-24,1.54,,,2.94,,0.0,1.12,,,,,,,,,,,,,,,,,,,
2015-01-25,0.94,,,2.94,,0.0,0.98,,,,,,,,,,,,,,,,,,,
2015-01-26,1.55,,,2.51,,0.0,0.57,,,,,,,,,,,,,,,,,,,
2015-01-27,1.65,,,3.07,,0.0,0.72,,,,,,,,,,,,,,,,,,,
2015-01-28,1.41,,,2.63,,0.0,0.86,,,,,,,,,,,,,,,,,,,
2015-01-29,3.14,,,3.42,,0.0,1.13,,,,,,,,,,,,,,,,,,,
2015-01-30,4.81,,,3.35,,0.0,1.34,,,,,,,,,,,,,,,,,,,
2015-01-31,7.67,,,2.54,,0.0,1.64,,,,,,,,,,,,,,,,,,,
2015-02-01,25.87,,,3.36,,0.0,1.62,,,,,,,,,,,,,,,,,,,
2015-02-02,35.61,,,2.58,,0.0,0.85,,,,,,,,,,,,,,,,,,,
2015-02-03,11.87,,,1.12,,0.0,0.9,,,,,,,,,,,,,,,,,,,
2015-02-04,0.0,,,2.79,,0.0,2.75,,,,,,,,,,,,,,,,,,,
2015-02-05,0.0,,,3.33,,0.0,2.84,,,,,,,,,,,,,,,,,,,
2015-02-06,0.0,,,9.77,,0.0,2.02,,,,,,,,,,,,,,,,,,,
2015-02-07,0.0,,,6.68,,0.0,1.34,,,,,,,,,,,,,,,,,,,
2015-02-08,0.27,,,0.57,,0.0,0.91,,,,,,,,,,,,,,,,,,,
2015-02-09,3.55,,,1.24,,0.0,0.8,,,,,,,,,,,,,,,,,,,
2015-02-10,3.31,,,7.93,,0.0,0.67,,,,,,,,,,,,,,,,,,,
2015-02-11,16.49,,,10.72,,0.0,0.495,,,,,,,,,,,,,,,,,,,
2015-02-12,2.51,,,10.65,,0.0,0.32,,,,,,,,,,,,,,,,,,,
2015-02-13,3.35,,,11.45,,0.0,0.13,,,,,,,,,,,,,,,,,,,
2015-02-14,6.98,,,14.17,,0.0,0.905,,,,,,,,,,,,,,,,,,,
2015-02-15,3.22,,,12.44,,0.0,1.68,,,,,,,,,,,,,,,,,,,
2015-02-16,4.0,,,3.49,,0.0,2.66,,,,,,,,,,,,,,,,,,,
2015-02-17,2.52,,,3.78,,0.0,2.59,,,,,,,,,,,,,,,,,,,
2015-02-18,4.04,,,4.38,,0.0,1.64,,,,,,,,,,,,,,,,,,,
2015-02-19,3.25,,,3.49,,0.0,0.91,,,,,,,,,,,,,,,,,,,
2015-02-20,7.48,,,4.07,,0.0,0.93,,,,,,,,,,,,,,,,,,,
2015-02-21,15.44,,,9.41,,0.0,1.05,,,,,,,,,,,,,,,,,,,
2015-02-22,8.47,,,1.44,,0.0,2.29,,,,,,,,,,,,,,,,,,,
2015-02-23,28.46,,,10.87,,0.0,2.72,,,,,,,,,,,,,,,,,,,
2015-02-24,6.05,,,17.65,,0.0,1.46,,,,,,,,,,,,,,,,,,,
2015-02-25,0.81,,,1.75,,0.0,1.1,,,,,,,,,,,,,,,,,,,
2015-02-26,0.9375,,,3.64,,0.0,1.31,,,,,,,,,,,,,,,,,,,
2015-02-27,1.065,,,4.34,,0.0,1.13,,,,,,,,,,,,,,,,,,,
2015-02-28,1.1925,,,1.25,,0.0,0.95,,,,,,,,,,,,,,,,,,,
2015-03-01,1.32,,,2.6,,0.0,1.21,,,,,,,,,,,,,,,,,,,
2015-03-02,0.22,,,0.69,,0.0,1.55,,,,,,,,,,,,,,,,,,,
2015-03-03,2.25,,,2.41,,0.0,1.44,,,,,,,,,,,,,,,,,,,
2015-03-04,1.55,,,6.62,,0.0,0.96,,,,,,,,,,,,,,,,,,,
2015-03-05,4.13,,,10.65,,0.0,1.01,,,,,,,,,,,,,,,,,,,
2015-03-06,2.26,,,7.14,,0.0,0.56,,,,,,,,,,,,,,,,,,,
2015-03-07,0.39,,,1.25,,0.0,0.86,,,,,,,,,,,,,,,,,,,
2015-03-08,0.63,,,1.35,,0.0,1.16,,,,,,,,,,,,,,,,,,,
2015-03-09,1.35,,,1.97,,0.0,1.1,,,,,,,,,,,,,,,,,,,
2015-03-10,1.74,,,4.8,,0.0,1.63,,,,,,,,,,,,,,,,,,,
2015-03-11,2.78,,,1.91,,0.0,1.83,,,,,,,,,,,,,,,,,,,
2015-03-12,1.71,,,15.16,,0.0,1.37,,,,,,,,,,,,,,,,,,,
2015-03-13,2.25,,,9.81,,0.0,1.4,,,,,,,,,,,,,,,,,,,
2015-03-14,3.09,,,0.8,,0.0,0.71,,,,,,,,,,,,,,,,,,,
2015-03-15,1.09,,,1.38,,0.0,0.75,,,,,,,,,,,,,,,,,,,
2015-03-16,0.84,,,0.74,,0.0,0.73,,,,,,,,,,,,,,,,,,,
2015-03-17,1.65,,,4.07,,0.0,0.75,,,,,,,,,,,,,,,,,,,
2015-03-18,4.53,,,3.67,,0.0,0.91,,,,,,,,,,,,,,,,,,,
2015-03-19,12.7,,,7.55,,0.0,0.85,,,,,,,,,,,,,,,,,,,
2015-03-20,7.9,,,22.01,,0.0,1.12,,,,,,,,,,,,,,,,,,,
2015-03-21,8.86,,,17.47,,0.0,1.56,,,,,,,,,,,,,,,,,,,
2015-03-22,7.07,,,5.96,,0.0,1.37,,,,,,,,,,,,,,,,,,,
2015-03-23,12.56,,,10.98,,0.0,2.93,,,,,,,,,,,,,,,,,,,
2015-03-24,10.15,,,15.64,,0.0,2.77,,,,,,,,,,,,,,,,,,,
2015-03-25,8.51,,,9.98,,0.0,2.08,,,,,,,,,,,,,,,,,,,
2015-03-26,9.76,,,2.53,,0.0,1.02,,,,,,,,,,,,,,,,,,,
2015-03-27,5.7,,,2.0,,0.0,0.94,,,,,,,,,,,,,,,,,,,
2015-03-28,2.83,,,2.54,,0.0,1.0,,,,,,,,,,,,,,,,,,,
