Date,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2015-01-01,,,,,,,9.19,,,,,,,,16.12,,,,,17.76,,0.0,,,0.56,,,,,0.0,,,,,,,,,0.45499999999999996,,,,0.17,0.02,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,4.01,,,,,,,,11.01,,,,,16.62,,3.68,,,0.65,,,,,0.0,,,,,,,,,0.43999999999999995,,,,0.13,0.02,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,1.86,,,,,,,,4.39,,,,,5.48,,6.8,,,0.53,,,,,0.0,,,,,,,,,0.42499999999999993,,,,0.03,0.42,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,,3.12,,,,,,,,4.2,,,,,5.45,,4.43,,,0.55,,,,,0.0,,,,,,,,,0.41,,,,0.20999999999999996,1.31,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,2.76,,,,,,,,2.23,,,,,3.4,,7.01,,,0.4,,,,,0.0,,,,,,,,,0.39,,,,0.3899999999999999,1.74,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,3.24,,,,,,,,2.71,,,,,4.84,,5.42,,,22.68,,,,,0.0,,,,,,,,,0.52,,,,0.57,2.64,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,4.84,,,,,,,,4.14,,,,,5.82,,0.0,,,34.66,,,,,0.0,,,,,,,,,1.92,,,,0.2,2.7,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,4.51,,,,,,,,3.53,,,,,9.36,,0.0,,,31.0,,,,,0.0,,,,,,,,,1.89,,20.4,,0.15,2.72,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,4.91,,,,,,,,3.23,,,,,7.6,,0.0,,,30.51,,,,,0.0,,,,,,,,,0.77,,14.22,,0.17,1.8,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,4.46,,,,,,,,2.68,,,,,5.55,,0.0,,,36.42,,,,,0.0,,,,,,,,,1.14,,,,0.04,1.8,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
