Date,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2015-01-01,,,,,,,49.37,38.71,,,17.06,37.156666666666666,,,150.68,,,,,97.55,,0.92,,,4.01,,2.51,,,,,,,,,,,,1.375,,8.81,6.96,33.13,1.59,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,22.97,46.25,,,26.02,50.88333333333333,,,108.46,,,,,88.41,,0.97,,,9.21,,2.9,,,,,,,,,,,,2.15,,8.71,11.55,31.13,1.61,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,10.17,14.61,,,12.21,64.61,,,55.6,,,,,24.56,,17.4,,,11.22,,17.45,,,,,,,,,,,,2.925,,8.9,7.02,10.83,1.67,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,,15.7,11.31,,,11.32,44.97,,,48.82,,,,,15.43,,1.7,,,6.73,,16.27,,,,,,,,,,,,3.7,,8.69,7.85,12.27,1.62,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,13.64,5.84,,,9.46,35.02,,,13.0,,,,,6.75,,22.1,,,13.51,,5.54,,,,,,,,,,,,3.61,,8.74,8.25,10.49,1.76,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,16.26,7.31,,,12.42,35.81,,,18.4,,,,,14.12,,45.41,,,10.27,,2.93,,,,,,,,,,,,4.21,,8.92,8.19,77.56,1.86,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,24.58,13.47,,,9.81,49.44,,,42.81,,,,,20.97,,112.16,,,22.31,,2.89,,,,,,,,,,,,26.08,,8.76,7.43,115.57,2.09,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,21.96,5.66,,,7.35,47.29,,,33.02,,,,,18.34,,80.87,,,9.15,,4.05,,,,,,,,,,,,10.31,,11.01,5.72,55.92,3.71,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,23.65,5.8,,,6.9,38.36,,,25.25,,,,,15.11,,29.16,,,10.27,,3.22,,,,,,,,,,,,8.79,,10.28,8.7,98.74,3.33,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,21.38,5.72,,,8.82,63.89,,,15.29,,,,,24.73,,80.615,,,4.15,,2.82,,,,,,,,,,,,8.12,,8.87,6.07,15.0,3.39,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-11,,,,,,,24.67,16.3,,,8.02,61.32,,,23.825,,,,,31.96,,132.07,,,5.03,,2.91,,,,,,,,,,,,14.0,,8.78,5.77,156.83,3.24,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,,,,20.73,23.56,,,9.1,43.31,,,32.36,,,,,22.19,,52.04,,,11.6,,10.49,,,,,,,,,,,,13.26,,8.65,6.36,56.33,3.37,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,,,,19.62,40.85,,,11.61,53.12,,,41.26,,,,,33.76,,48.82,,,14.93,,6.53,,,,,,,,,,,,33.63,,8.78,9.02,200.46,3.21,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,,,,,15.3,11.05,,,7.84,35.59,,,37.27,,,,,14.49,,19.2,,,11.34,,7.34,,,,,,,,,,,,32.0,,8.8,12.89,100.8,2.52,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,,,,,17.1,19.59,,,7.8,87.84,,,91.11,,,,,72.39,,0.6,,,7.06,,6.67,,,,,,,,,,,,16.05,,8.78,6.86,43.02,1.92,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,,,,,15.58,11.48,,,12.39,68.12,,,104.1,,,,,,,1.63,,,8.83,,12.65,,,,,,,,,,,,11.73,,8.67,6.17,23.41,2.27,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-17,,,,,,,8.37,17.46,,,9.14,91.28,,,87.07,,,,,,,11.44,,,8.15,,9.15,,,,,,,,,,,,20.28,,12.5,5.78,11.44,2.14,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-18,,,,,,,14.4,18.65,,,16.66,97.33,,,81.87,,,,,,,6.1,,,2.58,,9.75,,,,,,,,,,,,13.45,,12.68,5.6,55.34,2.04,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,,,,,14.4,23.6,,,8.37,37.43,,,53.37,,,,,,,2.51,,,6.68,,9.18,,,,,,,,,,,,12.24,,12.44,5.88,114.33,4.57,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,,,,,14.24,15.04,,,6.88,32.82,,,13.39,,,,,,,7.92,,,24.786666666666665,,10.44,,,,,,,,,,,,13.19,,12.87,20.2,32.38,3.88,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,,,,14.02,6.61,,,6.98,26.19,,,12.95,,,,,12.23,,9.52,,,42.89333333333333,,7.02,,,,,,,,,,,,12.78,,13.43,5.92,233.14,11.8,21.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,,,,14.18,7.555000000000001,,,7.24,26.7825,,,20.05,,,,,17.53,,9.05,,,61.0,,15.95,,,,,,,,,,,,14.64,,12.99,6.96,121.65,7.53,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,,,14.53,8.5,,,8.31,27.375,,,12.37,,,,,12.75,,22.53,,,4.35,,3.46,,,,,,,,,,,,15.16,,11.56,6.18,118.61,5.35,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-24,,,,,,,14.59,9.445,,,5.86,27.9675,,,11.21,,,,,8.61,,2.03,,,6.59,,2.9,,,,,,,,,,,,5.53,,8.98,6.63,22.85,4.42,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-25,,,,,,,14.46,10.39,,,7.23,28.56,,,9.8,,,,,10.4,,1.42,,,3.7,,2.68,,,,,,,,,,,,4.32,,9.02,6.1,330.03,4.86,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,,,,14.59,8.47,,,5.66,24.65,,,9.985,,,,,8.94,,2.27,,,2.01,,2.52,,,,,,,,,,,,3.51,,8.96,5.45,110.02,6.47,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,,,,14.76,7.29,,,5.67,34.82,,,10.17,,,,,10.48,,2.19,,,19.1,,2.75,,,,,,,,,,,,4.61,,9.09,6.64,10.78,5.65,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,,,,,14.49,5.73,,,34.77,33.74,,,16.21,,,,,10.7,,5.72,,,9.78,,2.84,,,,,,,,,,,,4.55,,9.01,5.68,20.44,4.35,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,,,,,14.47,7.0,,,23.08,45.96,,,30.96,,,,,17.35,,6.93,,,149.14,,3.05,,,,,,,,,,,,4.37,,8.92,6.1,134.65,6.02,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,,,,,13.85,6.67,,,20.9,37.84,,,25.34,,,,,12.35,,13.85,,,100.99,,5.28,,,,,,,,,,,,8.08,,8.85,8.28,47.86,7.6899999999999995,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,,,,,,,10.48,7.25,,,29.14,44.33,,,57.44,,,,,43.1,,24.39,,,69.39,,3.09,,,,,,,,,,,,6.68,,8.97,6.64,118.66,9.36,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,,,,7.72,20.27,,,55.59,96.27,,,98.13,,,,,67.38,,43.48,,,3.03,,2.5,,,,,,,,,,,,10.45,,8.69,6.42,49.17,8.74,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,,,,6.54,8.25,,,27.61,25.39,,,9.13,,,,,5.27,,54.56,,,8.05,,2.66,,,,,,,,,,,,5.51,,15.23,5.59,11.0,5.06,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,,,,,6.48,6.81,,,24.89,24.01,,,8.98,,,,,4.56,,30.61,,,5.9,,3.03,,,,,,,,,,,,4.29,,8.94,7.71,10.61,4.5,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,,,,,7.86,6.28,,,25.45,29.06,,,14.58,,,,,8.03,,2.37,,,8.33,,2.89,,,,,,,,,,,,44.13,,8.64,8.41,10.55,6.25,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,,,,,7.47,7.7,,,22.41,45.45,,,38.03,,,,,17.83,,2.6,,,14.4,,2.7,,,,,,,,,,,,30.08,,8.92,10.48,28.29,3.88,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,,,,,9.84,15.91,,,41.0,105.11,,,53.03,,,,,50.69,,1.16,,,5.88,,3.03,,,,,,,,,,,,17.96,,8.82,10.4,15.33,8.905,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-07,,,,,,,9.24,20.78,,,29.68,95.93,,,43.44,,,,,23.67,,7.29,,,17.47,,3.77,,,,,,,,,,,,6.2,,8.99,7.41,9.93,13.93,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-08,,,,,,,10.1,12.05,,,31.87,70.76,,,29.564999999999998,,,,,27.89,,8.92,,,11.23,,2.84,,,,,,,,,,,,4.65,,8.72,7.14,9.18,8.75,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,,,,,,13.21,8.1,,,23.63,44.82,,,15.69,,,,,12.29,,4.32,,,4.09,,2.84,,,,,,,,,,,,4.38,,8.87,7.13,9.3,6.36,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,,,,,,17.41,8.03,,,27.76,50.57,,,16.37,,,,,21.85,,1.41,,,6.54,,3.08,,,,,,,,,,,,3.95,,8.83,8.63,9.4,5.99,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,,,,,10.06,7.56,,,41.51,65.67,,,44.15,,,,,36.26,,6.34,,,11.53,,3.51,,,,,,,,,,,,5.385,,8.88,8.87,17.1,8.41,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,,,,,10.0,7.41,,,28.21,74.8,,,37.47,,,,,39.82,,14.19,,,12.89,,12.5,,,,,,,,,,,,6.82,,8.92,8.59,14.79,7.57,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,,,,,10.59,10.97,,,31.7,67.07,,,27.31,,,,,47.38,,18.18,,,28.04,,5.81,,,,,,,,,,,,28.51,,9.05,9.65,15.51,4.48,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-14,,,,,,,10.19,28.79,,,57.32,119.48,,,131.81,,,,,140.01,,37.49,,,20.02,,2.57,,,,,,,,,,,,19.835,,9.72,10.65,9.22,7.98,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-15,,,,,,,9.36,15.92,,,32.42,80.73,,,75.72,,,,,50.8,,15.55,,,7.36,,2.06,,,,,,,,,,,,11.16,,9.64,10.01,10.27,4.67,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,,,,,,9.75,14.32,,,28.7,40.61,,,28.14,,,,,24.36,,19.85,,,13.94,,7.36,,,,,,,,,,,,41.2,,9.26,9.89,9.51,6.08,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,,,,,,9.69,16.2,,,24.16,182.0,,,41.42,,,,,24.65,,15.96,,,20.56,,11.33,,,,,,,,,,,,44.55,,12.27,13.24,9.57,5.5,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-18,,,,,,,9.54,23.61,,,50.17,85.89,,,125.72,,,,,124.72,,16.24,,,27.74,,11.33,,,,,,,,,,,,11.4,,14.94,13.4,9.38,5.44,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,,,,,,,9.9,17.29,,,27.65,31.7,,,26.6,,,,,34.04,,11.25,,,17.85,,11.07,,,,,,,,,,,,7.88,,13.96,13.8,10.12,5.42,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,,,,,,,10.39,15.0,,,26.15,24.97,,,16.84,,,,,15.22,,33.84,,,11.6,,8.4,,,,,,,,,,,,4.49,,10.51,16.01,9.77,5.12,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,,,,,,,10.38,12.9,,,28.07,51.66,,,54.74,,,,,55.34,,61.95,,,6.68,,2.86,,,,,,,,,,,,5.19,,8.49,9.86,9.65,7.46,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,,,,,,,11.02,7.48,,,19.39,26.65,,,12.82,,,,,9.94,,45.45,,,5.79,,10.27,,,,,,,,,,,,32.39,,7.77,8.64,9.76,6.19,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,,,,,,,10.01,16.92,,,25.59,34.03,,,14.175,,,,,22.56,,77.7,,,5.33,,9.44,,,,,,,,,,,,21.74,,7.3,8.48,24.29,8.3,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,,,,,,,9.64,17.93,,,27.34,58.0,,,15.53,,,,,66.43,,12.56,,,23.41,,3.58,,,,,,,,,,,,6.73,,7.53,11.95,22.68,7.74,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,,,,,,,10.06,17.12,,,25.1,13.26,,,14.93,,,,,8.12,,2.23,,,21.94,,5.81,,,,,,,,,,,,4.6,,9.33,12.63,9.9,8.43,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,,,,,10.74,7.52,,,15.16,10.045,,,11.3,,,,,11.95,,2.5675,,,16.21,,3.18,,,,,,,,,,,,4.89,,7.3,11.9,9.59,4.59,3.966666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,,,,,10.5,8.03,,,15.92,6.83,,,18.34,,,,,17.2,,2.905,,,8.65,,4.74,,,,,,,,,,,,6.07,,6.97,11.17,9.96,7.11,3.6133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-28,,,,,,,10.06,7.59,,,15.46,4.62,,,5.54,,,,,14.28,,3.2424999999999997,,,2.17,,3.71,,,,,,,,,,,,4.38,,7.68,8.24,9.98,9.87,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,,,,11.32,9.27,,,14.09,3.2,,,7.32,,,,,6.67,,3.58,,,2.34,,2.75,,,,,,,,,,,,3.92,,7.84,7.05,9.59,11.73,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,,,,,,,22.76,11.12,,,13.63,7.27,,,5.08,,,,,6.27,,9.07,,,2.98,,8.93,,,,,,,,,,,,28.32,,9.38,7.3,9.58,11.36,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,,,,,,,11.26,9.49,,,23.56,16.01,,,16.87,,,,,26.98,,12.99,,,5.42,,10.82,,,,,,,,,,,,7.56,,9.08,11.67,9.26,11.62,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,,,,,,,10.67,6.49,,,21.35,16.59,,,11.25,,,,,17.04,,18.21,,,3.5,,6.9,,,,,,,,,,,,3.6,,8.42,9.84,9.5,13.48,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,,,,,,,10.2,8.97,,,26.5,30.08,,,33.66,,,,,48.33,,48.44,,,11.53,,11.53,,,,,,,,,,,,5.94,,11.55,11.11,9.34,14.77,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,,,,,10.1,10.76,,,29.36,14.34,,,24.78,,,,,34.04,,25.47,,,4.26,,7.62,,,,,,,,,,,,12.91,,11.2,14.74,9.45,12.81,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-07,,,,,,,10.85,9.65,,,22.64,10.17,,,10.7,,,,,15.92,,2.5,,,5.13,,9.02,,,,,,,,,,,,11.15,,11.12,11.77,10.28,21.43,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
