Date,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2015-01-01,,,,,,,40.91,36.49,,,12.39,71.21333333333334,,,52.5,,,,,39.67,,18.22,,,23.86,,10.79,,,,,,,,,,,,17.7825,,12.54,11.08,22.56,19.34,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,40.98,35.32,,,17.12,112.51666666666668,,,33.19,,,,,33.58,,15.69,,,26.33,,13.13,,,,,,,,,,,,17.585,,12.6,9.11,19.28,19.56,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,40.89,23.66,,,16.9,153.82,,,20.23,,,,,12.98,,19.3,,,24.52,,12.54,,,,,,,,,,,,17.387500000000003,,12.8,7.19,28.84,19.85,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,,40.43,21.01,,,11.33,119.04,,,16.77,,,,,11.81,,18.48,,,23.51,,10.11,,,,,,,,,,,,17.19,,12.45,6.52,29.61,19.93,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,37.54,18.64,,,15.52,101.84,,,22.58,,,,,10.79,,21.42,,,24.19,,21.55,,,,,,,,,,,,9.69,,12.59,7.81,28.51,19.53,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,36.41,21.55,,,19.44,103.62,,,31.35,,,,,13.56,,38.48,,,29.36,,16.8,,,,,,,,,,,,22.02,,12.67,8.31,89.12,20.18,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,34.68,23.15,,,17.11,123.44,,,25.81,,,,,15.5,,40.62,,,31.16,,12.45,,,,,,,,,,,,40.08,,12.7,8.18,118.26,20.44,12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,34.53,22.25,,,22.73,128.14,,,25.4,,,,,15.73,,36.74,,,40.46,,16.46,,,,,,,,,,,,33.02,,17.21,6.84,74.62,19.01,28.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,34.17,21.78,,,15.54,116.33,,,26.96,,,,,15.27,,31.0,,,35.67,,10.65,,,,,,,,,,,,31.6,,15.73,8.97,103.26,11.67,28.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,35.39,20.09,,,17.57,156.83,,,32.33,,,,,14.56,,7.04,,,36.21,,21.19,,,,,,,,,,,,32.52,,12.6,10.68,32.17,11.23,28.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-11,,,,,,,35.59,23.33,,,14.67,145.54,,,86.5,,,,,16.65,,55.8,,,41.41,,18.27,,,,,,,,,,,,31.96,,12.59,9.06,133.06,11.09,26.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,,,,34.3,28.53,,,20.05,115.58,,,78.0,,,,,19.06,,40.67,,,34.46,,22.2,,,,,,,,,,,,30.2,,12.38,9.82,68.73,11.58,23.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
