Date,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2015-01-01,,,,,,,90.29,50.98,,,24.73,73.10333333333332,,,227.11,,,,,159.86,,17.15,,,14.62,,7.14,,,27.38,,,,,,,,,12.67,,20.63,10.55,36.86,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,63.94,56.38,,,31.5,103.69666666666666,,,155.13,,,,,109.87,,16.46,,,19.72,,8.57,,,26.2,,,,,,,,,15.41,,20.59,12.88,37.67,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,51.06,24.41,,,20.16,134.29,,,61.86,,,,,46.3,,29.7,,,20.34,,27.0,,,26.04,,,,,,,,,18.15,,20.82,8.61,5.19,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,,56.13,20.34,,,18.42,99.91,,,59.17,,,,,34.34,,17.97,,,15.49,,26.98,,,25.97,,,,,,,,,20.89,,20.5,8.99,5.65,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,51.18,14.75,,,22.96,82.67,,,31.36,,,,,25.28,,37.76,,,46.1,,15.51,,,25.18,,,,,,,,,13.3,,20.61,8.75,9.45,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,52.66,17.4,,,26.37,84.17,,,38.11,,,,,36.75,,81.5,,,21.99,,10.38,,,26.41,,,,,,,,,26.23,,20.78,10.16,9.32,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,59.04,23.25,,,22.24,105.82,,,58.31,,,,,44.18,,130.77,,,31.84,,8.23,,,27.08,,,,,,,,,66.15,,20.67,9.47,9.83,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,56.51,16.36,,,19.97,106.64,,,49.65,,,,,43.67,,96.75,,,26.96,,11.01,,,27.48,,,,,,,,,43.33,,13.1,7.56,10.84,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,57.81,16.3,,,19.33,93.12,,,45.52,,,,,41.53,,48.0,,,25.06,,4.99,,,27.22,,,,,,,,,40.39,,15.24,10.85,5.49,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,56.79,15.32,,,20.88,136.05,,,37.7,,,,,49.69,,0.0,,,20.72,,12.44,,,28.03,,,,,,,,,40.64,,20.7,9.73,5.84,6.24,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
