Date,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2015-01-01,,,,,,,143.84,42.2,,,,,,,2.67,,,,,5.76,,133.36,,,10.73,,,,,,,,,,,,,,18.91,,3.86,,18.85,34.17,14.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,77.99,37.37,,,,,,,2.87,,,,,6.93,,34.06,,,22.77,,,,,,,,,,,,,,22.72,,3.82,,15.46,35.0,12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,57.48,15.7,,,,,,,2.0,,,,,1.73,,30.7,,,12.03,,,,,,,,,,,,,,26.529999999999998,,3.9,,20.64,31.88,12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,,73.55,16.06,,,,,,,4.25,,,,,4.35,,36.08,,,17.7,,,,,,,,,,,,,,30.34,,3.8,,16.85,29.9,12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,57.42,18.56,,,,,,,7.35,,,,,8.79,,39.31,,,12.72,,,,,,,,,,,,,,31.28,,3.83,,14.89,28.27,12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,78.73,16.16,,,,,,,4.68,,,,,3.94,,46.51,,,13.82,,,,,,,,,,,,,,28.56,,3.91,,21.32,28.38,14.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,95.48,15.79,,,,,,,2.17,,,,,2.4,,33.47,,,16.98,,,,,,,,,,,,,,31.08,,3.84,,24.04,28.36,16.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,93.05,15.98,,,,50.69,,,1.42,,,,,2.19,,31.89,,,17.35,,,,,,,,,,,,,,35.72,,40.62,,34.61,28.58,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,93.22,17.73,,,,51.61,,,3.56,,,,,6.35,,25.75,,,16.27,,,,,,,,,,,,,,34.77,,15.9,,35.53,30.22,13.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,73.33,18.48,,,,62.97,,,6.44,,,,,9.38,,4.55,,,25.01,,,,,,,,,,,,,,34.63,,3.88,,36.91,32.69,22.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
