Date,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2015-01-01,,,,,,,,,,,8.91,3.8400000000000003,,,11.78,,,,,7.07,,27.64,,,2.01,,5.08,,,,,,,,,,,,7.6049999999999995,,7.61,7.62,12.36,,169.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,,,,,6.79,4.140000000000001,,,9.94,,,,,3.81,,24.55,,,3.64,,4.31,,,,,,,,,,,,5.93,,7.53,8.41,10.14,,169.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,,,,,5.3,4.44,,,1.21,,,,,2.88,,29.07,,,4.06,,95.41,,,,,,,,,,,,4.255,,7.69,11.34,133.86,,169.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,,,,,,4.5,4.3,,,6.71,,,,,2.98,,18.59,,,2.48,,195.65,,,,,,,,,,,,2.58,,7.51,9.84,164.15,,169.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,,,,,4.17,4.61,,,2.35,,,,,2.19,,39.33,,,4.22,,6.4,,,,,,,,,,,,5.19,,7.56,9.59,91.47,,169.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,,,,,4.31,4.26,,,1.88,,,,,3.81,,45.76,,,5.15,,3.31,,,,,,,,,,,,9.09,,7.71,10.18,126.67,,178.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,,,,,8.94,4.51,,,4.6,,,,,5.21,,32.28,,,5.13,,3.93,,,,,,,,,,,,9.03,,7.57,8.01,120.71,,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,,,,,4.7,3.93,,,1.31,,,,,3.94,,38.54,,,5.65,,9.5,,,,,,,,,,,,8.47,,7.7,11.87,99.22,,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,,,,,3.67,4.14,,,1.79,,,,,4.31,,58.68,,,11.52,,9.09,,,,,,,,,,,,8.92,,7.47,5.9,94.64,,182.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,,,,,5.61,4.97,,,5.77,,,,,7.21,,8.29,,,11.683333333333334,,3.08,,,,,,,,,,,,9.59,,7.66,9.96,98.23,,174.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
