Date,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2015-01-01,,,,,,,14.16,,,,,,,,29.52,,,,,30.91,,0.02,,,4.8,,1.15,,,0.0,,,,,,,,,3.2925,,,,,0.02,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,6.19,,,,,,,,20.17,,,,,33.92,,5.5,,,4.55,,15.93,,,0.0,,,,,,,,,4.245,,,,,0.02,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,2.87,,,,,,,,8.04,,,,,19.78,,16.4,,,3.45,,43.38,,,0.0,,,,,,,,,5.1975,,,,,0.03,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,,4.8,,,,,,,,7.69,,,,,18.45,,10.14,,,3.51,,20.82,,,0.0,,,,,,,,,6.15,,,,,0.05,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,4.26,,,,,,,,4.08,,,,,11.58,,18.89,,,3.17,,14.25,,,0.0,,,,,,,,,7.22,,,,,0.07,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,4.99,,,,,,,,4.95,,,,,12.08,,10.83,,,4.66,,1.37,,,0.0,,,,,,,,,5.14,,,,,0.1,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,7.48,,,,,,,,7.58,,,,,13.19,,0.0,,,9.67,,5.08,,,0.0,,,,,,,,,16.35,,,,,0.1,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,6.94,,,,,,,,6.46,,,,,20.79,,0.0,,,9.62,,1.84,,,0.0,,,,,,,,,14.27,,3.54,,,0.11,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,7.56,,,,,,,,5.92,,,,,19.89,,0.0,,,9.38,,1.36,,,0.0,,,,,,,,,12.47,,14.68,,,0.07,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,6.84,,,,,,,,4.9,,,,,15.88,,0.0,,,11.47,,24.23,,,0.0,,,,,,,,,14.06,,11.25,,,0.07,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-11,,,,,,,7.63,,,,,,,,7.765000000000001,,,,,13.54,,0.0,,,26.75,,31.71,,,0.0,,,,,,,,,10.4,,7.82,,,0.07,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,,,,6.6,,,,,,,,10.63,,,,,15.74,,0.03,,,48.79,,0.74,,,0.0,,,,,,,,,15.16,,4.390000000000001,,,0.07,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,,,,5.99,,,,,,,,8.46,,,,,14.06,,13.35,,,16.08,,2.05,,,0.0,,,,,,,,,17.65,,0.96,,,0.07,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,,,,,4.38,,,,,,,,8.08,,,,,21.94,,2.26,,,8.83,,7.94,,,0.0,,,,,,,,,24.04,,,,,0.06,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,,,,,4.45,,,,,,,,12.55,,,,,44.66,,0.04,,,7.94,,27.26,,,0.0,,,,,,,,,9.19,,,,,0.04,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,,,,,5.32,,,,,,,,14.37,,,,,29.88,,0.05,,,7.98,,40.75,,,0.0,,,,,,,,,7.13,,,,,0.04,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-17,,,,,,,4.84,,,,,,,,19.6,,,,,29.33,,0.0,,,7.55,,42.26,,,0.0,,,,,,,,,15.21,,,,,0.03,9.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-18,,,,,,,5.74,,,,,,,,16.85,,,,,41.76,,0.21,,,6.55,,31.36,,,0.0,,,,,,,,,14.27,,,,,0.03,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,,,,,5.22,,,,,,,,11.53,,,,,22.78,,0.02,,,6.41,,23.44,,,0.0,,,,,,,,,9.77,,,,,0.04,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,,,,,4.72,,,,,,,,4.67,,,,,10.9,,0.01,,,9.93,,15.626666666666669,,,0.0,,,,,,,,,6.7,,,,,0.04,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,,,,3.92,,,,,,,,5.2,,,,,15.66,,0.0,,,34.405,,7.813333333333335,,,0.0,,,,,,,,,4.51,,,,,0.08,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,,,,4.0,,,,,,,,5.82,,,,,18.82,,0.0,,,58.88,,0.0,,,0.0,,,,,,,,,4.3,,,,,0.07,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,,,3.58,,,,,,,,3.76,,,,,15.6,,0.0,,,6.43,,33.2,,,0.0,,,,,,,,,6.23,,,,,0.06,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-24,,,,,,,4.23,,,,,,,,3.17,,,,,9.1,,0.7,,,4.84,,20.19,,,0.0,,,,,,,,,5.12,,,,,0.06,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-25,,,,,,,4.23,,,,,,,,2.75,,,,,11.07,,0.0,,,4.4,,21.33,,,0.0,,,,,,,,,3.48,,,,,0.06,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,,,,3.59,,,,,,,,3.295,,,,,8.14,,0.0,,,3.88,,27.29,,,0.0,,,,,,,,,2.22,,,,,0.07,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,,,,4.43,,,,,,,,3.84,,,,,9.48,,0.0,,,4.02,,20.48,,,0.0,,,,,,,,,2.81,,,,,0.06,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,,,,,3.78,,,,,,,,4.24,,,,,12.55,,0.01,,,5.48,,36.3,,,0.0,,,,,,,,,3.43,,8.98,,,0.06,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,,,,,4.92,,,,,,,,6.53,,,,,20.21,,0.0,,,4.03,,14.98,,,0.0,,,,,,,,,4.61,,2.86,,,0.06666666666666667,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,,,,,4.83,,,,,,,,6.1,,,,,12.79,,0.0,,,3.46,,3.96,,,0.0,,,,,,,,,6.29,,5.02,,,0.07333333333333333,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,,,,,,,3.66,,,,,,,,10.25,,,,,17.39,,0.01,,,4.43,,0.39,,,0.0,,,,,,,,,7.09,,7.18,,,0.08,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,,,,4.84,,,,,,,,15.21,,,,,27.26,,0.04,,,2.97,,0.0,,,0.0,,,,,,,,,7.44,,11.39,,,0.07,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,,,,3.7,,,,,,,,4.48,,,,,6.12,,0.06,,,3.76,,0.68,,,0.0,,,,,,,,,4.34,,13.02,,,0.06,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,,,,,1.61,,,,,,,,3.25,,,,,8.14,,0.03,,,4.88,,1.36,,,0.0,,,,,,,,,4.02,,12.25,,,0.06,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,,,,,3.93,,,,,,,,3.86,,,,,11.32,,0.0,,,4.29,,3.27,,,0.0,,,,,,,,,10.52,,11.48,,,0.07,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,,,,,4.79,,,,,,,,7.05,,,,,22.17,,0.0,,,27.29,,0.74,,,0.0,,,,,,,,,10.96,,7.780000000000001,,,0.07,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,,,,,14.03,,,,,,,,14.12,,,,,28.41,,0.0,,,22.54,,0.59,,,0.0,,,,,,,,,7.82,,4.080000000000002,,,0.07,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-07,,,,,,,9.48,,,,,,,,8.86,,,,,24.56,,0.0,,,5.94,,1.37,,,0.0,,,,,,,,,4.46,,0.38,,,0.1,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-08,,,,,,,0.84,,,,,,,,6.904999999999999,,,,,12.16,,0.0,,,7.13,,0.45,,,0.0,,,,,,,,,2.94,,10.02,,,0.08,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,,,,,,1.78,,,,,,,,4.95,,,,,4.18,,0.0,,,29.64,,2.98,,,0.0,,,,,,,,,3.25,,,,,0.07,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,,,,,,9.39,,,,,,,,5.18,,,,,8.02,,0.0,,,18.5,,1.68,,,0.0,,,,,,,,,2.81,,,,,0.07,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,,,,,1.62,,,,,,,,8.97,,,,,7.17,,9.63,,,7.36,,0.35,,,0.0,,,,,,,,,2.085,,,,,0.08,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,,,,,4.43,,,,,,,,8.81,,,,,8.91,,17.46,,,4.89,,2.29,,,0.0,,,,,,,,,1.36,,,,,0.07,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,,,,,4.2,,,,,,,,9.56,,,,,9.3,,24.35,,,3.43,,2.64,,,0.0,,,,,,,,,0.76,,,,,0.06,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-14,,,,,,,4.76,,,,,,,,28.47,,,,,20.41,,52.66,,,3.71,,1.76,,,0.0,,,,,,,,,5.425,,,,,0.08,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-15,,,,,,,1.94,,,,,,,,14.76,,,,,10.23,,28.53,,,2.97,,1.43,,,0.0,,,,,,,,,10.09,,,,,0.06,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,,,,,,0.53,,,,,,,,9.39,,,,,6.18,,31.25,,,16.21,,16.04,,,0.0,,,,,,,,,29.81,,,,,0.07,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,,,,,,0.7,,,,,,,,9.86,,,,,6.44,,18.75,,,29.45,,27.7,,,0.0,,,,,,,,,27.77,,,,,0.06,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-18,,,,,,,2.5,,,,,,,,26.27,,,,,20.05,,32.41,,,46.96,,39.36,,,0.0,,,,,,,,,8.79,,,,,0.07,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,,,,,,,2.17,,,,,,,,8.24,,,,,7.95,,24.03,,,36.59,,35.38,,,0.0,,,,,,,,,4.28,,,,,0.08,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,,,,,,,4.88,,,,,,,,7.04,,,,,8.96,,43.51,,,36.3,,32.33,,,0.0,,,,,,,,,3.87,,1.64,,,0.08,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,,,,,,,9.31,,,,,,,,10.15,,,,,29.98,,53.98,,,,,8.98,,,0.0,,,,,,,,,5.61,,3.31,,,0.09,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,,,,,,,0.7,,,,,,,,3.84,,,,,10.62,,22.4,,,,,6.28,,,0.0,,,,,,,,,18.71,,8.04,,,0.08,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,,,,,,,6.19,,,,,,,,4.515000000000001,,,,,18.9,,163.64,,,,,13.56,,,0.0,,,,,,,,,17.63,,3.24,,,0.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,,,,,,,8.57,,,,,,,,5.19,,,,,37.12,,46.52,,,,,6.43,,,0.0,,,,,,,,,7.26,,3.5900000000000003,,,0.09,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,,,,,,,0.74,,,,,,,,5.66,,,,,14.26,,11.39,,,,,1.53,,,0.0,,,,,,,,,5.94,,3.9400000000000004,,,0.1,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,,,,,2.59,,,,,,,,4.26,,,,,14.01,,8.9375,,,,,1.3,,,0.0,,,,,,,,,8.99,,4.29,,,0.07,7.256666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,,,,,3.12,,,,,,,,4.97,,,,,17.6,,6.484999999999999,,,,,1.09,,,0.0,,,,,,,,,8.84,,6.49,,,0.09,7.183333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
