Date,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2015-01-01,,,,,,,9.84,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,4.29,,,,,,,,,,,,,,,3.77,,,,,,,,0.0,,,,,,,,,0.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,1.99,,,,,,,,,,,,,,,2.25,,,,,,,,0.0,,,,,,,,,0.8425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,,3.34,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,2.96,,,,,,,,,,,,,,,2.78,,,,,,,,0.0,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,3.47,,,,,,,,,,,,,,,1.93,,,,,,,,0.0,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,5.21,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,4.83,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,5.26,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,4.76,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-11,,,,,,,5.36,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,,,,4.59,,,,,,,,,,,,,,,7.88,,,,,,,,0.0,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,,,,4.17,,,,,,,,,,,,,,,12.5,,,,,,,,0.0,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,,,,,3.06,,,,,,,,,,,,,,,5.19,,,,,,,,0.0,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,,,,,3.08,,,,,,,,,,,,,,,1.35,,,,,,,,0.0,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,,,,,3.75,,,,,,,,,,,,,,,2.01,,,,,,,,0.0,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-17,,,,,,,3.36,,,,,,,,,,,,,,,3.27,,,,,,,,0.0,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-18,,,,,,,4.03,,,,,,,,,,,,,,,2.75,,,,,,,,0.0,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,,,,,3.62,,,,,,,,,,,,,,,2.8,,,,,,,,0.0,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,,,,,3.28,,,,,,,,,,,,,,,3.97,,,,,,,,0.0,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,,,,2.72,,,,,,,,,,,,,,,5.65,,,,,,,,0.0,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,,,,2.78,,,,,,,,,,,,,,,4.51,,,,,,,,0.0,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,,,2.49,,,,,,,,,,,,,,,5.95,,,,,,,,0.0,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-24,,,,,,,2.94,,,,,,,,,,,,,,,1.54,,,,,,,,0.0,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-25,,,,,,,2.94,,,,,,,,,,,,,,,0.94,,,,,,,,0.0,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,,,,2.51,,,,,,,,,,,,,,,1.55,,,,,,,,0.0,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,,,,3.07,,,,,,,,,,,,,,,1.65,,,,,,,,0.0,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,,,,,2.63,,,,,,,,,,,,,,,1.41,,,,,,,,0.0,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,,,,,3.42,,,,,,,,,,,,,,,3.14,,,,,,,,0.0,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,,,,,3.35,,,,,,,,,,,,,,,4.81,,,,,,,,0.0,,,,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,,,,,,,2.54,,,,,,,,,,,,,,,7.67,,,,,,,,0.0,,,,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,,,,3.36,,,,,,,,,,,,,,,25.87,,,,,,,,0.0,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
