Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad
2015-01-01,,,472.0,,
2015-01-02,,,454.0,,
2015-01-03,,,143.0,,
2015-01-04,,,319.0,,
2015-01-05,,,325.0,,
2015-01-06,,,318.0,,
2015-01-07,,,353.0,,
2015-01-08,,,383.0,,
2015-01-09,,,375.0,,
2015-01-10,,,376.0,,
2015-01-11,,,379.0,,
2015-01-12,,,375.0,,
2015-01-13,,,366.0,,
2015-01-14,,,353.0,,
2015-01-15,,,340.0,,
2015-01-16,,,356.0,,
2015-01-17,,,360.0,,
2015-01-18,,,370.0,,
2015-01-19,,,362.0,,
2015-01-20,,,340.0,,
2015-01-21,,,338.0,,
2015-01-22,,,332.0,,
2015-01-23,,,254.0,,
2015-01-24,,,324.0,,
2015-01-25,,,333.0,,
2015-01-26,,,292.0,,
2015-01-27,,,318.0,,
2015-01-28,,,295.0,,
2015-01-29,,,327.0,,
2015-01-30,,,345.0,,
2015-01-31,,,334.0,,
2015-02-01,,,358.0,,
2015-02-02,,,349.0,,
2015-02-03,,,334.0,,
2015-02-04,,,313.0,,
2015-02-05,,,262.0,,
2015-02-06,,,303.0,,
2015-02-07,,,329.0,,
2015-02-08,,,323.0,,
2015-02-09,,,266.0,,
2015-02-10,,,319.0,,
2015-02-11,,,334.0,,
2015-02-12,,,342.0,,
2015-02-13,,,341.0,,
2015-02-14,,,377.0,,
2015-02-15,,,391.0,,
2015-02-16,,,358.0,,
2015-02-17,,,327.0,,
2015-02-18,,,365.0,,
2015-02-19,,,352.0,,
2015-02-20,,,317.0,,
2015-02-21,,,320.0,,
2015-02-22,,,279.0,,
2015-02-23,,,281.0,,
2015-02-24,,,354.0,,
2015-02-25,,,340.0,,
2015-02-26,,,323.0,,
2015-02-27,,,315.0,,
2015-02-28,,,310.0,,
2015-03-01,,,324.0,,
2015-03-02,,,226.0,,
2015-03-03,,,266.0,,
2015-03-04,,,200.0,,
2015-03-05,,,275.0,,
2015-03-06,,,322.0,,
2015-03-07,,,216.0,,
2015-03-08,,,108.0,,
2015-03-09,,,197.0,,
2015-03-10,,,238.0,,
2015-03-11,,,274.0,,
2015-03-12,,,315.0,,
2015-03-13,,,307.0,,
2015-03-14,,,208.0,,
2015-03-15,,,165.0,,
2015-03-16,,,188.0,,
2015-03-17,,,217.0,,
2015-03-18,,,191.0,,
2015-03-19,,,240.0,,
2015-03-20,,,229.0,,
2015-03-21,91.0,,248.0,607.0,
2015-03-22,120.0,,204.0,707.0,
2015-03-23,154.0,,271.0,699.0,
2015-03-24,119.0,333.0,290.0,108.0,
2015-03-25,232.0,325.5,340.0,111.0,
2015-03-26,132.0,318.0,358.0,116.0,
2015-03-27,123.0,408.0,287.0,104.0,
2015-03-28,152.0,448.0,323.0,114.0,
2015-03-29,143.0,402.6666666666667,360.0,124.0,
2015-03-30,80.0,357.33333333333337,268.0,113.0,
2015-03-31,90.0,312.0,283.0,104.0,120.0
2015-04-01,151.0,289.0,309.0,124.0,112.0
2015-04-02,123.0,206.0,249.0,157.0,117.8
2015-04-03,178.0,248.0,245.0,122.0,123.6
2015-04-04,101.0,275.0,229.0,144.0,129.4
2015-04-05,160.0,302.0,234.0,123.0,135.20000000000002
2015-04-06,71.0,193.0,343.0,114.0,141.0
2015-04-07,76.0,151.0,262.0,120.0,197.0
2015-04-08,153.0,137.0,308.0,117.0,177.0
2015-04-09,80.0,208.0,293.0,104.0,104.0
2015-04-10,129.0,172.0,290.0,108.0,106.0
2015-04-11,107.0,149.0,375.0,114.0,105.0
2015-04-12,122.0,157.0,293.0,134.0,128.0
2015-04-13,85.0,242.0,247.0,103.0,133.0
2015-04-14,62.0,205.0,232.0,103.0,312.0
2015-04-15,177.0,245.0,316.0,104.0,179.0
2015-04-16,152.0,244.0,295.0,104.0,112.0
2015-04-17,210.0,152.0,246.0,103.0,106.0
2015-04-18,170.0,152.0,378.0,104.0,147.0
2015-04-19,135.0,148.0,406.0,105.0,139.0
2015-04-20,118.0,149.0,392.0,167.0,118.0
2015-04-21,127.0,158.0,391.0,122.0,123.0
2015-04-22,47.0,145.0,368.0,133.0,157.0
2015-04-23,44.0,142.0,365.0,102.0,149.0
2015-04-24,67.0,180.0,383.0,113.0,165.0
2015-04-25,44.0,130.0,367.0,160.0,119.0
2015-04-26,82.0,102.0,334.0,105.0,98.0
2015-04-27,156.0,113.0,258.0,104.0,86.0
2015-04-28,96.0,136.0,234.0,111.0,124.0
2015-04-29,72.0,130.0,257.0,110.0,148.0
2015-04-30,117.0,115.0,259.0,109.0,176.0
2015-05-01,67.0,108.0,279.0,162.0,206.0
2015-05-02,217.0,139.0,312.0,175.0,134.0
2015-05-03,64.0,140.0,372.0,133.0,115.0
2015-05-04,162.0,100.0,387.0,118.0,113.0
2015-05-05,75.0,107.0,408.0,119.0,116.0
2015-05-06,141.0,124.0,398.0,114.0,150.0
2015-05-07,70.0,130.0,403.0,115.0,157.0
2015-05-08,142.0,201.0,361.0,148.0,121.0
2015-05-09,140.0,126.0,378.0,176.0,149.0
2015-05-10,71.0,153.0,381.0,150.0,125.0
2015-05-11,66.0,176.0,388.0,163.0,140.0
2015-05-12,56.0,146.0,346.0,138.0,130.0
2015-05-13,45.0,208.0,328.0,119.0,125.0
2015-05-14,61.0,285.0,291.0,112.0,177.0
2015-05-15,70.0,178.0,396.0,119.0,123.0
2015-05-16,59.0,209.0,297.0,118.0,120.0
2015-05-17,125.0,201.0,345.0,127.0,114.0
2015-05-18,106.0,196.0,296.0,169.0,116.0
2015-05-19,84.0,156.0,319.0,118.0,143.0
2015-05-20,57.0,135.0,282.0,106.0,145.0
2015-05-21,56.0,197.0,352.0,115.0,158.0
2015-05-22,140.0,200.0,338.0,187.0,171.0
2015-05-23,156.0,166.0,321.0,135.0,117.0
2015-05-24,156.0,148.0,295.0,125.0,117.0
2015-05-25,111.0,177.0,344.0,128.0,132.0
2015-05-26,158.0,235.0,337.0,136.0,113.0
2015-05-27,93.0,277.0,355.0,163.0,160.0
2015-05-28,97.0,221.0,371.0,127.0,83.0
2015-05-29,94.0,204.0,414.0,127.0,120.0
2015-05-30,147.0,206.0,366.0,198.0,120.0
2015-05-31,100.0,211.0,346.0,107.0,125.0
2015-06-01,101.0,216.0,289.0,112.0,165.0
2015-06-02,84.0,220.0,297.0,116.0,661.0
2015-06-03,84.0,203.0,268.0,189.0,294.0
2015-06-04,74.0,207.0,259.0,198.0,125.0
2015-06-05,130.0,200.0,327.0,203.0,117.0
2015-06-06,74.0,125.0,384.0,193.0,127.0
2015-06-07,74.0,150.0,299.0,191.0,179.0
2015-06-08,162.0,119.0,282.0,211.0,118.0
2015-06-09,55.0,121.0,442.0,161.0,98.0
2015-06-10,72.0,144.0,309.0,217.0,100.0
2015-06-11,66.0,117.0,270.0,119.0,102.0
2015-06-12,81.0,121.0,239.0,139.0,95.0
2015-06-13,94.0,118.0,214.0,106.0,106.0
2015-06-14,128.0,117.0,166.0,101.0,142.0
2015-06-15,86.0,165.0,234.0,229.0,163.0
2015-06-16,136.0,118.0,331.0,270.0,98.0
2015-06-17,67.0,120.0,327.0,103.0,98.0
2015-06-18,45.0,114.0,313.0,94.0,94.0
2015-06-19,70.0,155.0,284.0,102.0,93.0
2015-06-20,93.0,158.0,239.0,104.0,96.0
2015-06-21,166.0,118.0,149.0,218.0,94.0
2015-06-22,183.0,152.0,172.0,159.0,105.0
2015-06-23,107.0,181.0,226.0,157.0,132.0
2015-06-24,140.0,167.0,261.0,132.0,348.0
2015-06-25,107.0,158.0,188.0,70.0,342.0
2015-06-26,70.0,147.0,192.0,188.0,96.0
2015-06-27,165.0,149.0,207.0,167.0,104.0
2015-06-28,160.0,157.0,219.0,59.0,114.0
2015-06-29,209.0,157.0,193.0,51.0,141.0
2015-06-30,166.0,172.0,170.0,131.0,119.0
2015-07-01,187.0,201.0,185.0,95.0,99.0
2015-07-02,162.0,169.0,220.0,80.0,97.0
2015-07-03,185.0,186.0,225.0,75.0,108.0
2015-07-04,141.0,290.0,250.0,115.0,103.0
2015-07-05,225.0,193.0,282.0,152.0,102.0
2015-07-06,309.0,164.0,298.0,153.0,97.0
2015-07-07,136.0,187.0,175.0,210.0,99.0
