Date,Bengaluru,Delhi,Hyderabad
2015-01-01,20.36,33.85,
2015-01-02,23.74,31.83,
2015-01-03,4.32,69.55,
2015-01-04,0.87,130.36,
2015-01-05,31.38,122.88,
2015-01-06,26.35,134.97,
2015-01-07,22.73,134.82,
2015-01-08,38.67,138.13,
2015-01-09,23.48,140.6,
2015-01-10,34.17,134.06,
2015-01-11,29.74,131.1,
2015-01-12,41.39,148.51,
2015-01-13,35.34,145.48,
2015-01-14,39.82,166.7,
2015-01-15,21.43,124.64,
2015-01-16,10.27,136.4,
2015-01-17,11.05,125.49,
2015-01-18,14.23,120.45,
2015-01-19,13.47,148.49,
2015-01-20,7.29,146.31,
2015-01-21,5.07,63.23,
2015-01-22,3.65,39.65,
2015-01-23,10.06,39.98,
2015-01-24,14.88,38.77,
2015-01-25,15.42,45.62,
2015-01-26,16.63,60.96,
2015-01-27,18.57,40.96,
2015-01-28,16.15,49.71,
2015-01-29,16.4,62.03,
2015-01-30,13.32,69.78,
2015-01-31,7.77,67.66,
2015-02-01,7.48,96.69,
2015-02-02,11.33,84.49,
2015-02-03,11.78,66.38,
2015-02-04,11.88,53.28,
2015-02-05,11.11,51.24,
2015-02-06,11.71,63.45,
2015-02-07,12.88,58.15,
2015-02-08,8.84,66.72,
2015-02-09,13.61,74.29,
2015-02-10,13.04,79.54,
2015-02-11,12.44,95.13,
2015-02-12,26.22,69.47,
2015-02-13,19.31,83.96,
2015-02-14,17.14,137.27,
2015-02-15,11.14,61.89,
2015-02-16,10.67,74.74,
2015-02-17,4.66,75.66,
2015-02-18,6.34,79.83,
2015-02-19,19.81,81.44,
2015-02-20,31.1,81.04,
2015-02-21,12.5,69.59,
2015-02-22,13.56,70.25,
2015-02-23,15.44,36.38,
2015-02-24,17.21,34.14,
2015-02-25,21.85,34.91,
2015-02-26,17.22,23.22,
2015-02-27,20.09,22.36,
2015-02-28,17.43,16.49,
2015-03-01,15.23,12.44,
2015-03-02,33.23,19.11,
2015-03-03,30.4,16.04,
2015-03-04,12.44,17.44,
2015-03-05,6.9,28.86,
2015-03-06,6.3,32.04,
2015-03-07,6.46,16.83,
2015-03-08,11.83,16.12,
2015-03-09,23.32,15.2,
2015-03-10,21.54,18.88,
2015-03-11,30.29,29.48,
2015-03-12,23.55,30.72,
2015-03-13,13.57,23.31,
2015-03-14,1.12,29.21,
2015-03-15,3.79,30.59,
2015-03-16,4.81,33.16,
2015-03-17,21.65,39.8,
2015-03-18,20.82,39.16,
2015-03-19,29.11,36.77,
2015-03-20,27.2,35.07,
2015-03-21,28.02,32.01,
2015-03-22,23.19,32.52,
2015-03-23,27.76,32.13,
2015-03-24,35.1,31.79,
2015-03-25,27.13,27.92,
2015-03-26,34.71,28.0,
2015-03-27,30.96,27.34,
2015-03-28,28.74,32.82,
2015-03-29,21.5,37.35,
2015-03-30,26.96,28.77,
2015-03-31,27.52,30.62,
2015-04-01,31.37,36.05,
2015-04-02,43.09,31.04,
2015-04-03,26.04,35.48,
2015-04-04,40.71,28.46,
2015-04-05,26.22,32.3,
2015-04-06,22.34,44.66,
2015-04-07,17.78,29.78,
2015-04-08,24.2,24.84,
2015-04-09,29.83,30.04,
2015-04-10,23.17,30.32,
2015-04-11,30.95,34.01,
2015-04-12,34.85,28.79,
2015-04-13,34.3,38.86,
2015-04-14,27.48,36.68,
2015-04-15,15.15,34.8,
2015-04-16,16.61,37.84,
2015-04-17,38.54,30.04,
2015-04-18,21.02,28.99,
2015-04-19,21.93,34.39,
2015-04-20,24.78,33.63,
2015-04-21,17.34,30.3,
2015-04-22,5.42,24.36,
2015-04-23,18.77,29.32,
2015-04-24,35.77,36.5,
2015-04-25,17.93,37.0,
2015-04-26,15.8,32.83,
2015-04-27,13.92,32.27,
2015-04-28,11.62,29.46,
2015-04-29,11.4,29.93,
2015-04-30,10.15,29.08,
2015-05-01,6.09,26.55,
2015-05-02,21.03,26.99,
2015-05-03,14.62,35.46,
2015-05-04,18.09,31.33,
2015-05-05,5.94,35.82,
2015-05-06,10.23,39.27,
2015-05-07,15.4,35.52,
2015-05-08,14.93,30.52,
2015-05-09,17.12,34.25,
2015-05-10,14.21,31.32,
2015-05-11,15.84,36.11,
2015-05-12,15.13,52.21,
2015-05-13,14.66,56.95,
2015-05-14,14.28,47.74,
2015-05-15,18.55,44.08,
2015-05-16,24.08,41.94,
2015-05-17,14.2,43.23,
2015-05-18,13.27,40.95,
2015-05-19,17.26,40.32,
2015-05-20,15.5,42.24,
2015-05-21,13.64,56.95,
2015-05-22,12.62,45.91,
2015-05-23,11.58,36.5,
2015-05-24,5.01,37.22,
2015-05-25,3.25,40.26,
2015-05-26,0.28,33.51,
2015-05-27,2.77,29.05,
2015-05-28,4.91,35.74,
2015-05-29,4.88,41.74,
2015-05-30,5.61,40.66,
2015-05-31,2.89,36.27,
2015-06-01,2.34,35.12,
2015-06-02,2.31,46.09,
2015-06-03,2.21,54.47,
2015-06-04,1.93,57.58,
2015-06-05,18.87,75.0,
2015-06-06,30.36,71.88,
2015-06-07,28.0,46.57,
2015-06-08,23.12,50.63,
2015-06-09,25.86,46.56,
2015-06-10,21.15,43.33,
2015-06-11,20.88,35.31,
2015-06-12,5.29,40.11,
2015-06-13,7.02,41.36,
2015-06-14,7.86,56.02,
2015-06-15,8.92,60.68,
2015-06-16,9.22,59.1,
2015-06-17,7.0,55.88,
2015-06-18,8.31,59.55,
2015-06-19,8.08,55.65,
2015-06-20,7.31,48.06,
2015-06-21,6.89,66.21,
2015-06-22,27.31,50.28,
2015-06-23,10.32,51.94,
2015-06-24,8.75,62.47,
2015-06-25,7.95,50.86,
2015-06-26,7.5,45.56,
2015-06-27,6.4,42.36,
2015-06-28,6.3,41.99,
2015-06-29,7.68,43.97,
2015-06-30,8.47,41.11,
2015-07-01,6.34,40.5,
2015-07-02,6.42,39.09,
2015-07-03,5.96,37.32,
2015-07-04,5.76,61.61,
2015-07-05,4.74,64.99,
2015-07-06,26.67,38.68,
2015-07-07,10.45,42.09,
2015-07-08,34.37,42.84,
2015-07-09,19.3,48.61,
2015-07-10,21.54,53.64,
2015-07-11,20.9,42.6,
2015-07-12,10.15,48.01,
2015-07-13,10.8,41.83,
2015-07-14,10.17,49.32,
2015-07-15,6.08,44.18,
2015-07-16,10.88,31.83,
2015-07-17,9.89,40.17,
2015-07-18,11.23,42.26,
2015-07-19,10.88,42.68,
2015-07-20,10.46,41.37,
2015-07-21,10.76,38.36,
2015-07-22,9.67,36.49,
2015-07-23,10.06,33.95,
2015-07-24,9.15,37.38,
2015-07-25,10.06,37.05,
2015-07-26,8.39,33.05,
2015-07-27,8.42,30.92,
2015-07-28,9.14,28.99,
2015-07-29,29.6,28.56,
2015-07-30,11.73,29.31,
2015-07-31,11.91,25.17,
2015-08-01,10.3,23.1,
2015-08-02,9.26,24.2,
2015-08-03,10.08,30.76,
2015-08-04,10.75,31.77,
2015-08-05,10.66,37.94,
2015-08-06,33.49,37.79,
2015-08-07,26.16,39.64,
2015-08-08,23.31,43.18,
2015-08-09,18.3,36.5,
2015-08-10,23.95,35.68,
2015-08-11,24.12,41.69,
2015-08-12,22.52,39.85,
2015-08-13,22.0,39.16,
2015-08-14,23.64,38.58,
2015-08-15,18.87,33.42,
2015-08-16,23.05,33.29,
2015-08-17,50.58,29.73,
2015-08-18,38.79,32.71,
2015-08-19,39.19,25.85,
2015-08-20,30.68,20.57,
2015-08-21,33.06,21.67,
2015-08-22,24.16,28.2,
2015-08-23,23.28,33.25,
2015-08-24,27.77,38.16,
2015-08-25,17.67,36.07,
2015-08-26,15.18,31.88,
2015-08-27,35.39,25.74,
2015-08-28,26.37,32.56,
2015-08-29,33.75,31.16,
2015-08-30,26.46,28.16,
2015-08-31,33.9,23.0,
2015-09-01,33.29,18.96,
2015-09-02,26.12,18.6,
2015-09-03,31.79,17.86,
2015-09-04,37.51,23.02,
2015-09-05,54.9,26.99,
2015-09-06,26.75,23.17,
2015-09-07,32.04,23.76,
2015-09-08,37.31,27.35,24.94
2015-09-09,36.19,22.77,24.81
2015-09-10,36.3,24.07,24.8
2015-09-11,34.24,34.81,25.86
2015-09-12,30.49,46.05,24.78
2015-09-13,21.98,51.19,21.68
2015-09-14,31.7,43.99,21.4
