Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna
2015-01-01,3.26,16.3,69.16,2.11,3.13,
2015-01-02,6.05,16.49,62.09,2.37,3.32,
2015-01-03,11.91,9.72,25.73,2.27,3.51,
2015-01-04,7.45,9.6,25.01,2.24,3.7,
2015-01-05,9.52,9.16,14.01,2.32,3.61,
2015-01-06,6.6,30.58,17.21,2.33,4.21,
2015-01-07,22.6,43.92,26.99,2.68,26.08,
2015-01-08,7.5,26.74,23.34,4.19,10.31,
2015-01-09,6.75,39.24,19.18,4.27,8.79,
2015-01-10,3.38,10.2,24.79,4.02,8.12,
2015-01-11,3.97,55.04,28.46,3.53,14.0,
2015-01-12,10.85,23.78,24.77,3.09,13.26,
2015-01-13,10.65,48.95,34.28,3.39,33.63,
2015-01-14,9.09,29.88,20.78,2.89,32.0,
2015-01-15,6.79,18.58,47.91,2.44,16.05,
2015-01-16,10.74,12.29,42.33,1.78,11.73,
2015-01-17,8.17,9.57,42.18,2.15,20.28,
2015-01-18,6.16,24.48,45.51,1.99,13.45,
2015-01-19,7.83,42.76,27.32,3.38,12.24,
2015-01-20,10.44,21.82,16.47,4.07,13.19,
2015-01-21,7.02,43.8,12.27,16.81,12.78,
2015-01-22,17.15,45.63,14.75,13.04,14.64,
2015-01-23,3.8,34.64,11.99,5.72,15.16,
2015-01-24,4.77,12.39,10.38,4.61,5.53,
2015-01-25,3.19,34.39,11.82,3.78,4.32,
2015-01-26,2.27,30.07,12.46,6.83,3.51,
2015-01-27,10.92,8.83,14.41,6.68,4.61,
2015-01-28,6.31,10.41,18.96,3.06,4.55,
2015-01-29,86.9,44.65,23.14,2.42,4.37,
2015-01-30,62.22,21.66,19.8,2.36,8.08,
2015-01-31,36.24,44.76,30.67,6.4,6.68,
2015-02-01,2.99,21.43,57.56,7.43,10.45,
2015-02-02,5.83,10.61,13.7,3.08,5.51,
2015-02-03,4.56,9.09,12.28,3.71,4.29,
2015-02-04,5.92,9.22,15.21,4.32,44.13,
2015-02-05,12.17,15.68,23.15,3.55,30.08,
2015-02-06,5.04,11.9,46.66,3.22,17.96,
2015-02-07,10.59,8.78,37.54,10.55,6.2,
2015-02-08,7.18,8.35,30.54,7.23,4.65,
