Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna
2015-01-01,17.33,15.39,36.39,13.46,24.6825,
2015-01-02,19.73,13.42,32.87,10.76,22.185,
2015-01-03,19.88,19.56,30.31,12.43,19.687500000000004,
2015-01-04,21.61,16.2,36.91,12.46,17.19,
2015-01-05,22.17,16.3,34.92,12.27,9.69,
2015-01-06,23.2,35.6,37.84,12.91,22.02,
2015-01-07,28.66,46.38,40.15,17.12,40.08,
2015-01-08,31.1,37.79,43.16,24.45,33.02,
2015-01-09,25.98,42.65,38.56,24.74,31.6,
2015-01-10,29.23,19.17,46.39,20.67,32.52,
2015-01-11,29.84,49.87,47.29,18.77,31.96,
2015-01-12,28.4,30.31,44.71,17.52,30.2,
2015-01-13,30.56,64.35,45.88,15.84,23.37,
2015-01-14,25.94,38.23,41.17,15.26,23.01,
2015-01-15,20.64,23.87,56.7,8.73,22.18,
2015-01-16,18.51,18.39,49.41,8.72,19.17,
2015-01-17,17.37,17.4,53.04,5.4,20.48,
2015-01-18,17.2,30.7,53.77,4.89,21.93,
2015-01-19,16.74,41.8,39.88,8.14,21.48,
2015-01-20,7.24,27.9,34.23,11.63,20.47,
2015-01-21,5.45,59.26,22.56,19.67,18.09,
2015-01-22,13.57,46.77,21.82,17.07,19.01,
2015-01-23,12.82,37.55,17.35,15.33,21.35,
2015-01-24,16.27,9.89,15.77,12.79,20.44,
2015-01-25,16.32,10.14,20.83,10.64,19.71,
2015-01-26,13.85,10.44,25.66,13.62,13.54,
2015-01-27,16.71,12.63,30.39,20.12,18.54,
2015-01-28,14.85,16.83,28.6,28.51,19.6,
2015-01-29,10.45,41.79,38.34,21.54,20.68,
2015-01-30,4.93,23.84,38.43,16.56,32.1,
2015-01-31,11.11,46.59,41.36,18.36,28.57,
2015-02-01,22.14,26.05,58.17,20.19,32.65,
2015-02-02,19.19,15.82,37.25,18.3,23.89,
2015-02-03,18.47,14.89,31.05,14.16,19.41,
2015-02-04,22.46,14.0,29.69,13.12,45.9,
2015-02-05,26.36,19.17,36.51,14.52,41.93,
2015-02-06,25.98,16.7,67.0,19.2,36.6,
2015-02-07,22.46,13.46,57.69,31.35,22.94,
2015-02-08,26.06,12.98,50.39,33.06,15.96,
2015-02-09,22.48,13.43,39.18,33.45,16.54,
2015-02-10,20.18,13.2,42.2,17.01,12.77,
2015-02-11,26.52,14.8,53.63,28.63,19.625,
2015-02-12,21.47,14.27,42.73,33.18,26.48,
2015-02-13,21.85,14.16,44.61,16.65,12.59,
2015-02-14,26.05,12.97,53.81,35.7,21.55,
2015-02-15,23.68,13.02,58.15,21.52,30.51,
2015-02-16,24.41,12.63,44.22,26.65,45.49,
2015-02-17,24.68,14.43,25.4,25.15,52.83,
2015-02-18,23.38,15.78,60.29,28.35,24.63,
2015-02-19,27.71,15.2,40.51,29.61,17.3,
2015-02-20,22.83,13.43,34.71,18.41,18.22,
2015-02-21,21.34,11.56,45.11,26.09,22.16,
2015-02-22,24.09,11.4,31.83,20.97,38.32,
2015-02-23,24.14,15.81,38.23,27.46,38.21,
2015-02-24,28.8,14.44,48.4,28.73,29.65,
2015-02-25,29.78,11.57,29.28,18.02,24.99,
2015-02-26,31.32,13.22,20.95,10.35,22.9,
2015-02-27,26.9,11.24,24.75,11.42,19.24,
2015-02-28,19.57,11.7,20.65,13.83,13.32,
2015-03-01,10.39,11.38,21.42,16.82,10.93,
2015-03-02,18.06,10.95,13.43,27.26,17.6,
2015-03-03,19.56,12.29,23.75,21.85,18.14,
2015-03-04,17.36,11.37,24.28,12.38,17.44,
2015-03-05,19.94,14.04,31.12,20.08,20.67,
2015-03-06,15.04,16.34,26.59,19.54,14.68,
2015-03-07,15.68,18.61,19.15,21.08,19.36,
2015-03-08,11.59,18.9,20.35,19.58,16.46,
2015-03-09,20.06,18.29,18.21,19.51,29.46,
2015-03-10,26.12,22.44,18.82,22.78,26.4,
2015-03-11,33.01,21.64,25.63,24.66,30.79,
2015-03-12,25.29,16.02,32.29,25.05,25.33,
2015-03-13,20.97,16.2,30.75,26.42,23.86,
2015-03-14,20.58,16.41,29.78,24.89,16.89,
2015-03-15,15.12,35.78,17.76,18.44,11.37,
2015-03-16,18.67,24.87,17.14,28.15,13.34,
2015-03-17,31.84,48.6,20.96,28.12,18.99,
2015-03-18,34.01,54.96,16.6,21.83,18.97,
2015-03-19,33.58,22.4,23.77,22.57,19.97,
