Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna
2015-01-01,10.88,22.68,110.59,4.57,17.32,
2015-01-02,14.14,23.09,88.14,3.8,18.51,
2015-01-03,20.72,9.99,47.95,4.22,19.700000000000003,
2015-01-04,16.88,11.71,48.62,4.22,20.89,
2015-01-05,21.76,12.94,38.25,4.22,13.3,
2015-01-06,16.24,13.42,42.46,4.3,26.23,
2015-01-07,30.84,13.32,52.41,4.64,66.15,
2015-01-08,21.16,10.98,51.21,3.97,43.33,
2015-01-09,15.03,10.52,45.6,3.13,40.39,
2015-01-10,16.76,11.15,55.19,4.05,40.64,
2015-01-11,17.49,14.65,57.88,4.22,45.96,
2015-01-12,21.85,15.71,54.66,4.22,43.46,
2015-01-13,22.9,12.73,62.95,5.15,57.0,
2015-01-14,19.43,15.74,48.09,4.7,55.0,
2015-01-15,15.92,12.97,79.73,5.06,38.22,
2015-01-16,22.36,12.51,70.6,3.47,30.9,
2015-01-17,21.64,12.93,80.18,4.3,40.76,
2015-01-18,18.79,9.26,75.83,4.72,35.37,
2015-01-19,19.44,9.43,55.67,4.22,33.72,
2015-01-20,22.66,11.76,37.68,4.22,33.66,
2015-01-21,18.26,8.54,33.02,4.22,30.87,
2015-01-22,29.6,8.85,34.88,3.72,33.65,
2015-01-23,12.0,10.49,29.46,3.3,36.51,
2015-01-24,9.73,14.62,25.49,3.8,25.97,
2015-01-25,8.72,14.56,28.29,3.05,24.02,
2015-01-26,8.43,14.43,29.48,4.05,17.06,
2015-01-27,15.67,13.41,34.63,3.61,23.16,
2015-01-28,11.58,14.9,35.57,3.13,24.15,
2015-01-29,49.95,13.2,48.89,2.21,25.05,
2015-01-30,51.53,15.56,44.45,2.21,40.18,
2015-01-31,30.07,14.26,57.77,3.96,35.25,
2015-02-01,13.01,12.53,93.17,4.3,43.1,
2015-02-02,13.06,20.87,39.34,3.13,29.4,
2015-02-03,12.44,17.92,34.1,4.14,23.71,
2015-02-04,15.19,16.97,36.06,3.13,90.03,
2015-02-05,20.48,16.44,47.4,4.47,72.01,
2015-02-06,16.42,17.47,84.76,4.04,54.55,
2015-02-07,18.41,16.99,71.68,5.15,29.14,
2015-02-08,16.75,17.84,61.78,4.22,20.62,
2015-02-09,13.7,19.17,44.48,4.22,20.91,
2015-02-10,13.54,16.15,48.01,4.22,16.73,
2015-02-11,20.81,17.39,64.04,4.22,25.015,
2015-02-12,18.0,16.47,58.19,4.14,33.3,
2015-02-13,23.38,14.83,55.13,6.06,41.1,
2015-02-14,21.19,15.28,107.76,4.46,41.38,
2015-02-15,15.19,16.57,75.98,4.05,41.66,
2015-02-16,19.88,15.2,49.67,4.22,86.7,
2015-02-17,24.11,11.95,42.76,4.22,97.37,
2015-02-18,23.51,10.13,104.31,4.22,36.02,
2015-02-19,24.33,10.55,47.8,4.47,25.18,
2015-02-20,18.26,13.11,40.32,5.14,22.71,
2015-02-21,14.07,14.85,57.91,3.61,27.36,
2015-02-22,17.26,12.7,32.15,4.22,70.71,
2015-02-23,16.93,13.57,42.71,4.22,59.95,
2015-02-24,24.25,14.09,60.78,4.22,36.38,
2015-02-25,24.83,16.94,34.14,4.72,29.59,
2015-02-26,22.64,15.59,26.65,6.24,27.78,
2015-02-27,18.07,12.99,31.46,6.24,25.31,
2015-02-28,11.15,11.08,25.3,5.4,17.7,
2015-03-01,10.91,11.91,19.55,4.39,14.84,
2015-03-02,14.59,12.26,20.48,6.16,45.92,
