Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Gurugram
2015-01-01,10.73,11.35,41.68,25.92,17.485,
2015-01-02,22.77,9.16,29.97,21.66,21.77,
2015-01-03,12.03,13.45,19.71,22.4,26.055,
2015-01-04,17.7,10.33,25.36,21.41,30.34,
2015-01-05,12.72,9.36,23.2,20.6,31.28,
2015-01-06,13.82,12.61,26.83,21.49,28.56,
2015-01-07,16.98,13.94,28.96,23.67,31.08,
2015-01-08,17.35,38.29,30.51,19.69,35.72,
2015-01-09,16.27,27.34,32.94,21.73,34.77,
2015-01-10,25.01,27.19,34.12,27.36,34.63,
2015-01-11,16.07,19.04,50.37,27.51,38.74,
2015-01-12,16.41,18.32,40.08,26.69,20.94,
2015-01-13,10.34,17.25,39.54,30.22,13.66,
2015-01-14,16.47,23.68,42.05,34.77,6.14,
2015-01-15,19.35,14.1,43.25,36.26,9.29,
2015-01-16,16.02,13.22,34.7,47.81,19.01,
2015-01-17,14.33,26.34,25.77,34.72,52.25,
2015-01-18,22.48,29.08,23.22,26.07,7.87,
2015-01-19,23.34,27.45,25.34,31.2,10.88,
2015-01-20,103.68,32.32,22.69,33.76,8.66,
2015-01-21,72.815,18.84,18.56,25.41,5.24,
2015-01-22,41.95,24.98,6.94,34.07,4.11,
2015-01-23,17.78,42.33,10.91,49.69,9.41,
2015-01-24,14.72,37.17,9.35,45.87,30.88,
2015-01-25,16.27,17.11,16.65,58.79,33.1,
2015-01-26,21.35,20.18,18.18,33.98,36.99,
2015-01-27,27.37,27.02,17.11,31.3,36.18,
2015-01-28,17.05,36.68,15.23,47.82,34.95,
2015-01-29,18.78,26.29,16.29,56.81,32.16,
2015-01-30,19.51,21.75,14.91,57.77,25.65,
2015-01-31,23.21,38.57,17.51,43.57,31.78,
2015-02-01,20.75,42.61,23.28,33.27,23.39,
2015-02-02,19.75,38.8,28.38,46.3,30.22,
2015-02-03,20.64,29.08,28.56,35.58,38.1,
2015-02-04,18.62,36.62,15.07,33.45,24.27,
2015-02-05,16.06,29.93,21.7,29.48,26.61,
2015-02-06,13.76,37.13,33.92,48.74,22.69,
2015-02-07,20.96,33.12,43.44,35.46,29.57,
2015-02-08,22.81,33.17,30.43,27.08,46.15,
2015-02-09,31.01,31.08,20.62,34.11,42.7,
2015-02-10,39.86,40.77,19.02,39.29,39.34,
2015-02-11,32.19,40.57,27.17,42.61,19.680000000000003,
2015-02-12,44.15,47.85,25.58,41.16,0.02,
2015-02-13,37.79,36.94,27.62,39.1,0.02,
2015-02-14,31.76,31.32,34.22,29.49,26.610000000000003,
2015-02-15,45.16,26.41,40.91,43.28,53.2,
2015-02-16,49.3,30.87,34.36,32.19,38.41,
2015-02-17,44.34,33.53,41.62,27.74,27.52,
2015-02-18,28.85,33.83,36.54,30.65,39.42,
2015-02-19,31.69,19.3,31.88,25.96,37.9,
2015-02-20,33.43,30.22,31.61,16.19,32.4,
2015-02-21,39.2,24.91,30.11,27.47,33.24,
2015-02-22,54.18,30.54,27.19,28.7,34.47,
2015-02-23,53.97,25.03,36.86,23.22,33.61,
2015-02-24,40.55,29.33,37.39,22.18,36.43,
2015-02-25,51.91,30.18,31.57,18.1,47.29,
2015-02-26,65.41,29.46,28.72,11.27,42.77,
2015-02-27,66.49,40.47,34.08,11.22,42.19,
2015-02-28,62.61,25.91,41.38,15.43,27.87,
2015-03-01,51.37,52.44,22.51,15.09,27.31,
2015-03-02,58.97,93.22,22.08,10.79,13.53,
2015-03-03,43.5,47.22,20.83,16.56,16.42,
2015-03-04,61.8,41.26,25.83,24.78,50.26,
2015-03-05,45.01,63.26,32.88,27.25,36.44,
2015-03-06,31.55,105.13,33.67,28.29,18.77,
2015-03-07,36.67,85.37,23.09,26.71,19.66,
2015-03-08,45.87,64.65,20.71,22.09,20.61,
2015-03-09,36.7,77.43,22.85,27.1,30.14,
2015-03-10,41.81,34.6,25.87,31.41,23.21,
2015-03-11,35.98,35.85,29.62,34.98,30.03,
2015-03-12,37.65,57.14,35.05,30.95,33.62,
2015-03-13,43.46,52.68,34.05,20.87,37.32,
2015-03-14,49.53,51.23,23.39,24.91,36.86,
2015-03-15,48.26,47.28,22.0,13.24,31.17,
2015-03-16,47.74,52.19,25.55,18.75,29.12,
2015-03-17,49.86,73.63,23.11,14.84,42.96,
2015-03-18,49.27,34.43,27.5,46.65,45.65,
2015-03-19,56.32,48.82,27.07,64.24,45.79,
2015-03-20,43.25,35.5,29.01,66.8,38.92,
2015-03-21,52.96,54.8,25.97,59.02,39.58,
2015-03-22,71.85,49.91,25.48,11.61,57.61,
2015-03-23,72.84,30.17,27.1,14.01,43.38,
2015-03-24,64.12,38.67,34.78,24.94,42.09,
2015-03-25,82.34,39.17,45.78,23.06,34.4,
2015-03-26,67.21,44.52,40.0,26.74,34.21,
2015-03-27,51.93,27.64,31.08,26.71,33.4,
2015-03-28,44.65,27.68,40.23,26.76,40.43,
2015-03-29,56.31,27.69,32.84,26.77,29.92,
2015-03-30,49.52,27.57,26.81,32.13,24.06,
2015-03-31,47.67,27.62,34.15,18.76,25.13,
2015-04-01,48.25,27.54,38.45,27.28,34.19,
2015-04-02,53.26,27.65,35.54,27.54,31.97,
2015-04-03,57.75,27.6,24.85,22.52,36.15,
2015-04-04,76.36,27.57,27.98,25.81,37.02,
2015-04-05,65.62,27.58,40.79,26.59,38.52,
2015-04-06,54.31,23.22,30.32,23.46,33.67,
2015-04-07,60.42,13.38,43.23,24.7,30.68,
2015-04-08,49.55,24.4,61.68,26.18,23.53,
2015-04-09,42.63,22.29,35.18,26.64,21.58,
2015-04-10,44.47,19.22,59.88,26.09,22.8,
2015-04-11,53.91,27.01,73.72,25.95,32.93,
2015-04-12,44.53,27.57,49.21,20.51,32.86,
2015-04-13,39.03,23.1,62.52,11.56,40.11,
2015-04-14,57.7,27.62,55.44,11.41,40.52,
2015-04-15,77.05,28.02,31.14,11.57,30.83,
2015-04-16,96.88,24.24,59.29,16.45,33.59,
2015-04-17,97.2,27.79,54.47,29.6,39.94,
2015-04-18,101.63,27.81,65.72,26.97,35.28,
2015-04-19,81.34,27.86,65.08,25.29,41.52,
2015-04-20,37.22,27.82,87.04,22.79,32.44,
2015-04-21,34.74,27.79,74.49,34.5,29.91,
2015-04-22,32.79,27.76,69.41,21.25,23.51,
2015-04-23,15.88,27.59,76.14,29.22,37.94,
2015-04-24,109.66,27.91,89.42,26.23,42.52,
2015-04-25,157.2,,93.54,19.56,51.44,
2015-04-26,123.32,,77.43,21.32,45.375,
2015-04-27,65.38,,70.74,25.28,39.31,
2015-04-28,57.59,,70.42,23.73,39.74,
2015-04-29,27.11,,61.86,25.91,38.94,
2015-04-30,51.81,,60.18,26.25,52.57,
2015-05-01,26.93,,53.16,16.26,38.94,
2015-05-02,16.83,,43.06,32.57,48.14,
2015-05-03,17.81,11.32,41.71,39.37,46.87,
2015-05-04,21.39,11.91,37.7,31.8,42.93,
2015-05-05,36.56,17.11,50.27,15.89,50.1,
2015-05-06,80.02,19.53,92.66,19.7,51.13,
2015-05-07,31.73,23.77,75.6,43.82,32.89,
2015-05-08,88.24,31.3,74.84,42.55,39.26,
2015-05-09,39.61,28.72,76.38,48.76,43.05,
2015-05-10,32.11,20.45,67.97,41.08,42.66,
2015-05-11,14.0,21.28,87.93,47.42,28.16,
2015-05-12,15.17,22.25,83.43,49.44,33.0,
2015-05-13,7.96,23.81,55.62,39.97,19.97,
2015-05-14,12.14,24.4,57.1,44.04,22.67,
2015-05-15,12.14,25.08,77.87,59.35,16.09,
2015-05-16,8.48,24.75,73.24,57.8,20.62,
