Date,Bengaluru,Delhi,Hyderabad
2015-01-01,,607.98,
2015-01-02,,269.55,
2015-01-03,,131.9,
2015-01-04,,241.84,
2015-01-05,,219.13,
2015-01-06,,252.1,
2015-01-07,,376.51,
2015-01-08,,360.95,
2015-01-09,,397.43,
2015-01-10,,361.74,
2015-01-11,,393.2,
2015-01-12,,345.63,
2015-01-13,,301.04,
2015-01-14,,227.38,
2015-01-15,,283.93,
2015-01-16,,309.99,
2015-01-17,,356.2,
2015-01-18,,359.75,
2015-01-19,,305.13,
2015-01-20,,257.04,
2015-01-21,,235.27,
2015-01-22,,183.89,
2015-01-23,,136.07,
2015-01-24,,200.02,
2015-01-25,,203.81,
2015-01-26,,137.86,
2015-01-27,,217.2,
2015-01-28,,156.9,
2015-01-29,,277.0,
2015-01-30,,272.61,
2015-01-31,,207.06,
2015-02-01,,371.05,
2015-02-02,,219.84,
2015-02-03,,194.09,
2015-02-04,,147.08,
2015-02-05,,127.42,
2015-02-06,,330.99,
2015-02-07,,210.52,
2015-02-08,,215.69,
2015-02-09,,109.86,
2015-02-10,,218.23,
2015-02-11,,316.14,
2015-02-12,,394.97,
2015-02-13,,328.43,
2015-02-14,,412.46,
2015-02-15,,497.37,
2015-02-16,,310.74,
2015-02-17,,195.78,
2015-02-18,,253.53,
2015-02-19,,193.78,
2015-02-20,,162.2,
2015-02-21,,191.03,
2015-02-22,,107.61,
2015-02-23,,157.01,
2015-02-24,,238.33,
2015-02-25,,169.57,
2015-02-26,,171.64,
2015-02-27,,163.67,
2015-02-28,,169.28,
2015-03-01,,98.89,
2015-03-02,,60.15,
2015-03-03,,112.1,
2015-03-04,,139.15,
2015-03-05,,196.19,
2015-03-06,,163.14,
2015-03-07,,90.54,
2015-03-08,,80.2,
2015-03-09,,117.38,
2015-03-10,,150.92,
2015-03-11,,176.2,
2015-03-12,,203.75,
2015-03-13,,173.89,
2015-03-14,,105.29,
2015-03-15,,46.68,
2015-03-16,,74.14,
2015-03-17,,104.33,
2015-03-18,,95.56,
2015-03-19,,136.67,
2015-03-20,,168.0,
2015-03-21,,172.91,
2015-03-22,,122.12,
2015-03-23,,131.42,
2015-03-24,,179.36,
2015-03-25,,201.08,
2015-03-26,,217.9,
2015-03-27,,117.81,
2015-03-28,,212.96,
2015-03-29,,202.01,
2015-03-30,,57.0,
2015-03-31,,78.64,
2015-04-01,,167.6,
2015-04-02,,112.78,
2015-04-03,,76.05,
2015-04-04,,86.11,
2015-04-05,,145.1,
2015-04-06,,195.47,
2015-04-07,,95.81,
2015-04-08,,120.2,
2015-04-09,,148.17,
2015-04-10,,203.67,
2015-04-11,,234.65,
2015-04-12,,91.73,
2015-04-13,,116.62,
2015-04-14,,132.68,
2015-04-15,,161.43,
2015-04-16,,164.56,
2015-04-17,,180.67,
2015-04-18,,268.65,
2015-04-19,,308.82,
2015-04-20,,336.63,
2015-04-21,,327.81,
2015-04-22,,279.41,
2015-04-23,,273.68,
2015-04-24,,313.53,
2015-04-25,,318.88,
2015-04-26,,160.3,
