Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad
2015-01-01,,,313.22,,
2015-01-02,,,186.18,,
2015-01-03,,,87.18,,
2015-01-04,,,151.84,,
2015-01-05,,,146.6,,
2015-01-06,,,149.58,,
2015-01-07,,,217.87,,
2015-01-08,,,229.9,,
2015-01-09,,,201.66,,
2015-01-10,,,221.02,,
2015-01-11,,,205.41,,
2015-01-12,,,212.41,,
2015-01-13,,,197.61,,
2015-01-14,,,164.39,,
2015-01-15,,,166.19,,
2015-01-16,,,174.98,,
2015-01-17,,,196.46,,
2015-01-18,,,201.51,,
2015-01-19,,,183.35,,
2015-01-20,,,165.63,,
2015-01-21,,,159.54,,
2015-01-22,,,143.68,,
2015-01-23,,,128.73,,
2015-01-24,,,164.98,,
2015-01-25,,,148.59,,
2015-01-26,,,129.34,,
2015-01-27,,,154.2,,
2015-01-28,,,134.6,,
2015-01-29,,,173.13,,
2015-01-30,,,178.04,,
2015-01-31,,,158.59,,
2015-02-01,,,211.59,,
2015-02-02,,,163.64,,
2015-02-03,,,157.71,,
2015-02-04,,,137.26,,
2015-02-05,,,131.76,,
2015-02-06,,,151.6,,
2015-02-07,,,160.75,,
2015-02-08,,,145.34,,
2015-02-09,,,134.67,,
2015-02-10,,,153.07,,
2015-02-11,,,116.91,,
2015-02-12,,,177.98,,
2015-02-13,,,167.01,,
2015-02-14,,,193.96,,
2015-02-15,,,184.06,,
2015-02-16,,,152.62,,
2015-02-17,,,161.27,,
2015-02-18,,,188.2,,
2015-02-19,,,159.97,,
2015-02-20,,,144.12,,
2015-02-21,,,155.38,,
2015-02-22,,,124.1,,
2015-02-23,,,141.39,,
2015-02-24,,,170.16,,
2015-02-25,,,148.19,,
2015-02-26,,,140.78,,
2015-02-27,,,130.42,,
2015-02-28,,,105.86,,
2015-03-01,,,71.83,,
2015-03-02,,,53.71,,
2015-03-03,,,83.49,,
2015-03-04,,,91.07,,
2015-03-05,,,106.57,,
2015-03-06,,,101.75,,
2015-03-07,,,77.57,,
2015-03-08,,,63.24,,
2015-03-09,,,76.62,,
2015-03-10,,,86.7,,
2015-03-11,,,104.29,,
2015-03-12,,,115.93,,
2015-03-13,,,108.66,,
2015-03-14,,,67.94,,
2015-03-15,,,38.89,,
2015-03-16,,,45.39,,
2015-03-17,,,55.55,,
2015-03-18,,,50.59,,
2015-03-19,,,69.51,,
2015-03-20,30.65,,96.62,742.67,
2015-03-21,48.59,,96.28,518.1,
2015-03-22,47.38,,72.2,674.43,
2015-03-23,65.65,173.51,78.47,41.71,
2015-03-24,60.47,149.04,91.87,63.06,
2015-03-25,62.56,205.65,107.26,50.6,
2015-03-26,60.73,140.21,109.78,55.31,
2015-03-27,42.1,266.29,62.27,60.99,
2015-03-28,40.0,88.65,102.22,58.69,
2015-03-29,32.16,81.34,104.36,56.07,
2015-03-30,30.78,144.46,44.19,53.07,
2015-03-31,38.99,51.69,55.66,40.51,47.03
2015-04-01,36.42,103.75,112.86,60.06,40.62
2015-04-02,38.15,106.27,78.51,59.78,43.1825
2015-04-03,35.11,42.82,66.52,75.52,45.745
2015-04-04,36.68,187.51,62.56,41.71,48.3075
2015-04-05,36.92,85.86,78.61,50.51,50.87
2015-04-06,31.78,83.19,119.7,37.74,83.0
2015-04-07,37.25,48.35,66.09,49.06,112.21
2015-04-08,29.8,73.66,95.34,36.35,38.67
2015-04-09,25.06,66.72,63.57,37.09,33.88
2015-04-10,24.4,80.79,96.56,48.37,30.88
2015-04-11,32.08,75.59,131.39,63.86,42.88
2015-04-12,19.72,75.82,75.35,54.17,26.38
2015-04-13,17.03,80.23,86.49,44.54,56.39
2015-04-14,19.73,87.48,77.07,45.94,158.32
2015-04-15,22.52,72.65,98.79,44.87,44.79
2015-04-16,21.36,90.72,81.81,47.12,30.21
2015-04-17,24.35,73.28,65.78,43.82,39.04
2015-04-18,18.33,73.33,119.82,44.13,76.0
2015-04-19,17.66,71.17,125.53,43.04,54.25
2015-04-20,27.46,78.58,121.51,36.72,41.38
2015-04-21,27.94,74.55,114.5,44.07,75.08
2015-04-22,23.81,73.8,101.83,32.86,39.71
2015-04-23,23.11,69.28,118.57,50.1,87.54
2015-04-24,15.12,70.45,143.22,44.39,39.38
2015-04-25,19.59,60.15,106.76,39.98,35.61
2015-04-26,69.85,57.57,65.36,44.83,38.195
2015-04-27,24.62,67.8,67.08,46.26,40.78
2015-04-28,32.92,70.85,81.37,42.06,46.62
2015-04-29,44.53,63.16,63.76,34.93,94.29
2015-04-30,26.68,55.47,60.56,46.02,53.79
2015-05-01,39.06,51.62,76.1,105.39,89.62
2015-05-02,50.83,85.26,72.66,49.21,49.38
2015-05-03,62.58,44.26,121.94,42.74,38.96
2015-05-04,45.26,28.97,108.98,44.41,45.0
2015-05-05,40.37,35.16,145.99,33.52,42.62
2015-05-06,43.21,44.1,171.33,29.95,43.29
2015-05-07,41.53,57.31,117.76,29.69,40.12
2015-05-08,27.85,54.28,90.66,28.56,56.88
2015-05-09,36.83,60.64,106.4,28.45,62.38
2015-05-10,40.81,53.69,101.21,32.08,54.08
2015-05-11,36.11,49.2,97.57,36.26,67.08
2015-05-12,28.76,82.63,96.34,29.07,40.88
2015-05-13,40.74,100.77,83.42,32.94,83.21
2015-05-14,23.77,120.24,78.06,33.4,40.58
2015-05-15,17.34,70.64,97.87,28.85,36.5
2015-05-16,30.45,91.69,77.52,36.88,41.67
2015-05-17,15.8,79.98,97.16,36.01,32.75
2015-05-18,20.12,87.7,66.85,34.55,42.96
2015-05-19,25.27,83.47,89.85,34.76,60.79
2015-05-20,26.7,97.96,67.41,32.51,53.67
2015-05-21,27.84,97.74,75.54,42.98,68.96
2015-05-22,29.52,85.55,67.91,34.6,66.38
2015-05-23,27.97,90.87,69.02,46.62,43.29
2015-05-24,28.17,78.25,79.1,39.74,44.79
2015-05-25,27.71,125.51,117.27,45.86,41.21
2015-05-26,28.01,113.78,96.09,39.79,54.12
2015-05-27,31.7,119.68,84.71,39.79,60.5
2015-05-28,48.08,105.59,182.76,40.78,45.38
2015-05-29,30.77,100.5,106.61,56.01,49.54
2015-05-30,26.15,102.97,92.68,41.14,48.12
2015-05-31,40.71,127.46,73.62,25.56,53.42
2015-06-01,23.69,129.49,49.42,23.1,237.79
2015-06-02,23.95,100.13,52.51,44.99,539.13
2015-06-03,21.51,108.88,65.28,71.26,49.54
2015-06-04,25.56,111.48,85.45,61.85,50.58
2015-06-05,22.41,73.81,83.02,77.49,43.62
2015-06-06,16.02,60.15,44.54,76.8,83.88
2015-06-07,12.69,61.59,85.03,70.64,43.12
2015-06-08,13.29,64.94,137.7,78.15,30.71
2015-06-09,12.11,61.26,136.05,53.52,25.79
2015-06-10,13.66,58.49,63.77,52.4,25.58
2015-06-11,14.56,58.84,115.57,53.19,26.0
2015-06-12,14.76,60.75,83.29,47.72,24.88
2015-06-13,12.29,58.12,73.7,52.73,29.33
2015-06-14,11.72,58.33,74.56,42.28,87.21
2015-06-15,15.7,59.87,106.11,97.19,25.07
2015-06-16,22.94,49.91,132.21,95.8,31.0
2015-06-17,19.54,53.53,123.56,32.33,26.38
2015-06-18,22.68,45.43,132.21,34.61,23.83
2015-06-19,21.86,54.86,110.65,37.29,26.92
2015-06-20,18.74,56.25,80.31,123.5,26.82
2015-06-21,18.81,57.87,59.73,38.13,23.67
2015-06-22,15.11,72.61,85.4,64.33,66.78
2015-06-23,17.47,68.28,101.99,71.33,14.75
2015-06-24,15.92,58.07,126.07,35.56,467.67
2015-06-25,13.58,67.93,37.59,37.82,22.75
2015-06-26,14.52,69.03,76.0,35.19,33.29
2015-06-27,27.25,76.57,69.46,19.15,39.62
2015-06-28,20.99,77.2,79.84,18.09,35.88
2015-06-29,22.26,76.18,48.5,17.86,45.88
2015-06-30,23.51,77.16,53.79,17.81,35.54
2015-07-01,19.76,83.72,57.99,19.69,26.29
2015-07-02,20.24,68.41,67.12,23.32,29.67
2015-07-03,17.28,73.86,65.25,18.64,37.0
2015-07-04,21.52,70.58,88.75,19.77,34.92
2015-07-05,19.43,70.61,135.92,21.85,29.54
2015-07-06,19.27,71.19,60.27,27.82,27.42
2015-07-07,23.27,69.56,52.2,18.85,31.38
2015-07-08,18.63,68.72,67.92,18.47,26.5
2015-07-09,14.52,67.95,65.95,20.98,24.42
2015-07-10,12.84,59.59,47.68,21.6,24.97
2015-07-11,19.08,62.54,29.08,29.6,24.71
2015-07-12,23.45,61.7,32.29,32.43,32.54
2015-07-13,25.62,65.54,36.68,35.26,32.46
2015-07-14,27.03,53.35,44.48,37.85,36.08
2015-07-15,24.09,59.2,63.79,34.86,30.78
2015-07-16,23.17,57.02,77.2,24.42,31.94
2015-07-17,26.84,53.75,77.99,23.99,23.75
2015-07-18,19.24,48.36,71.11,24.5,23.04
2015-07-19,14.46,40.7,67.39,25.45,24.17
2015-07-20,14.3,36.72,49.58,25.49,25.12
2015-07-21,19.29,42.94,40.97,24.02,25.77
2015-07-22,21.39,47.23,38.97,30.2,24.78
2015-07-23,45.86,81.77,34.02,62.19,22.92
2015-07-24,18.38,83.64,46.13,52.39,20.52
2015-07-25,24.44,53.69,46.01,49.34,20.58
2015-07-26,25.14,47.88,29.81,35.5,24.08
2015-07-27,13.85,57.59,22.82,44.01,22.61
