Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna
2015-01-01,3.54,9.2,9.25,169.57,5.1975,
2015-01-02,3.97,8.61,6.65,169.46,4.324999999999999,
2015-01-03,13.61,48.23,2.65,169.77,3.4524999999999992,
2015-01-04,6.52,27.96,4.63,169.56,2.58,
2015-01-05,4.71,16.6,3.33,169.48,5.19,
2015-01-06,4.42,21.98,3.66,178.63,9.09,
2015-01-07,5.13,28.13,5.82,169.0,9.03,
2015-01-08,7.07,21.26,3.31,169.0,8.47,
2015-01-09,12.84,22.82,3.48,182.39,8.92,
2015-01-10,3.08,17.36,5.91,174.58,9.59,
2015-01-11,8.2,21.75,5.54,178.93,12.53,
2015-01-12,7.16,28.51,5.17,176.44,8.58,
2015-01-13,6.51,16.44,5.95,187.02,3.01,
2015-01-14,8.66,20.32,4.85,42.93,1.77,
2015-01-15,6.24,21.92,6.94,57.91,2.23,
2015-01-16,19.28,13.18,4.69,72.89,2.82,
2015-01-17,24.91,10.44,5.13,87.87,2.65,
2015-01-18,22.18,11.33,5.43,98.648,2.55,
2015-01-19,27.99,9.72,4.21,109.426,2.86,
2015-01-20,92.66,8.52,4.11,120.20399999999998,2.63,
2015-01-21,82.07,9.28,7.05,130.98199999999997,2.71,
2015-01-22,57.51,7.64,8.64,141.76,3.02,
2015-01-23,27.33,10.57,6.77,,3.37,
2015-01-24,6.47,7.39,8.89,,2.66,
2015-01-25,3.32,7.16,5.96,,2.71,
2015-01-26,2.95,7.38,6.78,,2.69,
2015-01-27,3.09,7.14,6.42,,2.84,
2015-01-28,6.53,8.06,5.21,,2.71,
2015-01-29,3.03,8.46,5.53,,3.19,
2015-01-30,24.31,9.46,6.43,,3.34,
2015-01-31,29.18,7.88,5.03,,5.55,
2015-02-01,7.36,7.76,9.9,70.12,5.06,
2015-02-02,6.14,10.58,5.31,,3.04,
2015-02-03,5.02,6.83,5.64,,3.65,
2015-02-04,4.46,4.89,5.06,,4.64,
2015-02-05,7.65,7.48,4.85,,5.58,
2015-02-06,3.12,7.36,9.13,,4.75,
2015-02-07,5.51,6.42,6.91,,3.97,
2015-02-08,7.25,6.21,8.66,,3.55,
2015-02-09,3.37,6.27,9.7,,3.67,
2015-02-10,1.04,6.64,5.81,132.63,3.38,
2015-02-11,1.64,6.87,7.54,179.18,2.525,
2015-02-12,12.98,6.79,9.2,103.59,1.67,
2015-02-13,7.56,7.21,7.77,180.85,2.32,
2015-02-14,5.18,7.84,9.36,170.04,4.42,
2015-02-15,4.82,7.58,9.13,159.23,6.52,
2015-02-16,3.84,7.38,6.79,106.44,10.51,
2015-02-17,13.39,8.35,5.6,82.53,10.94,
2015-02-18,17.62,9.15,8.65,58.62,6.74,
2015-02-19,11.15,9.42,5.08,113.63,7.38,
2015-02-20,12.52,11.51,5.93,,4.12,
2015-02-21,14.25,7.04,12.24,,4.87,
2015-02-22,13.11,6.31,5.68,,9.0,
2015-02-23,11.93,6.13,9.43,,6.5,
2015-02-24,5.76,7.34,9.28,,5.23,
2015-02-25,6.5,8.67,5.94,,4.03,
2015-02-26,7.13,6.31,6.98,,3.61,
2015-02-27,4.0,7.77,12.12,,4.73,
2015-02-28,2.82,6.09,12.48,,5.35,
2015-03-01,6.93,5.8,10.99,124.96,4.25,
2015-03-02,6.72,5.29,3.21,,3.22,
2015-03-03,8.6,8.15,5.07,,3.09,
2015-03-04,5.99,6.77,4.68,,7.88,
2015-03-05,8.79,7.59,5.97,,5.0,
2015-03-06,16.03,10.07,5.96,,3.4,
2015-03-07,12.69,8.04,5.18,,3.45,
2015-03-08,11.89,5.5,3.98,167.19,3.04,
2015-03-09,11.47,5.29,4.2,94.01,7.71,
2015-03-10,3.17,4.61,3.84,20.83,5.27,
2015-03-11,2.86,5.03,6.3,11.61,4.64,
2015-03-12,1.67,5.22,7.03,11.68,4.63,
2015-03-13,7.84,8.43,10.65,14.02,3.99,
2015-03-14,19.64,7.79,10.14,13.47,3.78,
2015-03-15,16.57,5.58,4.25,9.43,2.82,
2015-03-16,30.13,5.63,8.8,9.6,3.6,
2015-03-17,11.89,10.75,7.19,11.79,6.11,
2015-03-18,3.76,10.87,3.6,9.74,5.43,
2015-03-19,47.19,12.45,4.97,10.15,5.53,
2015-03-20,2.76,10.7,6.66,10.73,5.4,
2015-03-21,1.94,13.96,7.31,10.99,6.77,
2015-03-22,2.05,8.66,4.4,11.33,7.84,
2015-03-23,6.3,8.86,4.07,10.59,11.44,
2015-03-24,6.07,14.04,7.35,13.25,13.97,
2015-03-25,4.98,10.16,11.82,14.75,7.92,
2015-03-26,1.67,11.94,9.3,13.48,4.84,
2015-03-27,2.46,25.45,10.91,11.27,3.13,
2015-03-28,2.5,11.76,17.16,11.94,8.71,
2015-03-29,2.08,5.59,16.92,13.86,7.47,
