Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna
2015-01-01,4.64,,24.86,3.93,13.920000000000002,
2015-01-02,5.31,,20.09,5.74,11.330000000000002,
2015-01-03,19.25,,10.23,4.76,8.740000000000002,
2015-01-04,7.47,,9.71,4.77,6.15,
2015-01-05,4.36,,6.21,4.78,7.22,
2015-01-06,4.11,,7.35,4.6,5.14,
2015-01-07,8.65,,9.42,3.82,16.35,
2015-01-08,8.6,3.54,11.4,5.38,14.27,
2015-01-09,8.44,14.68,11.12,4.78,12.47,
2015-01-10,13.41,11.25,9.44,4.98,14.06,
2015-01-11,27.67,7.82,10.59,4.78,10.4,
2015-01-12,41.87,4.390000000000001,10.68,4.78,15.16,
2015-01-13,14.6,0.96,9.5,2.62,17.65,
2015-01-14,8.7,,10.72,4.77,24.04,
2015-01-15,15.67,,20.55,2.79,9.19,
2015-01-16,36.72,,15.83,5.74,7.13,
2015-01-17,21.54,,17.59,4.54,15.21,
2015-01-18,20.05,,20.95,4.17,14.27,
2015-01-19,14.85,,12.93,4.76,9.77,
2015-01-20,9.93,,6.76,4.57,6.7,
2015-01-21,24.59,,8.26,3.87,4.51,
2015-01-22,39.25,,9.54,4.72,4.3,
2015-01-23,14.52,,7.64,5.35,6.23,
2015-01-24,8.48,,5.5,4.42,5.12,
2015-01-25,7.37,,6.98,5.73,3.48,
2015-01-26,9.1,,5.87,4.0,2.22,
2015-01-27,5.15,,6.31,4.86,2.81,
2015-01-28,9.43,8.98,6.86,5.75,3.43,
2015-01-29,5.42,2.86,9.84,7.29,4.61,
2015-01-30,3.54,5.02,6.61,7.21,6.29,
2015-01-31,2.92,7.18,8.98,4.17,7.09,
2015-02-01,2.2,11.39,15.45,3.59,7.44,
2015-02-02,3.76,13.02,4.69,5.61,4.34,
2015-02-03,3.41,12.25,4.24,3.79,4.02,
2015-02-04,3.43,11.48,6.31,5.57,10.52,
2015-02-05,16.08,7.780000000000001,10.17,3.08,10.96,
2015-02-06,13.55,4.080000000000002,19.7,4.04,7.82,
2015-02-07,3.94,0.38,14.95,4.02,4.46,
2015-02-08,4.67,10.02,6.5,3.87,2.94,
2015-02-09,11.86,,3.17,3.87,3.25,
2015-02-10,1.68,,7.1,3.77,2.81,
2015-02-11,2.44,,5.59,3.82,2.085,
2015-02-12,2.86,,7.38,4.01,1.36,
2015-02-13,2.97,,7.69,2.59,0.76,
2015-02-14,3.45,,17.88,3.88,5.425,
2015-02-15,1.74,,8.98,4.03,10.09,
2015-02-16,16.04,,5.37,3.78,29.81,
2015-02-17,29.45,,5.62,3.76,27.77,
2015-02-18,42.4,,16.27,3.8,8.79,
2015-02-19,36.1,,6.12,3.37,4.28,
