Date,BR007,DL002,DL019,DL021,DL028,DL033,KA003,MH005,TG005,TN004,UP012,UP014
2015-01-01,,,,16.12,,17.76,0.56,0.0,0.4549999999999999,0.17,0.02,3.24
2015-01-02,,,,11.01,,16.62,0.65,0.0,0.4399999999999999,0.13,0.02,3.24
2015-01-03,,,,4.39,,5.48,0.53,0.0,0.4249999999999999,0.03,0.42,3.24
2015-01-04,,,,4.2,,5.45,0.55,0.0,0.41,0.2099999999999999,1.31,3.24
2015-01-05,,,,2.23,,3.4,0.4,0.0,0.39,0.3899999999999999,1.74,3.24
2015-01-06,,,,2.71,,4.84,22.68,0.0,0.52,0.57,2.64,3.24
2015-01-07,,,,4.14,,5.82,34.66,0.0,1.92,0.2,2.7,3.24
2015-01-08,,,,3.53,,9.36,31.0,0.0,1.89,0.15,2.72,3.24
2015-01-09,,,,3.23,,7.6,30.51,0.0,0.77,0.17,1.8,3.24
2015-01-10,,,,2.68,,5.55,36.42,0.0,1.14,0.04,1.8,3.24
2015-01-11,,,,4.24,,6.91,44.91,0.0,1.02,0.39,1.74,3.24
2015-01-12,,,,5.8,,8.32,38.04,0.0,0.92,0.1,1.79,3.24
2015-01-13,,,,4.62,,7.03,39.44,0.0,2.05,0.78,1.78,3.24
2015-01-14,,,,4.41,,7.01,27.38,0.0,1.45,2.67,1.3,3.24
2015-01-15,,,,6.85,,11.19,25.84,0.0,1.1,0.24,0.98,3.24
2015-01-16,,,,7.85,,11.94,25.14,0.0,0.95,0.14,0.97,3.24
2015-01-17,,,,10.7,,15.92,24.29,0.0,1.42,0.03,0.92,3.22
2015-01-18,,,,9.2,,14.04,23.23,0.0,1.01,0.09,0.91,3.24
2015-01-19,,,,6.3,,7.05,21.14,0.0,0.76,0.31,1.05,3.24
2015-01-20,,,,2.55,,4.63,36.25,0.0,0.6,0.05,1.08,3.2
2015-01-21,,,,2.84,,6.92,29.805,0.0,0.55,,2.19,3.33
2015-01-22,,,,3.18,,6.69,23.36,0.0,0.74,,1.79,3.24
2015-01-23,,,,2.05,,3.17,22.15,0.0,0.82,,1.5,3.16
2015-01-24,,,,1.73,,3.31,19.86,0.0,0.65,,1.44,3.14
2015-01-25,,,,1.5,,4.67,19.21,0.0,0.41,,1.58,3.11
2015-01-26,,,,1.8,,3.66,18.29,0.0,0.27,,1.76,3.16
2015-01-27,,,,2.1,,3.98,17.69,0.0,0.33,,1.68,3.22
2015-01-28,,,,2.31,,5.05,21.78,0.0,0.37,,1.5,3.21
2015-01-29,,,,3.57,,5.29,17.3,0.0,0.58,,1.663333333333333,3.14
2015-01-30,,,,3.33,,6.18,14.55,0.0,0.77,,1.8266666666666669,3.1
2015-01-31,,,,5.6,,6.07,17.23,0.0,0.89,,1.99,3.16
2015-02-01,,,,8.31,,8.48,12.01,0.0,0.83,,1.94,3.2
2015-02-02,,,,2.45,,2.47,14.08,0.0,0.39,,1.62,3.13
2015-02-03,,,,1.78,,3.55,16.08,0.0,0.51,,1.54,3.11
2015-02-04,,,,2.11,,4.2,14.9,0.0,1.27,,1.71,3.09
2015-02-05,,,,3.85,,7.92,6.53,0.0,1.2,,1.98,3.15
2015-02-06,,,,7.71,,7.63,19.99,0.0,0.89,,1.75,3.17
2015-02-07,,,,4.84,,5.01,17.83,0.0,0.59,,2.49,3.32
2015-02-08,,,,3.77,,4.68,18.69,0.0,0.43,,1.99,3.33
2015-02-09,,,,2.7,,4.53,0.9,0.0,0.39,,1.77,3.33
2015-02-10,,,,2.83,,1.14,0.75,0.0,0.38,,1.71,3.23
2015-02-11,,,,4.9,,3.19,0.6,0.0,0.35,,1.96,3.28
2015-02-12,,,,4.81,,4.52,0.6,0.0,0.32,,1.92,3.32
2015-02-13,,,,5.22,,4.72,0.49,0.0,0.25,,1.52,3.18
2015-02-14,,,,15.55,,10.36,0.51,0.0,0.67,,1.99,3.34
2015-02-15,,,,8.06,,5.19,0.44,0.0,1.09,,1.58,3.19
2015-02-16,,,,5.13,,3.14,23.44,0.0,1.8,,1.78,3.25
2015-02-17,,,,5.39,,3.27,46.44,0.0,2.49,,1.7,3.23
2015-02-18,,,,14.35,,10.18,40.42,0.0,0.81,,1.84,3.27
2015-02-19,,,,4.5,,4.03,69.69,0.0,0.36,,2.09,3.3
2015-02-20,,,,3.84,,2.84,69.54,0.0,0.34,,2.07,3.22
2015-02-21,,,,5.54,,5.07,,0.0,0.42,,2.25,3.22
2015-02-22,,,,2.1,,1.8,,0.0,1.34,,2.1,3.19
2015-02-23,,,,2.47,,3.2,,0.0,1.34,,2.54,3.25
2015-02-24,,,,2.84,,6.28,,0.0,0.64,,2.39,3.28
2015-02-25,,,,3.09,,2.41,,0.0,0.45,,2.5,3.17
2015-02-26,,,,2.33,,2.37,,0.0,0.63,,1.79,3.13
2015-02-27,,,,2.72,,2.98,,0.0,0.56,,2.22,3.09
2015-02-28,,,,2.36,,3.05,,0.0,0.49,,1.99,3.05
2015-03-01,,,,1.92,,1.57,,0.0,0.88,,1.62,3.01
2015-03-02,,,,1.32,,1.19,,0.0,0.94,,1.57,3.02
2015-03-03,,,,2.53,,3.16,,0.0,0.58,,1.58,3.02
2015-03-04,,,,1.88,,2.51,,0.0,0.92,,1.75,3.07
2015-03-05,,,,4.32,,4.99,,0.0,0.62,,1.86,3.07
