Date,DL002,DL031,KA009
2015-01-01,,,20.36
2015-01-02,,,23.74
2015-01-03,,,4.32
2015-01-04,,,0.87
2015-01-05,,,31.38
2015-01-06,,,26.35
2015-01-07,,,22.73
2015-01-08,,,38.67
2015-01-09,,,23.48
2015-01-10,,,34.17
2015-01-11,,,29.74
2015-01-12,,,41.39
2015-01-13,,,35.34
2015-01-14,,,39.82
2015-01-15,,,21.43
2015-01-16,,,10.27
2015-01-17,,,11.05
2015-01-18,,,14.23
2015-01-19,,,13.47
2015-01-20,,,7.29
2015-01-21,,,5.07
2015-01-22,,,3.65
2015-01-23,,,10.06
2015-01-24,,,14.88
2015-01-25,,,15.42
2015-01-26,,,16.63
2015-01-27,,,18.57
2015-01-28,,,16.15
2015-01-29,,,16.4
2015-01-30,,,13.32
2015-01-31,,,7.77
2015-02-01,,,7.48
2015-02-02,,,11.33
2015-02-03,,,11.78
2015-02-04,,,11.88
2015-02-05,,,11.11
2015-02-06,,,11.71
2015-02-07,,,12.88
2015-02-08,,,8.84
2015-02-09,,,13.61
2015-02-10,,,13.04
2015-02-11,,,12.44
2015-02-12,,,26.22
2015-02-13,,,19.31
2015-02-14,,,17.14
2015-02-15,,,11.14
2015-02-16,,,10.67
2015-02-17,,,4.66
2015-02-18,,,6.34
2015-02-19,,,19.81
2015-02-20,,,31.1
2015-02-21,,,12.5
2015-02-22,,,13.56
2015-02-23,,,15.44
2015-02-24,,,17.21
2015-02-25,,,21.85
2015-02-26,,,17.22
2015-02-27,,,20.09
2015-02-28,,,17.43
2015-03-01,,,15.23
2015-03-02,,,33.23
2015-03-03,,,30.4
2015-03-04,,,12.44
2015-03-05,,,6.9
2015-03-06,,,6.3
2015-03-07,,,6.46
2015-03-08,,,11.83
2015-03-09,,,23.32
2015-03-10,,,21.54
2015-03-11,,,30.29
2015-03-12,,,23.55
2015-03-13,,,13.57
2015-03-14,,,1.12
2015-03-15,,,3.79
2015-03-16,,,4.81
2015-03-17,,,21.65
2015-03-18,,,20.82
2015-03-19,,,29.11
2015-03-20,,,27.2
2015-03-21,,,28.02
2015-03-22,,,23.19
2015-03-23,,,27.76
2015-03-24,,,35.1
2015-03-25,,,27.13
2015-03-26,,,34.71
2015-03-27,,,30.96
2015-03-28,,,28.74
2015-03-29,,,21.5
2015-03-30,,,26.96
2015-03-31,,,27.52
2015-04-01,,,31.37
2015-04-02,,,43.09
2015-04-03,,,26.04
2015-04-04,25.72,27.03,40.71
2015-04-05,31.85,30.27,26.22
2015-04-06,28.5875,27.01,22.34
2015-04-07,25.325000000000003,23.75,17.78
2015-04-08,22.062500000000004,20.49,24.2
2015-04-09,18.8,17.23,29.83
2015-04-10,21.82,25.64,23.17
2015-04-11,33.35,29.66,30.95
2015-04-12,34.84,33.14,34.85
2015-04-13,40.04,36.01,34.3
2015-04-14,31.6,30.19,27.48
2015-04-15,32.78,30.83,15.15
2015-04-16,29.86,24.92,16.61
2015-04-17,21.39,26.43,38.54
2015-04-18,20.28,25.08,21.02
2015-04-19,35.76,27.99,21.93
2015-04-20,34.46,28.1,24.78
2015-04-21,31.23,24.72,17.34
2015-04-22,17.64,17.95,5.42
2015-04-23,36.36,21.3,18.77
2015-04-24,45.26,27.81,35.77
2015-04-25,48.62,32.14,17.93
2015-04-26,28.66,31.03,15.8
2015-04-27,27.91,29.93,13.92
2015-04-28,21.55,26.25,11.62
2015-04-29,19.08,28.54,11.4
2015-04-30,22.09,29.83,10.15
2015-05-01,19.0,27.0,6.09
2015-05-02,21.44,28.77,21.03
2015-05-03,27.97,34.96,14.62
2015-05-04,29.35,35.65,18.09
2015-05-05,41.2,36.83,5.94
2015-05-06,38.05,28.63,10.23
2015-05-07,30.86,22.22,15.4
2015-05-08,25.08,19.23,14.93
2015-05-09,30.16,17.15,17.12
2015-05-10,31.67,5.5,14.21
2015-05-11,36.55,11.92,15.84
2015-05-12,35.54,32.68,15.13
2015-05-13,33.26,16.84,14.66
2015-05-14,37.6,1.0,14.28
2015-05-15,35.4,10.11,18.55
2015-05-16,1.0,20.78,24.08
2015-05-17,1.0,28.79,14.2
2015-05-18,7.93,31.24,13.27
2015-05-19,14.86,39.1,17.26
2015-05-20,42.23,38.91,15.5
2015-05-21,50.99,33.17,13.64
2015-05-22,28.77,7.69,12.62
2015-05-23,29.86,11.86,11.58
2015-05-24,28.05,17.06,5.01
2015-05-25,39.04,17.64,3.25
2015-05-26,30.78,11.0,0.28
2015-05-27,18.9,8.6,2.77
2015-05-28,40.78,16.71,4.91
2015-05-29,44.54,19.6,4.88
2015-05-30,48.06,16.06,5.61
