Date,DL002,DL021,DL031,DL033,KA003,KA009,TN001,UP012,UP014
2015-01-01,,150.68,,97.55,4.01,2.51,8.81,1.59,2.87
2015-01-02,,108.46,,88.41,9.21,2.9,8.71,1.61,2.87
2015-01-03,,55.6,,24.56,11.22,17.45,8.9,1.67,2.87
2015-01-04,,48.82,,15.43,6.73,16.27,8.69,1.62,2.87
2015-01-05,,13.0,,6.75,13.51,5.54,8.74,1.76,2.87
2015-01-06,,18.4,,14.12,10.27,2.93,8.92,1.86,2.87
2015-01-07,,42.81,,20.97,22.31,2.89,8.76,2.09,3.61
2015-01-08,,33.02,,18.34,9.15,4.05,11.01,3.71,4.57
2015-01-09,,25.25,,15.11,10.27,3.22,10.28,3.33,4.55
2015-01-10,,15.29,,24.73,4.15,2.82,8.87,3.39,4.56
2015-01-11,,23.825,,31.96,5.03,2.91,8.78,3.24,3.82
2015-01-12,,32.36,,22.19,11.6,10.49,8.65,3.37,2.81
2015-01-13,,41.26,,33.76,14.93,6.53,8.78,3.21,3.99
2015-01-14,,37.27,,14.49,11.34,7.34,8.8,2.52,3.31
2015-01-15,,91.11,,72.39,7.06,6.67,8.78,1.92,3.98
2015-01-16,,104.1,,,8.83,12.65,8.67,2.27,1.51
2015-01-17,,87.07,,,8.15,9.15,12.5,2.14,2.4
2015-01-18,,81.87,,,2.58,9.75,12.68,2.04,1.98
2015-01-19,,53.37,,,6.68,9.18,12.44,4.57,2.19
2015-01-20,,13.39,,,24.786666666666665,10.44,12.87,3.88,4.25
2015-01-21,,12.95,,12.23,42.89333333333333,7.02,13.43,11.8,21.82
2015-01-22,,20.05,,17.53,61.0,15.95,12.99,7.53,14.51
2015-01-23,,12.37,,12.75,4.35,3.46,11.56,5.35,5.85
2015-01-24,,11.21,,8.61,6.59,2.9,8.98,4.42,4.52
2015-01-25,,9.8,,10.4,3.7,2.68,9.02,4.86,3.61
2015-01-26,,9.985,,8.94,2.01,2.52,8.96,6.47,6.58
2015-01-27,,10.17,,10.48,19.1,2.75,9.09,5.65,6.31
2015-01-28,,16.21,,10.7,9.78,2.84,9.01,4.35,2.63
2015-01-29,,30.96,,17.35,149.14,3.05,8.92,6.02,2.42
2015-01-30,,25.34,,12.35,100.99,5.28,8.85,7.689999999999999,2.36
2015-01-31,,57.44,,43.1,69.39,3.09,8.97,9.36,4.35
2015-02-01,,98.13,,67.38,3.03,2.5,8.69,8.74,5.85
2015-02-02,,9.13,,5.27,8.05,2.66,15.23,5.06,2.47
2015-02-03,,8.98,,4.56,5.9,3.03,8.94,4.5,3.01
2015-02-04,,14.58,,8.03,8.33,2.89,8.64,6.25,4.2
2015-02-05,,38.03,,17.83,14.4,2.7,8.92,3.88,3.36
2015-02-06,,53.03,,50.69,5.88,3.03,8.82,8.905,3.22
2015-02-07,,43.44,,23.67,17.47,3.77,8.99,13.93,7.56
2015-02-08,,29.565,,27.89,11.23,2.84,8.72,8.75,5.7
2015-02-09,,15.69,,12.29,4.09,2.84,8.87,6.36,5.02
2015-02-10,,16.37,,21.85,6.54,3.08,8.83,5.99,2.56
2015-02-11,,44.15,,36.26,11.53,3.51,8.88,8.41,4.41
2015-02-12,,37.47,,39.82,12.89,12.5,8.92,7.57,5.01
2015-02-13,,27.31,,47.38,28.04,5.81,9.05,4.48,2.05
2015-02-14,,131.81,,140.01,20.02,2.57,9.72,7.98,4.57
2015-02-15,,75.72,,50.8,7.36,2.06,9.64,4.67,2.13
2015-02-16,,28.14,,24.36,13.94,7.36,9.26,6.08,2.46
2015-02-17,,41.42,,24.65,20.56,11.33,12.27,5.5,2.61
2015-02-18,,125.72,,124.72,27.74,11.33,14.94,5.44,3.32
2015-02-19,,26.6,,34.04,17.85,11.07,13.96,5.42,3.02
2015-02-20,,16.84,,15.22,11.6,8.4,10.51,5.12,2.23
2015-02-21,,54.74,,55.34,6.68,2.86,8.49,7.46,3.28
2015-02-22,,12.82,,9.94,5.79,10.27,7.77,6.19,2.33
2015-02-23,,14.175,,22.56,5.33,9.44,7.3,8.3,2.55
2015-02-24,,15.53,,66.43,23.41,3.58,7.53,7.74,4.88
2015-02-25,,14.93,,8.12,21.94,5.81,9.33,8.43,4.32
2015-02-26,,11.3,,11.95,16.21,3.18,7.3,4.59,3.966666666666667
2015-02-27,,18.34,,17.2,8.65,4.74,6.97,7.11,3.613333333333333
2015-02-28,,5.54,,14.28,2.17,3.71,7.68,9.87,3.26
2015-03-01,,7.32,,6.67,2.34,2.75,7.84,11.73,3.24
2015-03-02,,5.08,,6.27,2.98,8.93,9.38,11.36,2.89
2015-03-03,,16.87,,26.98,5.42,10.82,9.08,11.62,4.26
2015-03-04,,11.25,,17.04,3.5,6.9,8.42,13.48,5.29
2015-03-05,,33.66,,48.33,11.53,11.53,11.55,14.77,5.3
2015-03-06,,24.78,,34.04,4.26,7.62,11.2,12.81,5.3
2015-03-07,,10.7,,15.92,5.13,9.02,11.12,21.43,5.24
2015-03-08,,14.24,,15.58,3.33,7.14,10.75,16.11,5.05
2015-03-09,,7.86,,7.28,7.17,6.53,10.81,12.96,3.99
2015-03-10,,9.35,,10.2,6.87,3.04,8.78,12.86,2.48
2015-03-11,,19.63,,13.62,13.14,4.04,6.41,13.14,2.47
2015-03-12,,21.6,,34.56,7.34,3.42,6.52,13.73,2.38
2015-03-13,,20.61,,27.62,5.45,10.75,15.9,13.28,3.0
2015-03-14,,16.92,,19.81,5.1,19.78,12.52,12.81,2.99
2015-03-15,,5.91,,4.53,2.86,15.3,7.62,11.78,2.81
2015-03-16,,16.02,,7.25,4.85,19.9,7.2,21.96,3.59
2015-03-17,,13.75,,13.36,9.9,18.0,20.71,17.28,3.17
2015-03-18,,7.92,,6.45,57.9,22.81,17.97,11.68,2.39
2015-03-19,,25.23,,13.2,,17.05,16.79,12.32,2.35
2015-03-20,,23.15,,31.86,,3.36,17.49,13.96,2.32
2015-03-21,,29.59,,34.2,,3.47,20.68,14.61,2.33
2015-03-22,,6.54,,5.08,,2.84,14.85,12.22,2.31
2015-03-23,,13.68,,10.14,,3.1,14.41,12.8,2.27
2015-03-24,,14.06,,51.63,,5.39,19.12,19.65,2.24
2015-03-25,,28.95,,38.86,,3.16,12.77,32.66,2.56
2015-03-26,,40.95,,44.3,,4.16,6.24,34.29,2.51
2015-03-27,,11.87,,8.25,5.02,3.67,6.15,13.89,2.27
2015-03-28,,52.09,,54.98,2.28,3.46,6.09,25.51,2.42
2015-03-29,,38.16,,42.56,1.08,3.06,6.05,14.63,2.32
2015-03-30,,5.63,,2.98,1.3,3.36,6.38,11.88,2.22
2015-03-31,,10.03,,7.9,1.0,3.58,6.32,12.79,5.42
2015-04-01,,47.12,,75.96,1.06,3.73,6.65,15.63,6.22
2015-04-02,,4.41,,2.01,2.47,5.48,6.44,24.0,6.21
2015-04-03,,4.39,,4.54,1.47,3.32,6.11,13.6,5.92
2015-04-04,18.27,5.05,7.06,6.75,2.65,4.57,6.57,11.82,5.54
2015-04-05,14.56,10.77,6.87,20.91,0.76,2.99,6.58,12.58,5.64
2015-04-06,18.2675,49.82,7.0600000000000005,86.16,0.85,4.11,10.4,14.63,5.66
2015-04-07,21.975,2.9,7.25,3.68,1.21,3.69,15.85,25.35,5.66
2015-04-08,25.6825,10.95,7.439999999999999,24.79,1.82,3.11,6.19,15.79,2.79
2015-04-09,29.39,7.13,7.63,10.69,2.06,4.31,17.24,12.78,1.11
2015-04-10,26.64,13.68,7.46,27.14,11.15,3.21,16.7,15.05,1.17
2015-04-11,16.26,14.13,8.63,51.37,11.79,4.65,6.09,19.6,1.63
2015-04-12,15.43,2.37,6.86,6.15,0.67,3.22,6.13,12.91,2.0
2015-04-13,13.32,2.03,6.83,28.08,1.71,3.65,12.96,14.04,7.55
2015-04-14,11.66,6.89,7.18,16.29,0.65,3.48,6.95,19.27,8.24
2015-04-15,17.64,8.76,7.3,31.33,9.05,4.61,8.34,14.5,8.93
2015-04-16,16.83,12.41,6.71,12.12,1.2,4.15,10.9,20.85,9.62
2015-04-17,30.04,13.57,7.33,32.28,0.93,4.75,6.82,13.37,8.65
2015-04-18,24.85,15.0,7.35,74.18,0.92,2.98,6.92,12.11,8.86
2015-04-19,19.7,47.61,8.28,75.42,0.96,2.92,6.44,17.9,6.37
2015-04-20,11.03,8.07,6.81,49.41,1.24,3.26,6.2,13.39,4.61
2015-04-21,30.44,10.94,6.98,80.43,1.1,6.02,6.14,15.2,11.1
2015-04-22,32.92,17.7,7.56,93.5,1.12,5.9,6.2,17.01,4.38
2015-04-23,28.75,46.12,8.28,85.2,1.49,5.53,6.11,5.7,7.1
2015-04-24,23.95,54.75,9.01,107.74,0.83,4.35,17.85,4.74,1.02
2015-04-25,13.78,11.79,7.68,66.34,0.17,4.49,36.44,4.57,0.87
2015-04-26,9.54,3.85,6.77,35.42,2.0,12.21,35.76,4.58,0.98
2015-04-27,10.02,4.1,6.83,33.95,1.84,5.69,36.02,4.71,1.44
2015-04-28,9.7,4.02,6.77,20.3,5.91,8.59,36.15,4.63,1.92
2015-04-29,9.72,4.11,6.81,23.34,7.37,7.11,36.07,4.67,1.71
2015-04-30,9.9,3.85,3.67,25.09,2.5,4.99,34.03,4.71,1.54
2015-05-01,9.75,3.83,18.85,27.65,2.76,4.12,36.55,4.74,2.33
2015-05-02,11.74,11.91,46.06,50.03,2.83,9.22,36.84,4.8,2.57
2015-05-03,12.59,53.4,111.43,101.2,4.45,6.27,36.49,4.79,2.58
2015-05-04,11.67,47.31,89.95,103.23,4.25,6.12,36.24,4.8,2.84
2015-05-05,13.78,87.65,150.42,115.94,4.31,13.74,35.54,4.84,2.4
2015-05-06,12.67,54.22,111.67,121.47,4.55,11.9,22.79,4.86,2.39
2015-05-07,10.69,12.08,27.58,39.21,7.14,4.56,6.24,4.35,1.71
2015-05-08,11.0,34.79,55.39,41.71,7.64,4.99,31.85,1.68,1.69
2015-05-09,10.98,46.94,84.32,91.25,4.32,4.63,20.13,1.11,1.66
2015-05-10,11.31,15.39,8.05,61.36,11.34,4.08,6.32,1.26,6.27
2015-05-11,10.06,4.49,21.13,22.69,9.22,5.16,21.45,1.82,3.2
2015-05-12,9.79,4.89,8.77,21.34,14.74,4.46,9.79,1.11,1.84
2015-05-13,8.32,8.13,10.353333333333332,23.2,9.23,4.13,13.63,1.26,2.07
2015-05-14,2.77,25.62,11.936666666666667,33.57,7.51,3.43,26.77,1.21,1.95
2015-05-15,6.14,31.38,13.52,90.26,7.5,3.52,9.38,1.77,1.72
2015-05-16,7.71,13.37,45.14,23.68,6.41,4.26,8.12,3.98,1.7
2015-05-17,9.28,5.65,24.58,24.93,9.08,2.95,9.7,4.03,1.64
2015-05-18,10.85,4.98,1.02,23.15,14.13,3.24,9.11,4.26,1.75
2015-05-19,12.42,8.21,14.32,29.24,17.7,4.23,108.65,2.99,1.79
2015-05-20,23.87,7.63,15.49,35.96,6.59,3.31,7.34,3.34,1.8
2015-05-21,58.25,16.53,11.31,40.15,12.69,3.23,7.48,3.44,1.73
2015-05-22,153.97,12.68,11.01,32.38,10.96,3.15,7.01,2.87,2.22
2015-05-23,192.95,11.54,21.6,42.31,11.19,3.63,12.26,3.27,8.29
2015-05-24,114.93,12.9,48.09,63.02,8.47,2.57,8.99,6.94,1.55
2015-05-25,142.89,10.12,83.58,75.09,7.71,2.5,18.31,3.67,1.5
2015-05-26,123.6,7.78,16.04,40.37,3.65,2.4,7.76,6.82,1.49
2015-05-27,155.36,15.07,62.2,33.93,2.89,3.07,17.95,3.4,1.47
2015-05-28,123.11,43.08,80.52,35.14,9.29,14.58,32.28,4.09,1.53
2015-05-29,96.48,7.32,71.88,33.32,8.65,5.94,45.9,6.67,1.54
2015-05-30,204.7,15.3,59.6,35.62,1.73,0.9,63.79,5.35,1.8
2015-05-31,139.89499999999998,13.68,30.19,48.97,13.78,0.47,49.07,6.23,4.21
2015-06-01,75.09,5.92,14.75,17.57,10.47,0.39,2.4,3.8,0.99
2015-06-02,66.44,6.39,14.42,16.08,8.615,0.46,3.12,3.26,1.0
2015-06-03,82.15,7.73,18.47,15.9,6.76,0.4,5.35,4.75,3.4
2015-06-04,61.84,7.36,14.47,11.69,4.39,0.48,3.64,3.53,2.91
2015-06-05,66.10000000000001,8.34,46.29,15.32,1.74,2.49,16.78,3.49,1.16
2015-06-06,70.36000000000001,7.06,61.65,9.6,3.66,5.04,3.54,3.44,1.02
2015-06-07,74.62,9.52,63.96,12.42,0.69,4.76,2.95,4.99,1.37
2015-06-08,169.98,4.54,6.13,11.94,8.51,4.35,3.79,7.2,1.7199999999999998
2015-06-09,166.8,6.13,2.45,10.09,2.48,8.32,3.25,5.58,2.07
2015-06-10,116.57,6.65,2.13,10.03,1.79,4.05,2.9,3.24,1.0
2015-06-11,173.47,5.04,2.86,8.14,1.28,3.68,8.82,3.0,1.09
2015-06-12,230.37,6.06,9.34,11.38,5.28,2.56,6.99,3.18,0.97
2015-06-13,104.28,8.11,15.01,14.51,7.06,2.34,6.1,2.91,1.01
2015-06-14,55.28,8.67,9.79,10.63,2.13,1.74,2.34,3.23,0.91
2015-06-15,80.34,9.23,17.76,12.97,19.8,3.11,6.24,3.55,1.0
2015-06-16,140.34,6.65,56.77,24.02,0.32,2.93,3.02,3.87,1.24
2015-06-17,133.13,15.5,44.89,10.14,3.26,2.16,2.82,3.46,1.0
