Date,DL002,DL021,DL031,KA003,KA009,TN001,UP012,UP014
2015-01-01,,52.5,,23.86,10.79,12.54,19.34,5.0
2015-01-02,,33.19,,26.33,13.13,12.6,19.56,5.0
2015-01-03,,20.23,,24.52,12.54,12.8,19.85,5.0
2015-01-04,,16.77,,23.51,10.11,12.45,19.93,5.0
2015-01-05,,22.58,,24.19,21.55,12.59,19.53,5.0
2015-01-06,,31.35,,29.36,16.8,12.67,20.18,5.0
2015-01-07,,25.81,,31.16,12.45,12.7,20.44,12.09
2015-01-08,,25.4,,40.46,16.46,17.21,19.01,28.68
2015-01-09,,26.96,,35.67,10.65,15.73,11.67,28.66
2015-01-10,,32.33,,36.21,21.19,12.6,11.23,28.68
2015-01-11,,86.5,,41.41,18.27,12.59,11.09,26.46
2015-01-12,,78.0,,34.46,22.2,12.38,11.58,23.45
2015-01-13,,36.69,,39.86,20.38,12.46,11.65,26.98
2015-01-14,,37.9,,32.83,22.77,12.53,8.36,23.37
2015-01-15,,27.15,,29.9,11.61,12.34,6.32,14.61
2015-01-16,,29.1,,27.07,9.95,12.42,5.83,9.75
2015-01-17,,26.58,,27.67,7.07,20.22,5.52,5.3
2015-01-18,,26.02,,27.26,7.13,20.77,5.51,3.96
2015-01-19,,32.69,,30.28,6.44,20.49,5.55,10.24
2015-01-20,,30.5,,40.4,7.24,20.8,6.28,16.98
2015-01-21,,28.12,,50.52,5.45,21.42,11.45,27.88
2015-01-22,,36.21,,60.64,11.3,20.94,10.72,21.21
2015-01-23,,21.62,,22.42,4.5,17.94,8.98,16.34
2015-01-24,,15.67,,23.6,2.45,13.07,9.07,14.72
2015-01-25,,22.88,,22.37,6.52,13.0,10.5,11.39
2015-01-26,,20.15,,21.06,6.64,13.1,11.04,15.43
2015-01-27,,17.42,,25.5,7.93,13.24,10.98,27.91
2015-01-28,,18.38,,26.39,3.3,12.99,9.91,32.36
2015-01-29,,24.9,,17.85,2.72,13.08,10.016666666666667,21.54
2015-01-30,,32.96,,5.99,2.39,13.02,10.123333333333337,16.56
2015-01-31,,29.67,,14.58,5.62,13.06,10.23,25.3
2015-02-01,,44.08,,25.48,5.0,12.59,10.6,30.5
2015-02-02,,35.19,,25.61,9.06,17.67,10.82,20.25
2015-02-03,,19.69,,25.99,9.31,13.27,10.25,17.62
2015-02-04,,18.42,,30.23,10.01,12.6,10.54,12.47
2015-02-05,,20.0,,33.76,9.36,12.82,10.51,20.24
2015-02-06,,67.12,,33.57,9.71,12.71,10.9,25.83
2015-02-07,,43.79,,34.89,10.05,13.08,12.11,49.53
2015-02-08,,33.0,,36.18,6.57,12.59,11.55,54.58
2015-02-09,,12.25,,26.21,11.74,13.02,11.33,55.57
2015-02-10,,28.71,,28.5,11.02,12.9,10.95,37.2
2015-02-11,,33.79,,31.77,9.74,12.83,11.43,45.83
