Date,DL002,DL021,DL031,KA003,TN001,UP012,UP014
2015-01-01,,2.67,,10.73,3.86,34.17,14.04
2015-01-02,,2.87,,22.77,3.82,35.0,12.92
2015-01-03,,2.0,,12.03,3.9,31.88,12.92
2015-01-04,,4.25,,17.7,3.8,29.9,12.92
2015-01-05,,7.35,,12.72,3.83,28.27,12.92
2015-01-06,,4.68,,13.82,3.91,28.38,14.01
2015-01-07,,2.17,,16.98,3.84,28.36,16.51
2015-01-08,,1.42,,17.35,40.62,28.58,12.75
2015-01-09,,3.56,,16.27,15.9,30.22,13.24
2015-01-10,,6.44,,25.01,3.88,32.69,22.49
2015-01-11,,7.0,,16.07,3.84,32.78,22.24
2015-01-12,,10.0,,16.41,3.79,33.41,19.97
2015-01-13,,4.9,,10.34,3.84,33.3,22.1
2015-01-14,,3.81,,16.47,3.86,33.18,108.92
2015-01-15,,3.61,,19.35,3.84,33.35,173.37
2015-01-16,,4.31,,16.02,3.8,33.54,65.64
2015-01-17,,7.56,,14.33,8.92,33.47,34.57
2015-01-18,,10.37,,22.48,76.66,33.46,13.77
2015-01-19,,10.11,,23.34,22.7,33.49,28.92
2015-01-20,,10.54,,103.68,42.28,36.97,30.54
2015-01-21,,11.06,,72.815,39.8,25.41,26.12
2015-01-22,,2.48,,41.95,22.16,25.44,41.67
2015-01-23,,8.58,,17.78,60.51,24.8,55.96
2015-01-24,,6.79,,14.72,57.62,25.77,62.13
2015-01-25,,23.1,,16.27,19.53,26.51,65.13
2015-01-26,,26.8,,21.35,19.46,26.36,41.87
2015-01-27,,30.5,,27.37,19.4,27.44,35.46
2015-01-28,,13.94,,17.05,19.52,26.0,52.96
2015-01-29,,13.75,,18.78,19.56,25.613333333333333,56.81
2015-01-30,,13.94,,19.51,23.46,25.226666666666667,57.77
2015-01-31,,17.31,,23.21,27.37,24.84,58.01
2015-02-01,,12.04,,20.75,27.46,26.47,40.66
2015-02-02,,18.74,,19.75,27.41,26.04,49.35
2015-02-03,,28.85,,20.64,27.41,27.32,43.29
2015-02-04,,9.65,,18.62,27.39,26.26,32.56
2015-02-05,,13.65,,16.06,27.46,26.55,33.19
2015-02-06,,26.04,,13.76,27.43,25.6,65.71
2015-02-07,,35.22,,20.96,27.47,26.62,44.05
2015-02-08,,87.5,,22.81,27.25,26.75,27.4
2015-02-09,,27.12,,31.01,27.54,27.0,41.22
2015-02-10,,16.88,,39.86,27.28,27.18,51.4
2015-02-11,,21.75,,32.19,27.38,26.99,58.23
2015-02-12,,20.9,,44.15,27.55,27.11,52.18
2015-02-13,,19.02,,37.79,27.51,26.5,62.88
2015-02-14,,13.6,,31.76,27.53,10.88,48.1
2015-02-15,,27.44,,45.16,27.52,10.58,67.47
2015-02-16,,20.02,,49.3,27.52,10.89,53.49
2015-02-17,,29.77,,44.34,38.04,11.02,44.46
2015-02-18,,17.0,,28.85,9.8,11.09,50.21
2015-02-19,,18.65,,31.69,12.74,11.23,44.94
2015-02-20,,23.4,,33.43,30.8,10.9,30.28
2015-02-21,,14.08,,39.2,27.5,11.68,43.89
2015-02-22,,12.83,,54.18,27.48,11.18,46.23
2015-02-23,,25.265,,53.97,27.52,11.26,35.17
2015-02-24,,37.7,,40.55,27.52,11.4,32.97
2015-02-25,,20.48,,51.91,27.24,11.41,27.46
2015-02-26,,20.6,,65.41,27.49,11.27,28.223333333333333
2015-02-27,,25.21,,66.49,27.45,11.22,28.986666666666665
2015-02-28,,34.77,,62.61,27.34,11.3,29.75
2015-03-01,,15.08,,51.37,27.42,10.67,20.43
2015-03-02,,19.12,,58.97,38.44,10.7,11.51
2015-03-03,,10.83,,43.5,21.36,10.79,22.61
2015-03-04,,21.04,,61.8,26.47,10.91,36.63
2015-03-05,,39.5,,45.01,40.84,10.67,43.83
2015-03-06,,16.92,,31.55,24.755000000000003,10.89,52.78
2015-03-07,,16.75,,36.67,8.67,11.08,42.34
2015-03-08,,8.67,,45.87,5.85,11.14,33.04
2015-03-09,,16.73,,36.7,93.25,11.34,42.87
2015-03-10,,16.88,,41.81,23.45,10.89,51.92
2015-03-11,,16.96,,35.98,27.42,10.89,59.07
2015-03-12,,23.35,,37.65,27.66,11.11,54.37
2015-03-13,,30.58,,43.46,27.57,11.42,52.12
2015-03-14,,12.35,,49.53,27.51,10.82,39.63
2015-03-15,,19.33,,48.26,27.52,10.88,15.81
2015-03-16,,28.64,,47.74,27.71,10.95,36.2
2015-03-17,,11.52,,49.86,27.82,11.26,25.47
2015-03-18,,16.62,,49.27,27.54,11.05,85.36
2015-03-19,,15.85,,56.32,27.52,11.14,117.35
2015-03-20,,14.62,,43.25,27.57,11.27,122.32
2015-03-21,,16.29,,52.96,27.57,11.49,115.2
2015-03-22,,19.77,,71.85,27.55,11.61,74.725
2015-03-23,,14.86,,72.84,27.56,11.66,34.25
2015-03-24,,16.0,,64.12,27.59,11.77,39.26
2015-03-25,,24.69,,82.34,27.59,11.97,41.42
2015-03-26,,22.65,,67.21,27.62,12.0,41.49
2015-03-27,,24.83,,51.93,27.64,12.04,41.37
2015-03-28,,21.0,,44.65,27.68,11.93,41.59
2015-03-29,,11.33,,56.31,27.69,11.8,41.74
2015-03-30,,18.27,,49.52,27.57,11.13,41.7
2015-03-31,,33.29,,47.67,27.62,11.27,41.72
2015-04-01,,23.37,,48.25,27.54,11.8,42.77
2015-04-02,,25.48,,53.26,27.65,11.99,43.09
2015-04-03,,24.23,,57.75,27.6,11.85,42.12
2015-04-04,26.37,46.83,60.73,76.36,27.57,11.49,41.37
2015-04-05,23.77,34.504999999999995,73.6,65.62,27.58,11.53,41.65
2015-04-06,20.42,22.18,63.175,54.31,27.92,11.68,41.57
2015-04-07,17.069999999999997,29.15,52.75,60.42,27.65,11.64,41.55
2015-04-08,13.719999999999995,19.23,42.325,49.55,27.61,11.83,41.79
2015-04-09,10.37,20.4,31.9,42.63,27.81,11.88,41.4
2015-04-10,13.68,18.3,42.9,44.47,28.06,11.98,40.2
2015-04-11,13.31,46.75,40.78,53.91,27.64,12.2,39.71
2015-04-12,11.19,23.73,56.71,44.53,27.57,11.48,40.45
2015-04-13,15.28,74.08,61.07,39.03,27.08,11.09,33.72
2015-04-14,12.18,50.12,54.67,57.7,27.62,11.41,35.63333333333333
