Date,DL002,DL021,DL031,KA003,KA009,TN001,UP012,UP014
2015-01-01,,11.78,,2.01,5.08,7.61,,169.57
2015-01-02,,9.94,,3.64,4.31,7.53,,169.46
2015-01-03,,1.21,,4.06,95.41,7.69,,169.77
2015-01-04,,6.71,,2.48,195.65,7.51,,169.56
2015-01-05,,2.35,,4.22,6.4,7.56,,169.48
2015-01-06,,1.88,,5.15,3.31,7.71,,178.63
2015-01-07,,4.6,,5.13,3.93,7.57,,169.0
2015-01-08,,1.31,,5.65,9.5,7.7,,169.0
2015-01-09,,1.79,,11.52,9.09,7.47,,182.39
2015-01-10,,5.77,,11.683333333333334,3.08,7.66,,174.58
2015-01-11,,6.5,,11.846666666666668,8.2,7.59,,178.93
2015-01-12,,6.0,,12.01,1.24,7.47,,176.44
2015-01-13,,2.98,,5.38,8.34,7.59,,187.02
2015-01-14,,2.44,,7.31,9.56,7.61,,42.93
2015-01-15,,7.65,,5.57,6.74,7.59,,57.91
2015-01-16,,2.67,,6.58,93.58,7.5,,72.89
2015-01-17,,6.48,,6.64,153.52,7.69,,87.87
2015-01-18,,6.9,,5.54,120.11,155.93,,
2015-01-19,,6.23,,4.15,95.88,,,
2015-01-20,,2.58,,4.0,112.36,,,
2015-01-21,,3.19,,4.0,85.97,,,
2015-01-22,,5.79,,6.96,74.71,,,141.76
2015-01-23,,1.23,,6.85,53.76,,,
2015-01-24,,12.85,,9.62,2.89,6.31,,
2015-01-25,,11.43,,4.28,2.36,7.79,,
2015-01-26,,7.425,,4.04,1.85,7.74,,
2015-01-27,,3.42,,3.18,3.62,7.86,,
2015-01-28,,3.19,,7.12,0.57,7.79,,
2015-01-29,,2.31,,4.44,0.31,7.71,,
2015-01-30,,2.19,,6.92,75.7,7.65,,
2015-01-31,,2.21,,5.16,53.21,7.75,,
2015-02-01,,11.29,,5.31,16.37,7.52,,70.12
2015-02-02,,1.62,,6.5,4.9,13.17,,
2015-02-03,,3.4,,5.08,4.6,7.73,,
2015-02-04,,2.69,,4.64,4.49,7.47,,
2015-02-05,,1.08,,8.93,3.79,7.71,,
2015-02-06,,10.5,,4.01,1.05,7.62,,
2015-02-07,,6.79,,6.06,1.12,7.77,,
2015-02-08,,5.0,,6.61,9.57,7.54,,
2015-02-09,,6.25,,3.37,5.2250000000000005,7.67,,
2015-02-10,,2.31,,1.05,0.88,7.64,,132.63
2015-02-11,,1.56,,1.66,1.04,7.67,,179.18
2015-02-12,,1.12,,0.64,36.64,7.71,,103.59
2015-02-13,,4.17,,0.92,14.3,7.82,,180.85
2015-02-14,,2.54,,3.12,6.73,8.41,,170.04
2015-02-15,,1.4,,2.0,7.64,8.33,,159.23
2015-02-16,,1.4,,2.91,5.36,8.0,,106.44
2015-02-17,,1.25,,3.24,102.4,8.2,,82.53
2015-02-18,,6.69,,3.03,96.89,7.979999999999999,,58.62
2015-02-19,,2.62,,5.92,85.31,7.76,,113.63
2015-02-20,,2.08,,3.95,42.48,7.54,,
2015-02-21,,3.1,,2.88,30.24,7.34,,
2015-02-22,,2.54,,3.83,93.31,6.72,,
2015-02-23,,2.17,,3.52,41.16,6.31,,
2015-02-24,,1.8,,4.03,7.48,6.51,,
2015-02-25,,3.21,,3.62,9.38,8.07,,
2015-02-26,,5.75,,3.7,10.56,6.31,,
2015-02-27,,5.5,,2.48,7.71,6.03,,
2015-02-28,,4.06,,1.08,4.56,6.64,,
2015-03-01,,1.6,,3.15,14.94,6.78,,124.96
2015-03-02,,4.1,,1.86,60.88,6.4,,
2015-03-03,,4.56,,1.02,26.96,6.57,,
2015-03-04,,4.52,,1.58,14.7,6.94,,
2015-03-05,,2.5,,0.56,104.73,,,
