Date,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna
2018-01-09,3.33,0.74,5.31,2.84,0,2.65,0.7
2018-01-10,0,1.95,3.26,2.92,0,2.98,0.56
2018-01-11,0,1.25,3.27,2.17,0,4.21,0.58
2018-01-12,0,1.67,4.23,1.12,0,4.04,0.53
2018-01-13,0,3.58,7.62,1.53,0,4.4,0.64
2018-01-14,0,0.94,4.3,1.46,0,3.82,0.68
2018-01-15,0,1.03,3.26,2.47,0,2.18,0.52
2018-01-16,0,1.09,3.09,1.57,0,3.74,0.84
2018-01-17,0,1.93,4.22,2.08,0,2.99,0.83
2018-01-18,0,1.83,5.19,2.57,0,3.98,0.6
2018-01-19,0,1.71,5.47,6.83,0,3.88,0.9
2018-01-20,0,1.74,2.37,2.46,0,6.07,0.7
2018-01-21,0,2.21,2.74,1.27,0,3.53,0.63
2018-01-22,0,1.58,4.09,2.57,0,2.84,0.67
2018-01-23,0.08,1.48,2.68,4.4,0,2.48,0.73
2018-01-24,0.2,1.09,2.26,1.24,0,2.46,0.61
2018-01-25,0,1.57,2.22,1.75,0,4.31,0.35
2018-01-26,0,1.19,2.46,1.92,0,5.18,0.36
2018-01-27,0.04,1.2,2.29,2.15,0,4.7,0.45
2018-01-28,0,1.46,2.07,2.94,0,3.22,0.63
2018-01-29,0,1.72,2.18,3.37,0,2.79,0.65
2018-01-30,0,1.72,1.84,1.92,0,4.12,0.61
2018-01-31,0,1.33,1.72,1,0,5.96,0.62
2018-02-01,0,1.89,2.08,1.67,0,4.76,0.64
2018-02-02,0,1.39,1.72,2.88,0,5.81,0.67
2018-02-03,0,1.65,1.35,4.84,0,4.06,0.81
2018-02-04,0.01,0.86,1.44,0.76,0,2.54,0.6
2018-02-05,0,1.5,2.04,0.55,0,1.46,0.4
2018-02-06,0,1.27,1.74,0.56,0,4.55,0.35
2018-02-07,0,1.21,1.64,0.58,0,6.4,0.35
2018-02-08,0,1.02,3.21,0.49,0,2.62,0.35
2018-02-09,2.62,1.46,3.32,0.52,0,2.56,0.33
2018-02-10,1.74,1.06,6.94,0.86,0,2.59,0.33
2018-02-11,0.64,1.11,3.53,2.1,0,1.07,0.35
2018-02-12,0.47,1.06,0.8,0.68,0,0.76,0.36
2018-02-13,0.4,0.96,1.73,0.63,0,0.98,0.35
2018-02-14,0.3,1.29,1.02,0.23,0,1.98,0.35
