Date,Bengaluru,Delhi,Hyderabad
2018-06-08,18.55,46.72,13.75
2018-06-09,23.63,40.4,15.62
2018-06-10,28.71,49.24,15.21
2018-06-11,33.79,48.15,17.96
2018-06-12,38.87,40.05,16.42
2018-06-13,43.95,32.58,18.8
2018-06-14,49.03,27.3,18.51
2018-06-15,54.13,26.27,22.11
2018-06-16,65.66,28.12,12.77
2018-06-17,65.85,27.53,15.69
2018-06-18,52.88,33.27,13.71
2018-06-19,39.88,31.25,8.52
2018-06-20,39.82,36.03,8.28
2018-06-21,39.87,38.44,9.33
2018-06-22,40.19,44.46,13.37
2018-06-23,43.21,44.27,13.84
2018-06-24,43.75,34.64,13.2
2018-06-25,39.41,32.64,10.75
2018-06-26,42.98,35.67,12.73
2018-06-27,42.71,44.57,15.93
2018-06-28,42.01,44.84,12.61
2018-06-29,37.54,42.44,9.63
2018-06-30,26.36,40.71,14.04
2018-07-01,26.09,44.47,14.34
2018-07-02,24.06,36.17,9.17
2018-07-03,20.48,38.7,12.43
2018-07-04,22.71,37,10.13
2018-07-05,21.44,38.45,10.6
2018-07-06,22.71,48.7,11.89
2018-07-07,22.06,51.84,22.28
2018-07-08,22.05,57.11,27.07
2018-07-09,22.46,55.38,21.08
2018-07-10,20.65,47.18,13.74
2018-07-11,22.12,39.31,11.45
2018-07-12,21.33,35.01,19.37
2018-07-13,23.13,33.49,10.32
2018-07-14,21.52,34.11,11.15
2018-07-15,20.98,32.08,11.51
2018-07-16,21.92,36.19,17.01
2018-07-17,23.5,41.85,9.09
2018-07-18,21.62,46.23,13.41
2018-07-19,20.52,41.74,9.65
2018-07-20,20.52,38.54,17.89
2018-07-21,20.49,43.54,13.67
2018-07-22,20.14,37.26,27.32
2018-07-23,21.94,39.3,14.25
2018-07-24,25.82,40.08,12.57
2018-07-25,23.36,39.46,13.38
2018-07-26,20.06,38.33,13.72
2018-07-27,18.75,33.02,13.04
2018-07-28,18.96,29.08,16.11
2018-07-29,20.18,36.7,20.93
2018-07-30,22.04,42.39,25.84
2018-07-31,22.48,41.94,22.86
2018-08-01,21.15,38.58,13.51
2018-08-02,20.75,36.33,14.81
2018-08-03,20.61,34.43,16.33
2018-08-04,20.08,33.4,18.24
2018-08-05,19.42,33.84,13.47
2018-08-06,19.36,45.36,18.49
2018-08-07,19.67,40.11,16.94
2018-08-08,19.55,38.57,23.83
2018-08-09,20.98,38.58,14.77
2018-08-10,19.74,40.95,17.35
2018-08-11,19.86,36.5,16.95
2018-08-12,18.86,30.55,22.8
2018-08-13,18.9,34.65,15.41
2018-08-14,18.01,39.38,13.27
2018-08-15,19.41,37.96,23.04
2018-08-16,20.34,40.19,11.71
2018-08-17,17.01,37.68,11.21
2018-08-18,17.14,32.83,13.6
2018-08-19,16.94,31.46,15.8
2018-08-20,19.27,38.4,17.78
2018-08-21,22.57,32.36,14.88
2018-08-22,21.02,28.58,12.65
