Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna
2017-09-26,8.48,14.5,23.12,3.77,9.31,5.81
2017-09-27,15.29,16.97,26.98,4.73,9.68,66.18
2017-09-28,4.57,13.66,50.72,11.19,9.79,18.18
2017-09-29,7.58,3.28,37.45,13.34,8.34,3.65
2017-09-30,7.05,2.64,21.1,6.96,8.11,7.74
2017-10-01,5.63,3.63,25.43,12.61,1.24,7.29
2017-10-02,38.94,3.05,22.86,7.94,10.81,8.06
2017-10-03,6.46,3.07,22.75,15.79,11.69,14.32
2017-10-04,4.69,4.65,24.88,8.89,16.68,14.63
2017-10-05,13.18,8.13,15.35,17.64,16.52,14.64
2017-10-06,8.58,7.18,14.82,12.67,11.38,14.26
2017-10-07,9.98,6.7,17.2,16.71,18.91,5.59
2017-10-08,7.57,8.06,20.71,12.31,10.47,16.52
2017-10-09,9.19,13.8,33.9,20.44,7.6,15.57
2017-10-10,9.9,4.51,23,14.66,26.06,19.87
2017-10-11,14.24,4.74,25.09,8.57,6.99,96.9
2017-10-12,10.47,5.48,21.91,12.35,13.72,12.26
2017-10-13,10.69,6.31,31.87,32.53,8.45,10.84
2017-10-14,10.09,8.52,67.91,14.45,10.84,4.38
2017-10-15,14,11.5,41.91,15.4,18.84,17.3
2017-10-16,9.41,12.15,48.82,29.6,8.32,16.55
2017-10-17,14.4,20.97,48.01,39.23,9.92,13.01
2017-10-18,18.27,21.68,66.01,47.62,14.42,13.14
2017-10-19,12.47,26.58,55.94,13.34,8.76,15.13
2017-10-20,14.24,8.35,56.28,11.81,7.65,11.43
2017-10-21,8.15,7.94,42.71,9.04,7.91,15.39
2017-10-22,8.29,8.71,54.57,34.06,7.56,30.165
2017-10-23,9.24,8.95,89.4,56.94,7.98,44.94
2017-10-24,15.76,10.81,72.71,59.11,8.24,48.95
2017-10-25,16.44,13.86,56.81,68.98,7.74,45.73
2017-10-26,17.04,15.23,56.9,65.77,7.17,20.02
2017-10-27,13.99,11.38,26.14,51.75,16.51,20.16
2017-10-28,15.78,10.83,35.39,52.81,8.06,57.56
2017-10-29,15.01,9.13,28.91,10.52,14.32,31.78
2017-10-30,9.57,10.73,41.29,29.63,13.21,48.93
2017-10-31,12.13,8.64,65.55,39.08,12.1,23.46
2017-11-01,6.5,7.92,29.65,16.17,14.71,29.865
2017-11-02,7.2,7.82,26.09,21.31,9.19,36.27
2017-11-03,8.53,5.98,45.29,20.56,10.34,216.65
2017-11-04,14.44,11.77,45.11,31.33,9.76,131.31
2017-11-05,14.87,6.86,65.25,48.24,9.03,81.14
2017-11-06,11.58,10.33,64.5,40.04,11.54,45.89
2017-11-07,13.12,17.06,51.67,32.32,15.51,35.54
2017-11-08,13.32,9.17,55.83,42.34,9.92,64.93
2017-11-09,12.3,8.1,54.71,65.64,10.16,56.73
2017-11-10,9.12,7.23,55.07,45.74,10.18,220.86
2017-11-11,10.67,5.55,78.16,21.19,8.87,120.78
2017-11-12,10.11,5.54,66.78,13.34,8.88,56.27
2017-11-13,9.61,12.3,65.36,60.76,9.34,116.65
2017-11-14,8.67,13.15,34.12,103,10.25,137.77
2017-11-15,5.9,19.93,36.7,49.14,8.07,71.19
2017-11-16,9.59,24.27,38.61,51.97,11.53,36.38
2017-11-17,5.76,13.96,32.01,26.03,9.97,68.93
2017-11-18,8.73,9.5,20.23,13.86,10.05,125.54
2017-11-19,11.02,5.48,19.58,11.75,9.41,70.47
2017-11-20,10.9,8.23,24.44,10.67,7.6,17.17
2017-11-21,12.88,11.55,32.84,11.57,10.73,16.6
2017-11-22,12.04,10.58,30.75,13.66,6.79,20.28
2017-11-23,11.09,10.58,34.73,13.14,11.04,9.56
2017-11-24,12.17,11.82,44.24,11.99,6.26,36.01
2017-11-25,15.43,8.44,45.12,25.07,5.34,37.56
2017-11-26,15.31,6.32,77.85,11,8.98,19.26
2017-11-27,16.9,7.37,45.64,11.95,9.81,11.34
2017-11-28,15.56,6.88,61.44,25.23,10.31,28.68
2017-11-29,11.01,11.52,109.88,101.11,7.04,62.56
2017-11-30,10.38,8.12,71.11,72.96,9.05,67.29
2017-12-01,8.52,6.48,61.21,106.63,8.67,34.97
2017-12-02,8.64,8.33,80.33,54.29,7.02,62.58
2017-12-03,13.43,9.93,67.41,44.37,7.22,21.78
2017-12-04,13.35,8.57,74.66,29.32,6.46,25.96
2017-12-05,12.38,9.81,61.13,17.21,6.29,32.13
2017-12-06,12,9.12,23.19,12.01,6,31.09
2017-12-07,15.06,7.54,24.67,11.68,7.77,18.02
2017-12-08,28,8.84,23.86,12.51,2.82,23.4
2017-12-09,21.48,11.23,60.14,54.19,3.04,136.74
2017-12-10,17.62,14.24,102,55.31,4.44,112.77
2017-12-11,8.19,8.6,97.35,36.96,8.39,110.69
2017-12-12,7.87,15.54,22.41,50.36,12.01,42.92
2017-12-13,10.44,10.48,20.14,11.72,7.91,28.12
2017-12-14,16.43,16.43,19.4,8.44,2.4,27.74
2017-12-15,42.05,8.39,20.33,8.01,3.5,25.41
2017-12-16,12.88,8.19,17.77,7.63,7.78,24.17
2017-12-17,12.25,6.93,17.4,15.04,8.44,17.91
2017-12-18,13.94,7.49,20.4,14.63,3.67,63.88
2017-12-19,10.01,6.46,35.44,68.28,8.22,40.76
2017-12-20,11.34,7.25,44.05,113.36,16.01,61.65
2017-12-21,10.59,10.07,32.3,42.66,18.07,12.63
2017-12-22,11.41,13.71,22.11,9.61,21.37,30.41
2017-12-23,10.11,12.3,31.51,27.36,10.07,70.66
2017-12-24,3.71,10.43,79.8,26.01,9.99,13.1
2017-12-25,4.58,8.82,61.55,18.8,8.37,33.89
2017-12-26,7.62,14.75,46.41,30.87,8.2,21.98
2017-12-27,6.4,10.49,58.71,41.47,6.1,33.79
2017-12-28,7,18.2,80.57,65.49,10.23,18.36
2017-12-29,10.82,11.21,70.6,37.62,12.65,10.77
2017-12-30,10.05,15.88,69.31,19,15.07,43.62
2017-12-31,11.9,8.51,83.77,12.19,13.13,30.96
2018-01-01,9.91,8.39,62.76,9.57,10.55,26.43
