Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna
2017-09-26,29.13,24.7,27.52,16.86,20.98,23.4
2017-09-27,38.34,27.26,21.39,19.01,23.27,56.05
2017-09-28,24.81,23.67,38.55,37.57,20.69,30.04
2017-09-29,29.64,15.34,29.45,34.9,18.5,10.05
2017-09-30,26.24,15.25,26.08,31.24,17.45,13.24
2017-10-01,27.01,14.93,28.66,26.32,11.81,22.17
2017-10-02,25.68,12.88,25.2,24.24,11.9,16.61
2017-10-03,25.43,13.93,26.09,34.36,18.96,20.42
2017-10-04,24.72,15.77,28.99,25.47,22.44,25.61
2017-10-05,32.24,14.73,24.45,36.5,22.79,21.29
2017-10-06,28.49,15.1,27.44,37.58,19.44,27.38
2017-10-07,26.77,14.14,25.61,43.59,24.12,22.59
2017-10-08,22.5,14.77,24.51,34.46,24.14,49.33
2017-10-09,25,15.45,27.06,41.3,17.7,23.42
2017-10-10,29.03,15.98,31.67,34.8,24.18,20.6
2017-10-11,31.64,20.16,30.92,30.57,25.01,57.94
2017-10-12,30.86,20.18,31.1,44.26,26.83,34.38
2017-10-13,30.63,22.36,29.16,62.28,19.29,31.69
2017-10-14,28.07,21.73,30.14,53.25,25.1,29.8
2017-10-15,34.04,17.74,30,59.68,22.1,63.63
2017-10-16,29.07,18.88,58.53,72.26,45.32,44.6
2017-10-17,35.25,19.66,57.08,71.24,36.5,48.54
2017-10-18,41.73,24.61,63.15,55.68,34.49,44.41
2017-10-19,32.42,26.9,53.51,36.49,30.6,35.42
2017-10-20,40.38,19.36,54.76,29.79,20.04,22.25
2017-10-21,32.18,22.86,50.13,30.05,18.74,28.58
2017-10-22,31.05,21.36,55.88,57.38,17.27,52.75
2017-10-23,33.32,25.92,64.25,80.44,21.46,76.92
2017-10-24,44.63,21.91,81.33,75.27,24.35,85.68
2017-10-25,43.04,18.11,80.62,86.12,48.16,65.7
2017-10-26,39.14,19.04,90.56,89.66,34.37,45.43
2017-10-27,36.53,20.74,65.44,83.17,24.22,42.9
2017-10-28,39.18,19.51,84.45,84.41,40.69,85.82
2017-10-29,39.01,21.3,60.61,55.4,25.47,55.14
2017-10-30,32.5,18.46,69.51,59.52,34.42,52.44
2017-10-31,33.67,21.69,53.08,61.21,43.37,36
2017-11-01,24.85,20.35,46.83,44.85,46.37,43.645
2017-11-02,26.81,18.51,47.7,51.53,37.68,51.29
2017-11-03,29.41,21.2,46.49,56.67,37.44,226.06
2017-11-04,34.07,23.88,47.28,52.58,35.86,163.2
2017-11-05,29.05,16.96,60.56,49.04,31.18,137.49
2017-11-06,29.82,20.49,57.27,50.59,39.1,136.02
2017-11-07,33.64,21.37,65.17,59.57,43.63,143.99
2017-11-08,33.43,18.77,77.51,60.72,40.59,173.62
2017-11-09,37.65,19.51,81.67,55.77,39.12,173.39
2017-11-10,30.19,24.71,80.73,51.14,35.39,266.46
2017-11-11,36.09,21.71,78.61,52.54,42.21,178.84
2017-11-12,36.27,18.9,70.1,38.8,42.84,141.94
2017-11-13,32.51,27.69,65.77,62.1,37.83,169.82
2017-11-14,30.57,25.74,56.46,60.79,39.01,239.18
2017-11-15,27.55,37.3,57.85,56.89,36.07,137.59
2017-11-16,34.47,38.77,53.86,54.05,34.29,108.12
2017-11-17,30.34,25.49,47.38,46.83,33.87,130.19
2017-11-18,36.57,23.56,43.91,50.47,32.58,177.7
2017-11-19,39.44,19.17,45.6,49.27,34.18,173.97
2017-11-20,36.61,19.09,52.73,42.64,36.84,112.13
2017-11-21,34.1,22.22,54.75,48.07,39.07,110.96
2017-11-22,37.02,23.9,54.64,59.73,32.25,115.89
2017-11-23,42.75,29.82,55.04,60.97,37.91,76.32
2017-11-24,46.1,27.44,64.15,63.91,35.4,100.81
2017-11-25,50.65,29.43,76.48,73.69,37.5,53.74
2017-11-26,48.12,20.3,67.6,59.21,50.36,31.58
2017-11-27,47.51,22.88,68.93,60.42,52.99,28.56
2017-11-28,50.06,24.99,62.53,66.88,54.18,29.44
2017-11-29,39.39,22.77,75.37,92.62,45.7,31.01
2017-11-30,32.3,18.18,57.73,80.71,45.03,29.49
2017-12-01,31.43,19.48,56.83,73.94,37.15,28.68
2017-12-02,35.74,22.98,65.66,68.12,35.14,29.81
2017-12-03,42.05,20.28,65.83,69.83,38.05,20.7
2017-12-04,42.47,20.66,65.49,68.83,37.31,21.84
2017-12-05,40.08,23.6,64.61,54.82,29.67,23.83
2017-12-06,44.52,24.27,51.02,48.21,30.32,21.09
2017-12-07,47.64,27.5,45.83,46.04,40.86,14.26
2017-12-08,66.21,30.39,53.85,53.18,39.18,13
2017-12-09,62.95,31.89,70.14,64.87,38.26,166.01
2017-12-10,57.89,25.72,83.94,73.96,37.26,142.62
2017-12-11,38.93,20.47,71.25,73.78,48.48,166.19
2017-12-12,33.87,23.37,45.94,72.23,62.23,152.65
2017-12-13,39.02,16.18,40.27,60.94,50.13,121.4
2017-12-14,43.69,18.6,36.59,47.79,39.48,114.96
2017-12-15,81.78,21.82,34.73,49.63,38.85,104.52
2017-12-16,42.57,26.4,29.84,47.58,48.12,78.7
2017-12-17,48.64,18.91,37.37,56.93,47.26,36.81
2017-12-18,63.33,21.38,45.8,67.75,37.36,73.19
2017-12-19,50.27,25.36,54.84,78.85,49.48,103.91
2017-12-20,80.93,27.36,66.41,76.92,67.71,55.57
2017-12-21,115.11,21.58,61.63,57.72,68.63,15.5
2017-12-22,142.35,23.85,50.73,52.36,73.32,89.01
2017-12-23,61.7,24.36,50.97,54.32,65.66,122.68
2017-12-24,31.49,23.99,66.65,59.58,63.74,95.82
2017-12-25,29.62,21.51,58.92,49.73,56.9,127.19
2017-12-26,32.19,25.27,57.6,52.13,53.18,44.58
2017-12-27,44.73,23.92,65.61,59.6,55.68,31.26
2017-12-28,44.56,28.09,70.25,53.57,60.71,11.99
2017-12-29,48.73,28.73,59.7,46.83,67.12,5.83
2017-12-30,42.6,20.64,60.4,56.08,67.32,34.49
2017-12-31,41.94,12.16,66.97,53.25,62.26,72.24
2018-01-01,42.23,13.63,63.92,41.05,54.46,48.77
2018-01-02,41.7,14.95,53.73,34.35,51.51,22.89
2018-01-03,50.19,17.75,52.24,38.57,46.8,89.94
2018-01-04,46.14,18.64,61.57,46.68,60.89,54.31
2018-01-05,52.5,17.43,54.8,48.41,63.88,21.22
2018-01-06,51.77,17.86,59.12,49.57,63.11,69.63
2018-01-07,49.36,15.6,47.02,53.94,55.39,96.31
2018-01-08,46.38,16.08,51.6,58.74,51.85,93.6
2018-01-09,43.41,14.02,66.19,45.21,53.96,43.78
2018-01-10,29.81,14.84,60.21,46.46,53.36,56.84
2018-01-11,45.27,18.07,63.57,48.82,59.3,78.47
2018-01-12,36.51,17.84,65.3,54.54,64.97,92.22
2018-01-13,43.3,20.65,61.28,52.45,59.98,69.93
2018-01-14,44.87,14.82,54.37,62.82,54.79,30.04
2018-01-15,33.96,11.26,52.51,61.77,37.89,63.83
2018-01-16,41.68,11,46.86,45.9,39.7,80.13
2018-01-17,37.47,16.94,47.86,47.58,45.06,34.98
2018-01-18,39.62,20.78,55.08,46.32,55.84,28.23
2018-01-19,38.68,20.38,49.45,54.83,56.03,47.74
2018-01-20,38.67,22.48,38.87,49.43,60.93,64.21
2018-01-21,33.77,20.48,44.09,49.76,56.67,65.33
2018-01-22,34.14,20.41,56.45,51.54,50.74,44.39
2018-01-23,35.2,19.77,47.26,49.56,46.04,70.96
2018-01-24,44.92,21.32,35.33,37.49,42.71,38.37
2018-01-25,33.76,21,40.13,31.58,54.52,22
2018-01-26,32.42,18.96,38.17,35.09,56.49,9.39
2018-01-27,36.38,19.89,45.14,36.02,55.38,45.47
2018-01-28,30.66,18.29,47.6,38.93,49.3,23.39
2018-01-29,36.21,18.74,54.51,45.62,46.08,14.36
2018-01-30,32.79,22.09,47.59,34.43,51.91,85.07
2018-01-31,36.09,23.76,45.46,26.38,59.99,73.46
2018-02-01,49.14,22.16,63.88,33.39,67.8,15.13
2018-02-02,42.78,19.5,54.28,40.26,68.01,8.15
2018-02-03,33.25,21.27,51.46,54.6,53.31,94.99
2018-02-04,32.25,17.68,46.74,32.99,41.49,121.91
2018-02-05,32.53,20.26,63.42,34.06,43.96,51.45
2018-02-06,29.05,23.45,56.51,28.92,58.09,33.34
2018-02-07,30.04,19.56,54.53,35.64,72.8,28.87
2018-02-08,45.34,20.56,74.83,36.42,59.37,25.44
2018-02-09,43.01,18.92,74.5,34.68,55.81,24.45
2018-02-10,39.51,20.61,99.06,38.79,53.5,21.58
2018-02-11,23.84,17.7,62.4,56.72,28.9,21.11
2018-02-12,24.85,16.23,33.08,37.19,20.55,28.34
2018-02-13,17.2,19.55,46.48,33.81,31.98,25.05
2018-02-14,17.59,22.9,34.92,24.51,44.77,22.2
2018-02-15,18.7,21.91,38.54,25.39,48.93,20.64
2018-02-16,30.03,16.26,48.33,21.43,51.24,22.42
2018-02-17,37.85,13.41,49.9,26.73,60.23,49.33
2018-02-18,22.89,15.41,50.94,36.45,58.63,50.97
2018-02-19,26.23,14.05,71.76,37.62,44.16,27.98
2018-02-20,22.48,15.79,68.29,41.48,41.75,53.98
2018-02-21,32.97,14.74,92.54,50.36,46.91,37.18
2018-02-22,39.61,14.41,66.4,48.38,49.21,24.31
2018-02-23,31.9,13.99,70.77,55.31,48,16.69
2018-02-24,19.98,12.06,62.66,54.01,43.62,15.04
2018-02-25,14.46,11.05,42.88,31.02,51.65,12.49
2018-02-26,27.46,12.98,33.59,19.72,65.82,10.87
2018-02-27,26.31,15.12,43.12,25.24,67.65,12.2
2018-02-28,32.9,15.61,52.5,28.14,70.43,11.46
2018-03-01,27.41,11.85,51.74,26.97,65.26,43.3
2018-03-02,38.24,11.84,50.64,21.7,56.01,30.15
2018-03-03,36.26,12.93,41.07,20.46,45.04,12.22
2018-03-04,24.85,13.37,39.02,25.72,49.19,15.2
2018-03-05,34.44,10.82,39.58,20.32,45.37,12.81
2018-03-06,32.76,12.83,37.92,21.47,38.91,12.89
2018-03-07,25.14,16.63,45.6,28.95,43.04,14.36
2018-03-08,27.15,22.6,79.5,44.32,49.93,15.37
2018-03-09,47.26,16.09,65.86,33.39,52.67,15.68
2018-03-10,37.1,16.87,39.85,26.41,49.74,10.91
2018-03-11,22.32,15.41,41.81,28.51,35.56,11.26
2018-03-12,17.43,14.81,45.32,29.11,40.44,64.69
