Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna
2017-10-01,1.37,12.04,14.66,16.22,2.95,19.34
2017-10-02,1.8,9.25,12.1,22.14,4.8,19.88
2017-10-03,1.81,9.16,11.47,32.38,9.81,39.73
2017-10-04,7.5,11.83,14.09,23.2,11.72,45.4
2017-10-05,21.6,13.9,13.8,36.06,11.45,41.89
2017-10-06,17.21,14.66,12.19,31.85,8.09,42.64
2017-10-07,17.23,12.3,14.27,37.13,12.33,23.05
2017-10-08,14.42,12.53,14.05,31.31,10.59,40.39
2017-10-09,15.19,18.35,17.82,35.01,6.49,35.55
2017-10-10,14.78,12.65,13.81,41.09,6.08,40.18
2017-10-11,17.4,14.11,14.22,22.52,4.63,109.78
2017-10-12,16.24,16.1,12.39,29.05,5.04,28.26
2017-10-13,16.58,20.74,14.41,46.9,3.15,25.66
2017-10-14,15.1,17.57,23.78,29.84,3.74,19.4
2017-10-15,18.62,16.49,15.25,41.41,3.41,47.92
2017-10-16,15.09,18.07,40.14,65.79,3.45,39.43
2017-10-17,21.29,23.85,49.91,57.02,4.69,44.39
2017-10-18,23.66,26.48,55.52,71.46,5.58,44.95
2017-10-19,21.72,27.96,53.32,33.42,10.71,33.57
2017-10-20,22.47,14.79,47.28,29.91,3.38,42.2
2017-10-21,16.86,14.83,49.3,25.23,5.46,29.46
2017-10-22,14.94,14.45,31.89,56.2,2.55,60.74
2017-10-23,17.72,16.93,63.05,84.66,5.48,92.02
2017-10-24,25.27,16.04,87.22,70.3,2.17,91.32
2017-10-25,26.42,16.63,57.55,84.92,1.55,72.98
2017-10-26,22.64,18.49,63.21,108.75,1.84,40.44
2017-10-27,19.54,16.51,52.4,98.16,2.33,41.76
2017-10-28,22.25,15.98,60.5,113.9,2.4,94.11
2017-10-29,21.46,14.75,57.94,45.39,4.19,55.14
2017-10-30,16.63,16.25,64.94,55.14,0,69.64
2017-10-31,24.36,14.16,75.68,62.96,32.64,29.03
2017-11-01,47.53,9.72,43.9,36.76,36.6,0
2017-11-02,50.52,10.8,56.86,44.44,27.41,26.02
2017-11-03,62.33,13.65,60.96,46.54,27.54,67.76
2017-11-04,27.96,18.14,74.75,52.5,23.05,122.4
2017-11-05,23.52,11.65,97.76,66.41,19.93,84.83
2017-11-06,22.24,15.71,96,60.42,25.12,63.09
2017-11-07,25.13,20.32,103.77,58.14,29.83,58.85
2017-11-08,25.46,14.1,104.65,66.12,24.69,84.36
2017-11-09,26.42,14.27,104.52,82.14,25.68,79.33
2017-11-10,20.93,15.3,109.98,63.79,27.05,203
2017-11-11,24.53,13.12,117.92,44.84,29.64,132.18
2017-11-12,24.2,11.81,104.82,30.59,29.99,70.91
2017-11-13,22.14,19.88,105.48,76.25,27.59,114.74
2017-11-14,20.53,19.35,75.36,116.02,28.97,166.51
2017-11-15,17.34,28.29,79.14,69.47,25.3,78.83
2017-11-16,23.09,31.03,82.34,70.19,27.1,50.08
2017-11-17,18.76,19.05,70.95,45.63,25.49,75.54
2017-11-18,22.57,18.68,50.62,37.86,24.83,136.55
2017-11-19,25.1,14.12,55.24,35.5,25.29,87.81
2017-11-20,25.05,14.46,64.19,31.15,25.21,39.46
2017-11-21,26.66,16.24,75.18,34.77,28.86,38.81
2017-11-22,28.5,18.52,74.09,42.64,22.12,42.31
2017-11-23,28.13,25.94,70.15,43.51,28.39,25.56
2017-11-24,30.94,26.61,82.97,43.54,23.41,47.96
2017-11-25,34.88,22.93,88,59.61,24.28,36.7
2017-11-26,33.72,15.45,101.44,40.24,31.34,19.86
2017-11-27,34.14,16.55,87.3,41.65,33.05,14.26
2017-11-28,34.51,16.62,93.71,55.7,36.36,25.02
2017-11-29,26.59,19.6,132.94,130.14,29.33,45.99
2017-11-30,22.72,14.21,108.26,101.26,30.5,48.46
2017-12-01,21.32,14.07,94.55,124.68,26.11,28.65
2017-12-02,23.42,16.1,102.69,79.94,23.91,45.69
2017-12-03,29.32,15.55,99.76,72.57,25.61,18.58
2017-12-04,30.26,16.56,101.07,60.04,24.68,21.4
2017-12-05,25.19,14.06,104.85,42.85,20.52,25.66
2017-12-06,28.15,15.27,68.08,36.02,20.6,24.32
2017-12-07,31.84,18.02,39.33,33.79,27.61,14.62
2017-12-08,50.17,21.07,3.63,38.04,22.87,17.91
2017-12-09,44.62,20.82,9.06,77.61,22.57,129.42
2017-12-10,38.79,18.97,16.38,79.86,23.47,107.68
