Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Gurugram
2017-08-28,13.12,28.73,13.61,13.54,31.84,17.97
2017-08-29,14.98,33.28,18.3333333333333,18.2,35.24,29.91
2017-08-30,16.33,29.77,23.0566666666667,26.77,32.5,30.46
2017-08-31,24.66,40.89,27.78,19.36,30.67,18.97
2017-09-01,13.48,35.94,24.03,18.1,35.74,12.36
2017-09-02,15.86,33.32,25,18.2,32.11,12.16
2017-09-03,29.74,45.44,25.07,14.84,33.41,11.25
2017-09-04,23.83,52.5,24.93,14.14,33.5,13.92
2017-09-05,23.99,57.04,25.08,14.73,41.28,13.67
2017-09-06,27.63,50.32,24.95,18.19,24.76,12.08
2017-09-07,12.5,33.91,24.93,15.15,32.88,12.97
2017-09-08,34.54,19.78,25.88,20.56,39.66,17.47
2017-09-09,15.06,23.26,25.77,19.36,41.62,20.76
2017-09-10,9.66,33.22,26.39,30.02,31.82,17.71
2017-09-11,9.5,33.73,27.92,26.2,32.15,17.61
2017-09-12,11.3,32.25,24.84,29.4,33.02,14.26
2017-09-13,12.87,13.16,24.38,29.14,30.88,20.02
2017-09-14,28.38,33.18,26.98,23.29,34.13,18.91
2017-09-15,18.53,19.31,27.32,30.61,38,22.56
2017-09-16,14.39,27.23,26.7,32.14,34.23,21.38
2017-09-17,5.9,17.7,26.7,31.59,31.75,30.88
2017-09-18,6.18,19.6,30.08,27.24,34.2,38.15
2017-09-19,19.64,20.92,28.73,18.66,38.84,36.53
2017-09-20,25.61,25.78,31.95,16.73,41.74,30.21
2017-09-21,24.16,28.07,23.1,15.47,37.47,11.61
2017-09-22,28.96,30.08,24.88,14.94,36.6,9.48
2017-09-23,41.31,42.39,22.19,12.27,30.97,9.41
2017-09-24,29.38,37.77,22.63,16.39,29.73,16.84
2017-09-25,24.14,27.56,24.48,19.63,29.35,16.3
2017-09-26,27.37,32.34,30.45,20.53,29.15,12.34
2017-09-27,7.85,21.74,29.26,26.15,28.45,15.93
2017-09-28,21.6,22.01,34.06,30.48,28.01,23.68
2017-09-29,8.95,30.37,40.26,29.53,31.95,26.92
2017-09-30,29.89,35.78,38.44,29.65,34.25,31.03
2017-10-01,21.92,23.47,32.9,23.32,29.4,28.09
2017-10-02,34.02,31.28,30.1,16.98,32.57,25.6
2017-10-03,29.93,30.05,34.34,15.38,34.69,32
2017-10-04,30.31,16.24,35.79,20.42,39.92,30.07
2017-10-05,10.53,33.99,36.81,17.38,43.05,75.54
2017-10-06,28.31,29.66,38.67,20.43,32.82,54.23
2017-10-07,21.99,24.72,34.44,25.48,43.87,21.17
2017-10-08,35.86,35.85,35.32,28.6,36.8,50.41
2017-10-09,20.43,35.88,31.11,19.71,41.5,22.99
2017-10-10,45.08,28.71,30.89,22.94,70.62,26.71
2017-10-11,34.99,40.74,29.67,18.43,43.76,21.74
2017-10-12,22.7,33.92,35.14,23.52,54.35,34.77
2017-10-13,14.59,11.17,37.98,21.43,79.99,31.99
2017-10-14,9.9,24.98,42.39,31.1,63.15,34.61
2017-10-15,13.39,17.31,37.15,39.88,57.62,36.07
2017-10-16,15.03,9.19,30.49,28.96,72.46,32.59
2017-10-17,17.23,6.88,30.46,19.74,67.21,32.26
2017-10-18,27.54,26.01,35.86,18.81,56.47,26.67
2017-10-19,34.64,45.95,36.35,17.24,57.92,25.37
2017-10-20,38.72,38.81,41.14,15.35,84.66,40.66
2017-10-21,34.89,43.89,34.52,17.32,81.47,38.07
2017-10-22,28.1,44.44,34.88,26.57,68.38,32.95
2017-10-23,33.95,65.06,52.91,28.24,53.28,27.37
2017-10-24,27.3,34.76,86.13,26.58,40.66,31.42
2017-10-25,20.57,24.77,106.16,31.97,107.68,33.84
2017-10-26,12.69,14.36,99.71,25.79,71.63,29.87
2017-10-27,19.69,19.74,82.93,33.02,18.11,30.26
2017-10-28,32.07,20.15,110.71,29.39,80.8,40.62
2017-10-29,36.67,29.74,83.99,42.12,58.83,37.19
2017-10-30,32.74,9.72,88.38,37.37,56.25,34.82
2017-10-31,47.84,21.9,65.34,45.65,53.67,21.56
2017-11-01,43.92,11.64,56.79,37.03,58.62,33.53
2017-11-02,44.38,24.43,61.91,47.5,63.67,45.12
2017-11-03,52.18,29.09,62.16,46.69,55.23,30.22
2017-11-04,43.23,21.16,73.16,44.73,51.23,32.78
2017-11-05,17.19,12.74,86.74,46.58,47.67,34.6
2017-11-06,6.75,12.67,72.82,42.18,43.64,24.93
2017-11-07,7.02,9.18,56.06,46.2,43.46,29.88
2017-11-08,13.74,22.1,55.51,57.2,54.87,21.77
2017-11-09,30.46,31.39,86.62,56.13,50.7,23.35
2017-11-10,24.08,24.35,104.94,50.44,55.83,19.26
2017-11-11,30.86,32.78,95.54,60.8,71.54,28.94
2017-11-12,14.76,32.86,88.03,60.88,53.74,37.87
