Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2017-07-01,,92.0,116.0,84.0,89.0,63.0,,126.0,,92.0,55.0,49.0,
2017-07-02,,160.0,109.0,54.0,106.0,66.0,,156.0,,94.0,80.0,39.0,
2017-07-03,,92.0,92.0,49.0,78.0,66.0,,88.0,,91.0,58.0,39.0,
2017-07-04,,85.0,74.0,149.0,61.0,57.0,,219.0,,91.0,78.0,40.0,
2017-07-05,,93.0,63.0,212.0,61.0,58.0,,332.0,,101.0,94.0,60.0,
2017-07-06,,87.0,77.0,85.0,53.0,57.0,,402.0,,88.0,107.0,63.0,
2017-07-07,,97.5,119.0,77.0,58.0,63.0,,404.0,,89.0,118.0,52.0,
2017-07-08,,108.0,94.0,65.0,69.0,66.0,,372.0,,104.0,96.0,54.0,
2017-07-09,,112.0,104.0,108.0,64.0,61.0,,529.0,,98.33333333333331,85.0,53.0,
2017-07-10,,102.0,76.0,78.0,75.0,60.0,,453.0,,92.66666666666666,75.0,47.0,
2017-07-11,,78.0,92.0,59.0,58.0,60.0,,377.0,,87.0,108.0,41.0,
2017-07-12,,67.0,85.0,47.0,43.0,66.0,,576.0,,97.0,134.0,39.0,
2017-07-13,,74.0,96.0,39.0,55.0,58.0,,210.0,,93.0,61.0,48.0,
2017-07-14,,72.0,84.0,40.0,82.0,53.0,,497.0,,100.0,53.0,43.0,
2017-07-15,,82.0,86.0,56.0,96.0,74.0,,399.5,,96.0,67.0,59.0,
2017-07-16,,61.0,99.0,65.0,87.0,86.0,,302.0,,100.0,81.0,52.0,
2017-07-17,,68.0,80.0,71.0,73.0,93.0,,204.5,,97.0,83.0,48.0,
2017-07-18,,68.0,78.0,97.0,78.0,47.0,,107.0,,99.0,75.0,54.0,
2017-07-19,,60.0,73.0,118.0,83.0,46.0,,114.0,,99.0,78.5,47.0,
2017-07-20,,61.0,70.0,116.0,69.0,48.0,,80.0,,110.0,82.0,43.0,
2017-07-21,,111.0,117.0,53.0,83.0,50.0,,69.0,,100.0,86.0,37.0,
2017-07-22,,132.0,131.0,30.0,122.0,55.0,,288.0,,99.0,66.0,41.5,
2017-07-23,,107.0,77.0,37.0,79.0,71.0,,547.0,,101.0,71.75,46.0,
2017-07-24,,109.0,169.0,35.0,80.0,65.0,,449.5,,101.0,77.5,50.5,
2017-07-25,,164.0,203.0,37.0,68.0,55.0,,352.0,,102.0,83.25,55.0,
2017-07-26,,85.0,221.0,32.0,66.0,62.0,,254.5,,102.0,89.0,66.0,
2017-07-27,,83.0,164.0,41.0,149.0,60.0,,157.0,,116.0,86.0,55.0,
2017-07-28,,122.0,85.0,42.0,84.0,56.0,,326.0,,130.0,88.0,46.0,
2017-07-29,,119.0,74.0,47.0,85.0,55.0,,248.0,,144.0,95.0,41.0,
2017-07-30,,94.0,81.0,30.0,78.0,63.0,,482.0,,158.0,97.66666666666669,47.0,
2017-07-31,,89.0,73.0,29.0,64.0,69.0,,277.0,,84.0,100.33333333333334,62.0,
2017-08-01,,136.0,82.0,44.0,57.0,60.0,,72.0,,110.0,103.0,68.0,
2017-08-02,,130.0,144.0,40.0,76.0,61.0,,72.0,,104.0,104.5,62.0,
2017-08-03,,160.0,120.0,49.0,78.0,51.0,,68.0,,,106.0,63.0,
2017-08-04,,55.0,84.0,50.0,125.0,49.0,,68.0,,,115.0,62.0,
2017-08-05,,106.0,149.0,88.0,156.0,67.0,,84.0,,,157.0,59.0,
2017-08-06,,127.0,202.0,99.0,158.0,75.0,,76.0,,,173.0,54.0,
2017-08-07,,176.0,96.0,110.0,126.0,90.0,,80.0,,,161.0,61.0,
2017-08-08,,143.0,96.0,68.0,80.0,83.0,,84.0,,,118.0,63.0,
2017-08-09,,74.0,71.0,73.0,70.0,80.0,,88.0,,,116.0,63.0,
2017-08-10,,50.0,48.0,95.0,146.0,71.0,,92.0,,,103.0,61.0,
2017-08-11,,56.0,61.0,58.0,126.0,65.0,,82.0,,141.0,96.0,64.0,
2017-08-12,,50.0,82.0,45.0,84.0,67.0,,59.0,,177.0,83.0,56.0,
2017-08-13,,67.0,55.0,49.66666666666666,81.0,55.0,,79.0,,215.0,78.0,58.0,
2017-08-14,,82.0,80.0,54.33333333333333,175.0,60.0,,84.0,,139.0,92.0,74.0,
2017-08-15,,70.0,86.0,59.0,134.0,58.0,,69.0,,92.0,116.0,82.0,
2017-08-16,,65.0,101.0,53.0,97.0,63.0,,65.0,,120.0,112.0,58.0,
2017-08-17,,70.0,99.0,66.0,172.0,70.0,,104.0,,146.0,117.0,60.0,
2017-08-18,,64.0,76.0,70.0,129.0,85.0,,143.0,,176.0,112.6,57.0,
2017-08-19,,57.0,79.5,70.0,66.0,65.0,,130.0,,156.0,108.2,56.0,
2017-08-20,,63.0,83.0,63.0,110.0,59.0,,83.0,,85.0,103.79999999999998,55.0,
2017-08-21,,48.0,86.5,42.0,72.0,62.0,,68.0,,94.0,99.39999999999998,58.0,
2017-08-22,,63.0,90.0,47.333333333333336,75.0,60.0,,95.0,,74.0,95.0,54.0,
2017-08-23,,62.0,86.0,52.66666666666667,75.0,62.0,,135.0,,82.0,88.0,54.0,
2017-08-24,,68.0,91.0,58.0,73.0,72.0,,98.0,,101.0,76.0,93.0,
2017-08-25,,172.0,91.0,104.0,76.0,72.0,,176.0,,106.0,88.0,68.0,
2017-08-26,,91.0,81.0,97.8,63.0,55.0,,244.0,,69.0,91.0,62.0,
2017-08-27,,39.0,81.0,91.6,56.0,52.0,,270.0,,82.0,107.0,55.0,
2017-08-28,,47.0,109.0,85.39999999999999,50.0,56.0,,477.0,,94.0,118.0,57.0,
2017-08-29,,57.0,127.0,79.19999999999999,41.0,56.0,,684.0,,67.0,116.5,64.0,
2017-08-30,,56.0,92.0,73.0,55.0,56.0,,891.0,,61.0,115.0,58.0,
2017-08-31,,69.0,93.0,94.0,108.0,60.0,,242.0,,80.0,130.0,60.0,
2017-09-01,,200.0,84.0,91.0,70.0,71.0,,58.0,,70.0,184.0,54.0,
2017-09-02,,135.0,86.0,88.0,72.0,87.0,,57.0,,62.0,233.0,60.0,
2017-09-03,,107.0,93.0,88.0,66.0,64.0,,57.0,,77.0,79.0,52.0,
2017-09-04,,74.0,82.0,89.0,83.0,59.0,,96.0,,92.0,92.0,53.0,
2017-09-05,,79.0,136.0,88.0,73.0,79.0,,88.0,,90.0,105.0,55.0,
2017-09-06,,101.0,104.0,88.0,84.0,86.0,,63.0,,117.0,110.0,52.0,
2017-09-07,,60.0,78.0,88.0,77.0,82.0,,63.0,,118.0,118.0,64.0,
2017-09-08,,75.0,82.0,106.0,96.0,74.0,,78.0,,119.0,119.0,66.0,
2017-09-09,,114.0,84.0,96.0,95.0,72.0,,109.0,,131.0,127.0,65.0,
2017-09-10,,57.0,73.0,118.0,116.0,60.0,,131.0,,142.0,127.0,53.0,
2017-09-11,,68.0,64.0,119.0,171.0,51.0,,142.0,,97.0,111.0,61.0,
2017-09-12,,68.0,68.0,106.0,163.0,55.0,,238.0,,125.0,111.0,58.0,
2017-09-13,,59.0,79.0,115.0,153.0,55.0,,163.0,,159.0,91.0,59.0,
2017-09-14,,63.0,73.0,142.0,173.0,60.0,,199.0,,161.0,102.0,54.0,
2017-09-15,,52.0,77.0,169.0,120.0,56.0,,123.0,,154.0,142.0,60.0,
2017-09-16,,49.0,77.0,110.0,79.0,56.0,,119.0,,136.0,135.0,71.0,
2017-09-17,,40.0,77.0,106.0,76.0,39.0,,123.0,,137.0,149.0,60.0,
2017-09-18,,43.0,67.0,99.0,75.0,53.0,,107.0,,173.0,138.0,69.0,
2017-09-19,,44.0,68.0,109.0,141.0,54.0,,116.0,,202.0,146.0,65.0,
2017-09-20,,52.0,67.0,137.0,61.0,57.0,,148.0,,189.0,164.0,59.0,
2017-09-21,,51.0,71.0,144.0,67.0,59.0,,190.0,,196.0,125.0,55.0,
2017-09-22,,51.0,87.0,92.0,176.0,58.0,,178.0,,198.0,88.0,56.0,
2017-09-23,,76.0,98.0,83.0,59.0,54.0,,226.0,,154.0,84.0,57.0,
2017-09-24,,76.0,137.0,84.0,79.0,95.0,,270.0,,108.0,118.0,55.0,
2017-09-25,,57.0,156.0,104.0,76.0,99.0,,189.0,,170.0,96.0,61.0,
2017-09-26,,65.0,116.0,131.0,89.0,80.0,,229.0,,225.0,112.0,63.0,
