Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jaipur,Amaravati
2017-07-01,,0.67,0.01,0.42,2.0,0.0,0.06,0.0,0.02,0.0,1.67,0.04,
2017-07-02,,0.67,0.03,0.2,1.56,0.0,0.03,0.0,0.03,0.0,1.97,0.1,
2017-07-03,,0.76,0.05,0.58,1.46,0.0,0.1,0.0,0.03,0.0,2.34,0.0,
2017-07-04,,0.51,0.0,0.63,1.56,0.0,0.07,0.0,0.03,0.0,2.335,0.0,
2017-07-05,,0.86,0.0,0.58,1.14,0.0,0.1,0.0,0.04,0.0,2.33,0.0,
2017-07-06,,0.9,0.0,0.1,0.63,0.0,0.24,0.0,0.03,0.0,2.325,0.0,
2017-07-07,,0.96,0.02,0.12,0.6,0.0,0.25,0.0,0.02,0.0,2.32,0.0,
2017-07-08,,1.09,0.1,0.1,0.59,0.0,0.18,0.0,0.03,0.0,,0.0,
2017-07-09,,0.78,0.1,0.14,0.66,0.0,0.12,0.0,0.03,0.0,,0.0,
2017-07-10,,0.8,0.07,0.15,0.59,0.0,0.38,0.0,0.03,0.0,,0.0,
2017-07-11,,0.74,0.1,0.25,0.62,0.0,0.44,0.0,0.03,0.0,,0.0,
2017-07-12,,1.0,0.11,0.23,0.52,0.0,0.27,0.0,0.03,0.0,,0.0,
2017-07-13,,0.81,0.32,0.27,0.66,0.0,0.17,0.0,0.03,0.0,,0.0,
2017-07-14,,0.69,0.17,0.23,0.55,0.0,0.09,0.0,0.02,0.0,1.8,0.0,
2017-07-15,,0.73,0.3,0.29,0.5,0.0,0.01,0.0,0.03,0.0,2.25,0.0,
2017-07-16,,0.59,0.0,0.27,0.31,0.0,0.01,0.0,0.02,0.0,2.36,0.0,
2017-07-17,,0.66,0.02,0.36,0.46,0.0,0.24,0.0,0.01,0.0,1.89,0.0,
2017-07-18,,0.59,0.06,0.33,0.52,0.0,0.04,0.0,0.02,0.0,1.42,4.84,
2017-07-19,,0.59,0.28,0.32,0.47,0.0,0.05,0.0,0.03,0.0,2.22,0.0,
