Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram
2017-07-01,,0.67,0.06,0.0,2.65,0.0,0.14,0.0,0.48,0.0,0.0,0.89,0.68
2017-07-02,,1.64,0.02,0.0,1.19,0.0,0.13,0.0,0.51,0.0,0.0,1.02,0.57
2017-07-03,,0.69,0.04,0.0,1.2,0.0,0.17,0.0,0.5,0.0,0.0,0.86,0.65
2017-07-04,,0.59,0.05,0.0,1.42,0.0,0.15,0.0,0.48,0.0,0.0,0.8,0.66
2017-07-05,,0.62,0.0,0.0,1.09,0.0,0.16,0.0,0.46,0.0,0.0,0.74,0.7
2017-07-06,,0.52,0.01,0.0,1.26,0.0,0.18,0.0,0.49,0.0,0.0,0.56,0.59
2017-07-07,,0.56,0.03,0.0,1.32,0.0,0.17,0.0,0.5,0.0,0.0,0.64,0.65
2017-07-08,,0.69,0.17,0.0,1.34,0.0,0.15,0.0,0.51,0.0,0.0,0.67,0.75
2017-07-09,,0.6,0.02,0.0,1.23,0.0,0.16,0.0,0.49,0.0,0.0,0.64,0.53
2017-07-10,,0.63,0.03,0.0,1.37,0.0,0.19,0.0,0.53,0.0,0.0,0.68,0.68
2017-07-11,,0.64,0.02,0.0,1.86,0.0,0.16,0.0,0.61,0.0,0.0,1.8,0.53
2017-07-12,,0.68,0.14,0.0,1.21,0.0,0.15,0.0,0.72,0.0,0.0,1.46,0.65
2017-07-13,,1.53,0.1,0.0,1.35,0.0,0.17,0.0,2.71,0.0,0.0,0.74,0.63
2017-07-14,,0.67,0.07,0.0,1.65,0.0,0.14,0.0,0.33,0.0,0.0,0.72,0.55
2017-07-15,,0.6,0.19,0.0,1.59,0.0,0.14,0.0,0.33,0.0,0.0,0.8,0.58
2017-07-16,,0.52,0.03,0.0,1.63,0.0,0.17,0.0,0.25,0.0,0.0,0.79,0.51
2017-07-17,,0.58,0.13,0.0,1.98,0.0,0.16,0.0,0.29,0.0,0.0,0.77,0.46
2017-07-18,,0.62,0.2,0.0,1.44,0.0,0.15,0.0,0.28,0.0,0.0,0.7,0.55
2017-07-19,,0.68,0.02,0.0,1.93,0.0,0.15,0.0,0.19,0.0,0.0,0.42,0.47
2017-07-20,,0.65,0.03,0.0,1.27,0.0,0.14,0.0,0.66,0.0,0.0,0.42,0.63
2017-07-21,,1.12,0.02,0.0,4.62,0.0,0.15,0.0,0.21,0.0,0.0,0.41,0.49
2017-07-22,,1.35,0.02,0.0,1.52,0.0,0.15,0.0,0.14,0.0,0.0,0.17,0.6
2017-07-23,,1.08,0.0,0.0,1.21,0.0,0.15,0.0,0.16,0.0,0.0,0.1,0.71
2017-07-24,,1.08,0.05,0.0,1.25,0.0,0.15,0.0,0.39,0.0,0.0,0.1,0.82
2017-07-25,,1.4,0.05,0.0,1.2,0.0,0.17,0.0,0.68,0.0,0.0,0.39,0.64
2017-07-26,,0.59,0.07,0.0,1.13,0.0,0.18,0.0,0.73,0.0,0.0,0.22,0.73
2017-07-27,,0.59,0.03,0.0,12.12,0.0,0.16,0.0,0.92,0.0,0.0,0.34,0.63
2017-07-28,,1.17,0.05,0.0,1.14,0.0,0.17,0.0,0.94,0.0,0.0,0.17,0.58
2017-07-29,,1.07,0.03,0.0,1.91,0.0,0.17,0.0,0.95,0.0,0.0,0.27,0.52
2017-07-30,,1.07,0.0,0.0,3.36,0.0,0.2,0.0,0.86,0.0,0.0,0.37,0.55
2017-07-31,,0.48,0.05,0.0,1.18,0.0,0.21,0.0,0.93,0.0,0.0,0.47,0.72
2017-08-01,,1.5,0.03,0.0,1.18,0.0,0.21,0.0,0.94,0.0,0.0,0.13,0.77
2017-08-02,,1.77,0.1,0.0,1.57,0.0,0.2,0.0,0.89,0.0,,0.35,0.99
2017-08-03,,2.95,0.33,0.0,1.35,0.0,0.17,0.0,0.91,0.0,,0.23,0.98
2017-08-04,,0.63,0.49,0.0,2.52,0.0,0.17,0.0,0.9,0.0,,0.69,0.95
2017-08-05,,1.27,0.65,0.0,1.8,0.0,0.18,0.0,0.89,0.0,,0.61,0.91
2017-08-06,,2.44,0.85,0.0,1.39,0.0,0.17,0.0,0.0,0.0,,0.62,0.9
2017-08-07,,2.91,0.56,0.0,1.87,0.0,0.23,0.0,0.0,0.0,,0.68,0.96
2017-08-08,,2.01,0.5,0.0,1.83,0.0,0.22,0.0,0.0,0.0,0.0,0.81,0.99
2017-08-09,,0.95,0.02,0.0,1.68,0.0,0.27,0.0,1.4,0.0,0.265,0.74,1.01
2017-08-10,,0.61,0.0,0.0,1.44,0.0,0.19,0.0,0.87,0.0,0.53,0.68,1.03
2017-08-11,,0.68,0.05,0.0,1.46,0.0,0.24,0.0,0.87,0.0,0.81,0.62,0.98
2017-08-12,,0.86,0.0,0.0,1.47,0.0,0.25,0.0,1.02,0.0,0.66,0.57,0.96
2017-08-13,,1.14,0.0,0.0,1.16,0.0,0.22,0.0,0.88,0.0,0.66,0.53,0.93
2017-08-14,,0.96,0.26,0.0,1.33,0.0,0.23,0.0,0.85,0.0,0.67,0.77,0.97
2017-08-15,,0.64,0.59,0.0,1.48,0.0,0.22,0.0,0.96,0.0,0.78,0.8,0.92
2017-08-16,,1.01,0.6,0.0,1.71,0.0,0.18,0.0,0.89,0.0,0.78,0.57,0.93
2017-08-17,,1.25,0.37,0.0,3.77,0.0,0.17,0.0,0.96,0.0,0.8,0.0,0.99
2017-08-18,,0.61,0.0,0.0,2.05,0.0,0.17,,0.88,0.0,0.77,0.0,0.9
2017-08-19,,0.68,0.0,0.0,1.12,0.0,0.12,,1.0,0.0,0.68,0.0,0.92
2017-08-20,,1.02,0.0,0.0,2.68,0.0,0.15,,0.77,0.0,0.61,0.0,0.88
2017-08-21,,0.95,0.28,0.0,0.88,0.0,0.16,,1.0,0.0,0.7,0.39,0.95
