Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2017-07-01,31.77,,44.12,,3.54,,12.22,1.12,,
2017-07-02,90.01,,32.97,,3.36,,11.48,1.12,,
2017-07-03,104.87,,32.02,,3.46,,11.52,28.45,,
2017-07-04,89.78200000000001,,28.8,,3.57,,11.55,16.31,,
2017-07-05,74.69400000000002,,25.81,,3.23,,11.44,6.45,,
2017-07-06,59.606000000000016,,24.82,,3.63,,11.32,6.36,,
2017-07-07,44.518000000000015,,30.98,,4.21,,11.42,6.59,,
2017-07-08,29.43,,28.82,,5.0,,10.82,6.53,,
2017-07-09,32.09,,41.79,,4.05,,11.045,5.6,,
2017-07-10,32.39,,27.22,,8.73,,11.27,5.34,,
2017-07-11,30.96,,26.19,,4.66,,11.28,4.73,,
2017-07-12,27.05,,27.31,,5.08,,11.15,3.1100000000000003,,
2017-07-13,27.1,,28.03,,4.91,,11.36,1.49,,
2017-07-14,26.36,,29.06,,4.76,,11.56,1.01,,
2017-07-15,26.88,,37.26,,6.42,,12.17,3.02,,
2017-07-16,26.78,,35.52,,25.84,,12.72,5.03,,
2017-07-17,26.87,,43.34,,18.71,,11.61,5.31,,
2017-07-18,26.88,,49.2,,5.02,,11.5,5.62,,
2017-07-19,27.04,,58.22,,4.38,,11.62,5.08,,
2017-07-20,26.84,,44.64,,4.54,,11.67,5.81,,
2017-07-21,26.79,,26.97,,4.26,,12.32,25.69,,
2017-07-22,27.12,,23.32,,4.02,,13.81,17.67,,
2017-07-23,26.75,,26.79,,3.86,,12.45,18.76,,
2017-07-24,26.97,,28.58,,6.52,,11.66,17.37,,
2017-07-25,27.22,,28.73,,10.26,,11.93,20.4,,
2017-07-26,26.72,,27.09,,8.11,,12.18,19.2,,
2017-07-27,27.03,,26.74,,4.87,,9.756666666666666,19.91,,
2017-07-28,26.46,,25.11,,5.12,,7.333333333333332,18.94,,
