Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati
2017-07-01,,24.27,8.09,62.09,10.09,8.77,,5.93,,41.27,7.12,4.69,2.05,
2017-07-02,,54.79,10.45,28.19,8.41,7.21,,5.97,,44.43,8.2,4.67,2.14,
2017-07-03,,43.48,7.17,28.86,9.13,12.34,,5.91,,35.92,9.28,9.59,2.05,
2017-07-04,,20.75,5.81,27.08,7.78,7.46,,5.95,,39.84,12.53,6.0,2.02,
2017-07-05,,17.99,11.52,27.08,7.62,7.39,,5.94,,33.02,7.36,0.98,1.88,
2017-07-06,,13.97,7.91,18.19,9.65,7.62,,5.96,,53.4,7.824999999999999,0.99,1.9,
2017-07-07,,15.39,8.01,30.0,8.7,8.25,,5.96,,51.78,8.29,1.71,1.9,
2017-07-08,,24.05,4.93,32.87,8.83,7.48,,5.93,,50.12,7.85,2.1,1.83,
2017-07-09,,17.04,5.16,67.54,7.44,7.34,,5.94,,38.09,7.41,1.48,1.93,
2017-07-10,,13.86,7.71,25.63,9.35,7.91,,5.93,,26.06,8.62,1.36,1.92,
2017-07-11,,17.23,5.9,26.7,8.0,8.31,,5.92,,28.17,8.78,0.44,1.84,
2017-07-12,,12.48,9.49,25.59,9.11,7.8,,5.15,,34.56,8.34,3.5500000000000003,1.9,
2017-07-13,,16.61,10.07,25.51,8.84,7.93,,1.34,,32.5,7.91,6.66,1.97,
2017-07-14,,13.31,10.26,17.2,8.41,8.34,,1.29,,26.7,7.48,6.77,2.05,
2017-07-15,,16.15,11.92,16.13,8.81,7.95,,1.25,,20.36,7.050000000000001,9.85,2.08,
2017-07-16,,13.34,10.18,15.56,7.66,6.76,,1.27,,24.32,6.620000000000001,13.17,2.03,
2017-07-17,,11.56,9.47,31.69,8.68,6.78,,1.31,,21.41,6.19,13.4,1.98,
2017-07-18,,12.68,10.36,25.69,16.12,5.28,,2.04,,28.79,6.65,13.91,1.99,
2017-07-19,,18.77,7.01,58.31,19.46,5.47,,4.64,,32.85,6.77,13.21,1.97,
2017-07-20,,16.76,8.08,41.13,14.66,5.06,,86.59,,19.51,7.07,13.15,1.93,
2017-07-21,,15.46,8.56,20.56,15.64,5.01,,14.79,,22.5,7.06,10.58,1.99,
2017-07-22,,17.16,8.25,20.65,14.87,3.28,,14.48,,22.28,6.789999999999999,6.13,1.98,
2017-07-23,,15.55,7.11,18.67,14.62,4.89,,10.95,,27.93,6.52,6.9,1.97,
2017-07-24,,10.47,7.64,28.89,16.78,5.29,,13.37,,20.6,6.9,3.73,1.96,
2017-07-25,,11.09,7.82,21.08,15.81,5.28,,54.7,,16.09,6.96,10.48,2.09,
2017-07-26,,9.88,8.46,20.61,12.49,4.27,,11.26,,24.35,6.82,7.78,1.72,
2017-07-27,,10.99,6.65,23.71,6.93,5.51,,10.71,,32.54666666666667,6.816666666666666,9.45,1.82,
2017-07-28,,9.59,6.3,23.69,7.75,9.44,,8.45,,40.74333333333333,6.813333333333333,7.41,1.94,
2017-07-29,,9.68,6.28,12.65,10.44,7.99,,2.32,,48.94,6.809999999999999,11.033333333333331,2.05,
2017-07-30,,11.51,6.13,11.6,8.2,8.1,,1.23,,58.03,6.806666666666665,14.656666666666666,2.06,
2017-07-31,,8.0,6.31,28.26,9.31,7.22,,1.65,,44.87,6.803333333333331,18.28,2.07,
2017-08-01,,7.35,6.04,27.25,10.17,6.08,,2.55,,66.84,6.8,12.44,2.18,
2017-08-02,,12.96,6.11,33.12,12.39,5.31,,2.45,,,6.87,13.76,1.9,
2017-08-03,,16.81,6.13,28.58,13.19,5.24,,2.61,,,6.88,10.94,1.88,
2017-08-04,,10.46,6.19,29.66,15.81,8.9,,2.03,,,6.81,7.92,1.85,
2017-08-05,,9.01,6.12,34.95,23.68,8.67,,1.98,,,6.72,7.4,1.94,
2017-08-06,,8.53,6.27,52.38,10.99,8.85,,1.48,,,6.88,7.84,1.99,
2017-08-07,,8.83,6.64,25.72,11.76,9.46,,1.5,,,6.82,7.5,1.8,
2017-08-08,,8.48,6.54,36.57,9.44,9.91,,1.5,,8.09,6.82,9.21,1.79,
2017-08-09,,14.25,6.58,54.85,15.98,8.32,,4.2,,6.074999999999999,6.79,6.38,1.88,
2017-08-10,,10.87,6.57,38.47,11.43,7.46,,3.12,,4.06,6.54,2.96,1.76,
2017-08-11,,14.03,6.57,24.86,13.29,11.98,,0.48,,5.08,6.65,2.83,1.9,
2017-08-12,,12.54,5.87,25.716666666666665,9.37,9.48,,0.41,,5.87,6.77,2.7,2.03,
2017-08-13,,16.42,4.56,26.57333333333333,6.52,9.71,,0.42,,6.22,6.75,2.51,1.97,
2017-08-14,,12.81,4.39,27.43,14.02,8.48,,0.26,,5.75,6.47,2.61,1.97,
2017-08-15,,14.75,3.71,13.21,7.19,8.25,,0.09,,3.79,6.68,2.55,1.74,
2017-08-16,,7.34,3.54,15.5,6.26,7.78,,0.4,,3.53,6.89,2.68,1.75,
2017-08-17,,5.51,3.65,20.73,4.81,7.96,,3.79,,6.22,6.8,2.6420000000000003,1.83,
2017-08-18,,7.89,3.64,22.87,7.95,8.15,,4.12,,10.68,6.8525,2.6040000000000005,1.88,
2017-08-19,,9.13,3.63,42.02,3.71,7.61,,4.03,,11.14,6.905,2.5660000000000007,1.88,
2017-08-20,,16.11,3.62,30.13,2.89,6.9,,3.76,,11.5,6.9575000000000005,2.528000000000001,1.91,
2017-08-21,,11.74,3.61,18.02,6.93,5.41,,4.14,,11.48,7.01,2.49,1.57,
2017-08-22,,11.4,5.31,14.5,12.14,10.15,,4.14,,11.52,6.08,2.42,1.98,
2017-08-23,,9.12,7.72,31.42,22.04,9.06,,3.88,,10.77,6.609999999999999,2.7,1.88,
2017-08-24,,11.58,3.82,34.6,19.4,6.7,,3.97,,10.16,7.14,2.84,1.89,
2017-08-25,,8.83,4.3,24.48,14.23,7.91,,4.26,,10.19,6.27,2.75,1.92,
2017-08-26,,9.51,5.37,40.14,21.37,7.99,,3.89,,10.58,6.733333333333333,2.62,1.98,
2017-08-27,,11.76,7.46,62.68,24.06,7.64,,3.86,,10.36,7.196666666666667,2.58,2.05,
2017-08-28,,15.21,6.0,20.79,11.22,7.31,,17.25,,10.17,7.66,2.42,1.86,
2017-08-29,,15.67,6.5,22.97,5.27,7.4,,26.31,,10.6,6.835,4.54,1.88,
2017-08-30,,10.24,5.43,24.34,9.59,7.27,,43.86,,10.87,6.01,4.4,1.77,
2017-08-31,,7.86,7.63,16.56,7.56,8.41,,17.52,,10.62,5.185,4.24,1.89,
2017-09-01,,12.57,6.7,23.55,7.39,9.38,,10.76,,10.85,4.36,4.34,1.98,
2017-09-02,,24.01,6.65,23.23,6.56,12.83,,2.44,,10.45,4.535,4.53,1.83,
2017-09-03,,16.73,8.24,20.33,8.26,7.66,,2.54,,10.36,4.71,4.36,2.05,
2017-09-04,,15.95,7.31,33.84,10.02,8.5,,3.37,,10.36,4.885,4.73,2.02,
2017-09-05,,13.44,4.06,20.61,6.4,8.01,,1.04,,10.34,5.06,4.51,2.03,
2017-09-06,,14.2,5.26,21.1,11.35,10.13,,1.71,,10.15,,4.96,1.96,
2017-09-07,,14.26,5.25,21.91,12.7,13.1,,1.79,,10.32,,4.93,1.68,
2017-09-08,,11.97,5.01,18.18,14.32,9.14,,3.16,,10.48,,4.85,1.82,
2017-09-09,,17.49,5.18,20.65,14.04,7.56,,3.59,,10.55,,4.7,1.91,
2017-09-10,,31.66,5.12,30.53,17.81,7.95,,4.89,,11.06,,4.39,1.97,
2017-09-11,,24.71,5.35,22.99,18.06,8.08,,3.22,,10.77,,4.35,2.03,
2017-09-12,,16.21,6.95,17.92,17.14,7.92,,2.17,,10.38,,4.3,2.0,
2017-09-13,,12.07,5.01,25.08,15.46,8.63,,3.49,,10.41,,4.48,1.74,
2017-09-14,,9.17,4.57,81.89,10.17,8.51,,4.51,,10.29,,5.1,1.86,
2017-09-15,,11.34,5.07,25.94,10.91,7.97,,3.32,,10.58,,4.67,1.93,
2017-09-16,,11.49,5.2,19.27,9.4,7.38,,1.25,,10.52,,4.5,2.0,
2017-09-17,,12.3,6.33,23.98,12.03,10.04,,1.0,,10.27,,4.4,1.98,
2017-09-18,,8.79,5.81,20.23,9.45,6.94,,0.81,,24.27,,4.89,1.96,
2017-09-19,,8.76,6.12,19.87,7.67,7.19,,1.13,,7.61,,6.44,1.96,
2017-09-20,,6.9,3.37,29.89,9.36,6.79,,2.71,,7.44,,7.94,1.89,
2017-09-21,,7.32,5.28,27.16,6.89,6.92,,1.26,,7.64,,12.0,2.06,
2017-09-22,,6.28,5.67,20.34,5.02,7.3,,0.97,,7.49,,11.91,1.89,
2017-09-23,,10.16,4.52,20.38,5.69,8.27,,0.23,,7.49,,12.12,1.95,
2017-09-24,,15.23,7.7,18.8,4.69,11.42,,0.34,,7.59,,11.7,1.94,
2017-09-25,,8.88,23.48,14.59,5.04,9.51,,1.81,,7.64,,11.56,2.0,
2017-09-26,,8.48,14.5,23.12,3.77,9.31,5.81,2.69,,7.67,,13.1,2.08,
2017-09-27,,15.29,16.97,26.98,4.73,9.68,66.18,3.0,,8.56,,14.64,2.45,
2017-09-28,,4.57,13.66,50.72,11.19,9.79,18.18,2.23,,10.73,,17.51,2.14,
2017-09-29,,7.58,3.28,37.45,13.34,8.34,3.65,2.87,,13.6,,19.56,1.96,
2017-09-30,,7.05,2.64,21.1,6.96,8.11,7.74,2.27,,13.97,,18.29,1.91,
2017-10-01,,5.63,3.63,25.43,12.61,1.24,7.29,3.38,1.55,9.32,,20.64,1.09,
2017-10-02,,38.94,3.05,22.86,7.94,10.81,8.06,2.47,1.75,8.43,,14.39,0.99,
2017-10-03,,6.46,3.07,22.75,15.79,11.69,14.32,2.13,1.5,8.95,,15.92,0.69,
2017-10-04,,4.69,4.65,24.88,8.89,16.68,14.63,3.21,1.97,10.05,7.5,17.84,0.82,
2017-10-05,,13.18,8.13,15.35,17.64,16.52,14.64,1.51,1.88,7.13,7.396,12.37,1.36,
2017-10-06,,8.58,7.18,14.82,12.67,11.38,14.26,1.48,1.55,8.23,7.292,13.94,1.13,
2017-10-07,,9.98,6.7,17.2,16.71,18.91,5.59,1.41,2.06,12.73,7.188,12.2,0.97,
2017-10-08,,7.57,8.06,20.71,12.31,10.47,16.52,3.15,1.67,5.91,7.084,11.93,0.92,
2017-10-09,,9.19,13.8,33.9,20.44,7.6,15.57,6.24,1.89,4.99,6.98,12.03,0.87,
2017-10-10,,9.9,4.51,23.0,14.66,26.06,19.87,4.81,,,,12.21,,
2017-10-11,,14.24,4.74,25.09,8.57,6.99,96.9,4.93,,,,15.94,,
2017-10-12,,10.47,5.48,21.91,12.35,13.72,12.26,2.29,,,,14.68,,
2017-10-13,,10.69,6.31,31.87,32.53,8.45,10.84,3.4,,,,17.1,,
